N (new),Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),CaCO3 (%),Oxygen (umol/L),Sed Rate (g/cm2/y),Code,Image Link,Filename,N,Label
2135,DSDP,1,1,*,25.8583,-92.1833,2827,,218.2052307,0.212545738,1-1-*,http://deepseadrilling.org/cores/leg001/1.1M.pdf,1.1M.pdf,0,0
629,DSDP,1,2,*,23.455,-92.5867,3572,,213.0361786,0.143917754,1-2-*,,,1,
2507,DSDP,1,3,*,23.03,-92.0433,3747,,218.9720001,0.160311282,1-3-*,,,2,
3269,DSDP,1,4,*,24.478,-73.792,5319,49.1,256.4351196,0.07223177,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF,3,9
3693,DSDP,1,4,*,24.478,-73.792,5319,49.1,256.4351196,0.07223177,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF,4,9
3128,DSDP,1,5,*,24.7265,-73.641,5354,7.3,256.4351196,0.071414277,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF,5,9
1043,DSDP,1,5,*,24.7265,-73.641,5354,7.3,256.4351196,0.071414277,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF,6,9
2229,DSDP,1,6,*,30.8398,-67.6477,5124,,257.7094116,0.06866914,1-6-*,,,7,
1116,DSDP,1,6,*,30.8398,-67.6477,5124,,257.7094116,0.06866914,1-6-*,,,8,
2307,DSDP,1,7,*,30.134,-68.2967,5182,56.4,257.4682007,0.069079548,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF,9,0
877,DSDP,1,7,*,30.134,-68.2967,5182,56.4,257.4682007,0.069079548,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF,10,0
507,DSDP,2,8,*,35.3833,-67.5533,5184,,257.7975464,0.064223163,2-8-*,,,11,
2558,DSDP,2,8,*,35.3833,-67.5533,5184,,257.7975464,0.064223163,2-8-*,,,12,
2299,DSDP,2,9,*,32.7733,-59.195,4973,,262.0440674,0.067639031,2-9-*,,,13,
1985,DSDP,2,9,*,32.7733,-59.195,4973,,262.0440674,0.067639031,2-9-*,,,14,
1049,DSDP,2,10,*,32.8622,-52.2153,4712,,257.914978,0.064797647,2-10-*,,,15,
982,DSDP,2,11,*,29.943,-44.7467,3571,,260.3764343,0.047695387,2-11-*,,,16,
1482,DSDP,2,11,*,29.943,-44.7467,3571,,260.3764343,0.047695387,2-11-*,,,17,
2467,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,18,
3365,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,19,
1637,DSDP,2,12,*,19.6955,-26.0005,4557,,245.1103058,0.055031478,2-12-*,,,20,
1415,DSDP,3,13,*,6.04,-18.2285,4585,63.6,243.5967865,0.055047531,3-13-*,http://deepseadrilling.org/cores/leg003/13.1R.PDF,13.1R.PDF,21,0
3708,DSDP,3,13,*,6.04,-18.2285,4585,63.6,243.5967865,0.055047531,3-13-*,http://deepseadrilling.org/cores/leg003/13.1R.PDF,13.1R.PDF,22,0
2410,DSDP,3,14,*,-28.3315,-20.941,4343,53,229.4698334,0.032767996,3-14-*,http://deepseadrilling.org/cores/leg003/14.1R.PDF,14.1R.PDF,23,0
36,DSDP,3,15,*,-30.8897,-17.9832,3927,80.8,236.6730499,0.038106807,3-15-*,http://deepseadrilling.org/cores/leg003/15.1R.PDF,15.1R.PDF,24,0
40,DSDP,3,16,*,-30.3358,-15.7132,3527,87.6,242.3178558,0.041968517,3-16-*,http://deepseadrilling.org/cores/leg003/16.1R.PDF,16.1R.PDF,25,0
452,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,26,0
1698,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,27,0
3154,DSDP,3,17,*,-28.0457,-6.6025,4265,83.8,233.123764,0.033837695,3-17-*,http://deepseadrilling.org/cores/leg003/17.1R.PDF,17.1R.PDF,28,0
3669,DSDP,3,18,*,-27.9787,-8.0117,4018,83.1,233.849472,0.035042401,3-18-*,http://deepseadrilling.org/cores/leg003/18.1R.PDF,18.1R.PDF,29,0
778,DSDP,3,19,*,-28.5347,-23.6772,4677,,226.6437073,0.032668654,3-19-*,http://deepseadrilling.org/cores/leg003/19.1R.PDF,19.1R.PDF,30,0
3802,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,31,
3415,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,32,
2974,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,33,
833,DSDP,3,20,*,-28.5262,-26.843,4500,,225.5022278,0.034277432,3-20-*,,,34,
362,DSDP,3,21,*,-28.585,-30.5975,2113,,230.0769043,0.037990373,3-21-*,,,35,
2320,DSDP,3,21,*,-28.585,-30.5975,2113,,230.0769043,0.037990373,3-21-*,,,36,
180,DSDP,3,22,*,-30.0052,-35.25,2134,78.3,229.0849915,0.041115396,3-22-*,http://deepseadrilling.org/cores/leg003/22.1R.PDF,22.1R.PDF,37,0
1524,DSDP,4,23,*,-6.1458,-31.0433,5079,2.2,223.6612091,0.041922994,4-23-*,http://deepseadrilling.org/cores/leg004/23.1R.PDF,23.1R.PDF,38,9
30,DSDP,4,24,*,-6.2717,-30.8922,5148,,223.2854462,0.040907215,4-24-*,,,39,
3261,DSDP,4,24,*,-6.2717,-30.8922,5148,,223.2854462,0.040907215,4-24-*,,,40,
2656,DSDP,4,25,*,-0.5167,-39.24,1916,63.3,257.1281128,0.065420546,4-25-*,http://deepseadrilling.org/cores/leg004/25.1R.PDF,25.1R.PDF,41,0
3562,DSDP,4,25,*,-0.5167,-39.24,1916,63.3,257.1281128,0.065420546,4-25-*,http://deepseadrilling.org/cores/leg004/25.1R.PDF,25.1R.PDF,42,0
31,DSDP,4,26,*,10.8925,-44.0428,5169,,241.480957,0.052225608,4-26-*,,,43,
948,DSDP,4,26,*,10.8925,-44.0428,5169,,241.480957,0.052225608,4-26-*,,,44,
1498,DSDP,4,27,*,15.8565,-56.8793,5251,,248.9457703,0.065663174,4-27-*,,,45,
1333,DSDP,4,27,*,15.8565,-56.8793,5251,,248.9457703,0.065663174,4-27-*,,,46,
3666,DSDP,4,28,*,20.5865,-65.6222,5251,,254.3930359,0.064645685,4-28-*,,,47,
3322,DSDP,4,29,*,14.7852,-69.3227,4247,38.5,220.2082367,0.06423904,4-29-*,http://deepseadrilling.org/cores/leg004/29.1R.PDF,29.1R.PDF,48,0
3380,DSDP,4,29,*,14.7852,-69.3227,4247,38.5,220.2082367,0.06423904,4-29-*,http://deepseadrilling.org/cores/leg004/29.1R.PDF,29.1R.PDF,49,0
435,DSDP,4,29,*,14.7852,-69.3227,4247,38.5,220.2082367,0.06423904,4-29-*,http://deepseadrilling.org/cores/leg004/29.1R.PDF,29.1R.PDF,50,0
3517,DSDP,4,29,*,14.7852,-69.3227,4247,38.5,220.2082367,0.06423904,4-29-*,http://deepseadrilling.org/cores/leg004/29.1R.PDF,29.1R.PDF,51,0
2280,DSDP,4,30,*,12.882,-63.3833,1218,,198.7246857,0.087394737,4-30-*,,,52,
2291,DSDP,4,31,*,14.9433,-72.0272,3369,57.1,217.687973,0.062860362,4-31-*,http://deepseadrilling.org/cores/leg004/31.1R.PDF,31.1R.PDF,53,0
1523,DSDP,5,32,*,37.1272,-127.5563,4758,0.2,150.4199219,0.029495217,5-32-*,http://deepseadrilling.org/cores/leg005/32.1R.PDF,32.1R.PDF,54,0
1321,DSDP,5,33,*,39.4747,-127.4968,4284,1.4,142.0971069,0.038536277,5-33-*,http://deepseadrilling.org/cores/leg005/33.1R.PDF,33.1R.PDF,55,0
3203,DSDP,5,34,*,39.4702,-127.2757,4322,,143.6847229,0.039441258,5-34-*,,,56,
2517,DSDP,5,35,*,40.6737,-127.4747,3273,,115.0199966,0.042097986,5-35-*,http://deepseadrilling.org/cores/leg005/35.1R.PDF,35.1R.PDF,57,0
2575,DSDP,5,36,*,40.9847,-130.1097,3273,4.5,114.7389755,0.034088485,5-36-*,http://deepseadrilling.org/cores/leg005/36.1R.PDF,36.1R.PDF,58,0
3564,DSDP,5,37,*,40.979,-140.7185,4682,0.7,146.3238068,0.030741919,5-37-*,http://deepseadrilling.org/cores/leg005/37.1R.PDF,37.1R.PDF,59,0
3133,DSDP,5,38,*,38.702,-140.3545,5137,,152.8359222,0.029478135,5-38-*,http://deepseadrilling.org/cores/leg005/38.1R.PDF,38.1R.PDF,60,0
198,DSDP,5,39,*,32.8047,-139.5715,4929,0,156.2685089,0.028353609,5-39-*,http://deepseadrilling.org/cores/leg005/39.1R.PDF,39.1R.PDF,61,0
2542,DSDP,5,40,*,19.7928,-139.9013,5183,0,168.2220154,0.029793333,5-40-*,http://deepseadrilling.org/cores/leg005/40.1R.PDF,40.1R.PDF,62,0
2538,DSDP,5,41,*,19.8542,-140.048,5339,0.2,170.7181702,0.029791266,5-41-*,http://deepseadrilling.org/cores/leg005/41.1R.PDF,41.1R.PDF,63,0
1639,DSDP,5,42,*,13.8427,-140.1885,4848,61.4,163.9810944,0.031612147,5-42-*,http://deepseadrilling.org/cores/leg005/42.1R.PDF,42.1R.PDF,64,0
3186,DSDP,5,42,*,13.8427,-140.1885,4848,61.4,163.9810944,0.031612147,5-42-*,http://deepseadrilling.org/cores/leg005/42.1R.PDF,42.1R.PDF,65,0
1518,DSDP,5,43,*,17.1098,-151.3752,5405,0,176.2913055,0.031175746,5-43-*,http://deepseadrilling.org/cores/leg005/43.1R.PDF,43.1R.PDF,66,0
2862,DSDP,6,44,*,19.3083,-169.015,1478,,74.93562317,0.044136785,6-44-*,,,67,
577,DSDP,6,45,*,24.265,-178.5083,5508,,175.8546753,0.032685544,6-45-*,,,68,
1775,DSDP,6,46,*,27.8833,171.4383,5769,0,,0.037140194,6-46-*,http://deepseadrilling.org/cores/leg006/46.1R.PDF,46.1R.PDF,69,0
3777,DSDP,6,47,*,32.4483,157.7117,2689,50.8,114.8600006,0.038222212,6-47-*,http://deepseadrilling.org/cores/leg006/47.1R.PDF,47.1R.PDF,70,0
1383,DSDP,6,47,*,32.4483,157.7117,2689,50.8,114.8600006,0.038222212,6-47-*,http://deepseadrilling.org/cores/leg006/47.1R.PDF,47.1R.PDF,71,0
1083,DSDP,6,47,*,32.4483,157.7117,2689,50.8,114.8600006,0.038222212,6-47-*,http://deepseadrilling.org/cores/leg006/47.1R.PDF,47.1R.PDF,72,0
1094,DSDP,6,48,*,32.4083,158.0217,2619,,114.8600006,0.038348369,6-48-*,,,73,
779,DSDP,6,48,*,32.4083,158.0217,2619,,114.8600006,0.038348369,6-48-*,,,74,
3492,DSDP,6,49,*,32.4017,156.6,4282,40.7,155.58992,0.037479121,6-49-*,http://deepseadrilling.org/cores/leg006/49.1R.PDF,49.1R.PDF,75,0
2740,DSDP,6,49,*,32.4017,156.6,4282,40.7,155.58992,0.037479121,6-49-*,http://deepseadrilling.org/cores/leg006/49.1R.PDF,49.1R.PDF,76,0
625,DSDP,6,50,*,32.4033,156.5717,4487,,157.2077789,0.037479121,6-50-*,,,77,
160,DSDP,6,50,*,32.4033,156.5717,4487,,157.2077789,0.037479121,6-50-*,,,78,
1396,DSDP,6,51,*,33.475,153.405,5981,,,0.038910277,6-51-*,,,79,
1392,DSDP,6,51,*,33.475,153.405,5981,,,0.038910277,6-51-*,,,80,
2442,DSDP,6,52,*,27.7717,147.13,5744,0.2,,0.037842192,6-52-*,http://deepseadrilling.org/cores/leg006/52.1R.PDF,52.1R.PDF,81,0
1239,DSDP,6,53,*,18.0333,141.1917,4629,,160.3202667,0.031973787,6-53-*,,,82,
560,DSDP,6,53,*,18.0333,141.1917,4629,,160.3202667,0.031973787,6-53-*,,,83,
3331,DSDP,6,53,*,18.0333,141.1917,4629,,160.3202667,0.031973787,6-53-*,,,84,
2415,DSDP,6,54,*,15.61,140.3017,4990,,161.4667664,0.03153792,6-54-*,,,85,
2825,DSDP,6,55,*,9.3017,142.535,2850,93.5,138.0098419,0.041720524,6-55-*,http://deepseadrilling.org/cores/leg006/55.1R.PDF,55.1R.PDF,86,0
208,DSDP,6,56,*,8.3733,143.56,2508,,130.3102875,0.040397622,6-56-*,,,87,
3134,DSDP,6,57,*,8.6817,143.5333,3300,,145.3503265,0.040316239,6-57-*,,,88,
1212,DSDP,6,57,*,8.6817,143.5333,3300,,145.3503265,0.040316239,6-57-*,,,89,
809,DSDP,6,57,*,8.6817,143.5333,3300,,145.3503265,0.040316239,6-57-*,,,90,
1077,DSDP,6,58,*,9.235,144.4183,4503,,169.0310974,0.039595298,6-58-*,,,91,
1736,DSDP,6,58,*,9.235,144.4183,4503,,169.0310974,0.039595298,6-58-*,,,92,
293,DSDP,6,58,*,9.235,144.4183,4503,,169.0310974,0.039595298,6-58-*,,,93,
3711,DSDP,6,59,*,11.78,147.5817,5554,,176.2958069,0.039427929,6-59-*,,,94,
1313,DSDP,6,59,*,11.78,147.5817,5554,,176.2958069,0.039427929,6-59-*,,,95,
2101,DSDP,6,59,*,11.78,147.5817,5554,,176.2958069,0.039427929,6-59-*,,,96,
3736,DSDP,6,60,*,13.6667,145.6983,3717,,153.4458466,0.047118887,6-60-*,,,97,
3009,DSDP,7,61,*,12.0837,147.0617,5570,,176.0652924,0.04259399,7-61-*,,,98,
268,DSDP,7,61,*,12.0837,147.0617,5570,,176.0652924,0.04259399,7-61-*,,,99,
1739,DSDP,7,62,*,1.87,141.9383,2602,,136.511322,0.042630311,7-62-*,,,100,
2332,DSDP,7,62,*,1.87,141.9383,2602,,136.511322,0.042630311,7-62-*,,,101,
3348,DSDP,7,63,*,0.8355,147.8898,4486,3.6,157.380722,0.04942178,7-63-*,http://deepseadrilling.org/cores/leg007/63.1R.PDF,63.1R.PDF,102,0
618,DSDP,7,63,*,0.8355,147.8898,4486,3.6,157.380722,0.04942178,7-63-*,http://deepseadrilling.org/cores/leg007/63.1R.PDF,63.1R.PDF,103,9
524,DSDP,7,63,*,0.8355,147.8898,4486,3.6,157.380722,0.04942178,7-63-*,http://deepseadrilling.org/cores/leg007/63.1R.PDF,63.1R.PDF,104,0
576,DSDP,7,64,*,-1.7422,158.6097,2060,82.8,120.9439163,0.051413402,7-64-*,http://deepseadrilling.org/cores/leg007/64.1R.PDF,64.1R.PDF,105,0
2153,DSDP,7,64,*,-1.7422,158.6097,2060,82.8,120.9439163,0.051413402,7-64-*,http://deepseadrilling.org/cores/leg007/64.1R.PDF,64.1R.PDF,106,0
748,DSDP,7,65,*,4.3535,176.9857,6142,,,0.039811578,7-65-*,,,107,
2580,DSDP,7,65,*,4.3535,176.9857,6142,,,0.039811578,7-65-*,,,108,
1299,DSDP,7,66,*,2.3935,-166.1218,5310,,191.0182648,0.037764013,7-66-*,,,109,
1790,DSDP,7,66,*,2.3935,-166.1218,5310,,191.0182648,0.037764013,7-66-*,,,110,
921,DSDP,7,67,*,24.376,-157.648,4486,0,152.5439758,0.032580029,7-67-*,http://deepseadrilling.org/cores/leg007/67.1R.PDF,67.1R.PDF,111,9
3563,DSDP,7,67,*,24.376,-157.648,4486,0,152.5439758,0.032580029,7-67-*,http://deepseadrilling.org/cores/leg007/67.1R.PDF,67.1R.PDF,112,7
1751,DSDP,8,68,*,16.722,-164.1727,5466,0,178.7530212,0.034138195,8-68-*,http://deepseadrilling.org/cores/leg008/68.1R.PDF,68.1R.PDF,113,0
1574,DSDP,8,68,*,16.722,-164.1727,5466,0,178.7530212,0.034138195,8-68-*,http://deepseadrilling.org/cores/leg008/68.1R.PDF,68.1R.PDF,114,0
1210,DSDP,8,69,*,6,-152.8655,4978,,171.6311646,0.036814433,8-69-*,,,115,
2409,DSDP,8,69,*,6,-152.8655,4978,,171.6311646,0.036814433,8-69-*,,,116,
2147,DSDP,8,70,*,6.3347,-140.362,5059,0,174.2319946,0.035339545,8-70-*,http://deepseadrilling.org/cores/leg008/70.1R.PDF,70.1R.PDF,117,0
676,DSDP,8,70,*,6.3347,-140.362,5059,0,174.2319946,0.035339545,8-70-*,http://deepseadrilling.org/cores/leg008/70.1R.PDF,70.1R.PDF,118,0
1104,DSDP,8,70,*,6.3347,-140.362,5059,0,174.2319946,0.035339545,8-70-*,http://deepseadrilling.org/cores/leg008/70.1R.PDF,70.1R.PDF,119,0
1222,DSDP,8,71,*,4.4713,-140.3152,4419,82.9,157.7504272,0.036125194,8-71-*,http://deepseadrilling.org/cores/leg008/71.1R.PDF,71.1R.PDF,120,0
2983,DSDP,8,71,*,4.4713,-140.3152,4419,82.9,157.7504272,0.036125194,8-71-*,http://deepseadrilling.org/cores/leg008/71.1R.PDF,71.1R.PDF,121,0
46,DSDP,8,72,*,0.4415,-138.867,4326,82.5,164.4267578,0.039628502,8-72-*,http://deepseadrilling.org/cores/leg008/72.1R.PDF,72.1R.PDF,122,0
612,DSDP,8,72,*,0.4415,-138.867,4326,82.5,164.4267578,0.039628502,8-72-*,http://deepseadrilling.org/cores/leg008/72.1R.PDF,72.1R.PDF,123,0
3084,DSDP,8,73,*,-1.9097,-137.4687,4387,77.4,169.5374451,0.039814539,8-73-*,http://deepseadrilling.org/cores/leg008/73.1R.PDF,73.1R.PDF,124,0
2295,DSDP,8,74,*,-6.2367,-136.0967,4431,48.7,173.0277863,0.034109786,8-74-*,http://deepseadrilling.org/cores/leg008/74.1R.PDF,74.1R.PDF,125,0
2651,DSDP,8,75,*,-12.5167,-134.2667,4181,63.2,170.9542847,0.03086115,8-75-*,http://deepseadrilling.org/cores/leg008/75.1R.PDF,75.1R.PDF,126,0
2584,DSDP,8,75,*,-12.5167,-134.2667,4181,63.2,170.9542847,0.03086115,8-75-*,http://deepseadrilling.org/cores/leg008/75.1R.PDF,75.1R.PDF,127,0
2240,DSDP,9,76,*,-14.0983,-145.6607,4598,42.9,187.4558868,0.035941131,9-76-*,http://deepseadrilling.org/cores/leg009/76.1R.PDF,76.1R.PDF,128,0
1609,DSDP,9,76,*,-14.0983,-145.6607,4598,42.9,187.4558868,0.035941131,9-76-*,http://deepseadrilling.org/cores/leg009/76.1R.PDF,76.1R.PDF,129,0
2875,DSDP,9,77,*,0.4817,-133.2283,4291,78.1,163.5354767,0.038763661,9-77-*,http://deepseadrilling.org/cores/leg009/77.1R.PDF,77.1R.PDF,130,0
2341,DSDP,9,77,*,0.4817,-133.2283,4291,78.1,163.5354767,0.038763661,9-77-*,http://deepseadrilling.org/cores/leg009/77.1R.PDF,77.1R.PDF,131,0
1269,DSDP,9,77,*,0.4817,-133.2283,4291,78.1,163.5354767,0.038763661,9-77-*,http://deepseadrilling.org/cores/leg009/77.1R.PDF,77.1R.PDF,132,0
2883,DSDP,9,77,*,0.4817,-133.2283,4291,78.1,163.5354767,0.038763661,9-77-*,http://deepseadrilling.org/cores/leg009/77.1R.PDF,77.1R.PDF,133,0
3624,DSDP,9,78,*,7.95,-127.3558,4378,81.7,161.9833679,0.032191701,9-78-*,http://deepseadrilling.org/cores/leg009/78.1R.PDF,78.1R.PDF,134,0
2533,DSDP,9,79,*,2.5503,-121.5667,4574,,159.0883942,0.040081609,9-79-*,,,135,
1188,DSDP,9,79,*,2.5503,-121.5667,4574,,159.0883942,0.040081609,9-79-*,,,136,
2407,DSDP,9,80,*,-0.962,-121.5537,4411,77.9,164.4034424,0.039154466,9-80-*,http://deepseadrilling.org/cores/leg009/80.1R.pdf,80.1R.pdf,137,0
3603,DSDP,9,80,*,-0.962,-121.5537,4411,77.9,164.4034424,0.039154466,9-80-*,http://deepseadrilling.org/cores/leg009/80.1R.pdf,80.1R.pdf,138,0
400,DSDP,9,81,*,1.4415,-113.809,3865,84.1,149.7286224,0.044078231,9-81-*,http://deepseadrilling.org/cores/leg009/81.1R.pdf,81.1R.pdf,139,0
279,DSDP,9,82,*,2.5913,-106.942,3707,83.5,149.1525726,0.035049863,9-82-*,http://deepseadrilling.org/cores/leg009/82.1R.pdf,82.1R.pdf,140,0
2434,DSDP,9,82,*,2.5913,-106.942,3707,83.5,149.1525726,0.035049863,9-82-*,http://deepseadrilling.org/cores/leg009/82.1R.pdf,82.1R.pdf,141,0
1620,DSDP,9,83,*,4.0467,-95.7375,3646,,121.2457581,0.027983576,9-83-*,,,142,
3442,DSDP,9,83,*,4.0467,-95.7375,3646,,121.2457581,0.027983576,9-83-*,,,143,
109,DSDP,9,84,*,5.7487,-82.8882,3096,10.2,105.7609482,0.05133763,9-84-*,http://deepseadrilling.org/cores/leg009/84.1R.pdf,84.1R.pdf,144,0
1432,DSDP,10,85,*,22.8415,-91.4228,3749,,219.0621033,0.187675372,10-85-*,,,145,
1581,DSDP,10,85,*,22.8415,-91.4228,3749,,219.0621033,0.187675372,10-85-*,,,146,
2810,DSDP,10,86,*,22.8747,-90.9625,1481,,210.1977692,0.204849035,10-86-*,,,147,
3401,DSDP,10,87,*,23.015,-92.086,3761,,218.9720001,0.160311282,10-87-*,,,148,
3342,DSDP,10,88,*,21.3822,-94.0035,2532,34,213.5314484,0.121634424,10-88-*,http://deepseadrilling.org/cores/leg010/88.1R.PDF,88.1R.PDF,149,0
2342,DSDP,10,89,*,20.8902,-95.1122,3067,33.2,198.0411835,0.116091281,10-89-*,http://deepseadrilling.org/cores/leg010/89.1R.PDF,89.1R.PDF,150,825
2226,DSDP,10,90,*,23.7967,-94.7682,3713,18,218.2456665,0.118333682,10-90-*,http://deepseadrilling.org/cores/leg010/90.1R.PDF,90.1R.PDF,151,0
1334,DSDP,10,91,*,23.7733,-93.3462,3763,,218.2810364,0.131089538,10-91-*,,,152,
333,DSDP,10,92,*,25.8448,-91.8215,2573,,217.2896576,0.217757434,10-92-*,http://deepseadrilling.org/cores/leg010/92.1R.PDF,92.1R.PDF,153,9
3423,DSDP,10,93,*,22.6208,-91.4797,3090,,218.7472229,0.190331593,10-93-*,,,154,
3210,DSDP,10,94,*,24.5273,-88.4693,1793,,217.9810638,0.204029366,10-94-*,http://deepseadrilling.org/cores/leg010/94.1R.PDF,94.1R.PDF,155,8
532,DSDP,10,95,*,24.15,-86.3975,1633,84.8,214.8992157,0.160722896,10-95-*,http://deepseadrilling.org/cores/leg010/95.1R.PDF,95.1R.PDF,156,9
675,DSDP,10,96,*,23.7427,-85.7633,3439,,220.5449677,0.154766455,10-96-*,,,157,
2068,DSDP,10,97,*,23.8842,-84.4457,2930,,220.1416473,0.18675819,10-97-*,http://deepseadrilling.org/cores/leg010/97.1R.PDF,97.1R.PDF,158,6
3721,DSDP,11,98,*,25.3825,-77.3113,2769,95.2,266.5117798,0.171711773,11-98-*,,,159,
1377,DSDP,11,99,*,23.6857,-73.8498,4914,,261.2576599,0.0721974,11-99-*,,,160,
233,DSDP,11,100,*,24.6878,-73.7997,5325,,256.4351196,0.072161473,11-100-*,,,161,
941,DSDP,11,101,*,25.1988,-74.4385,4868,,261.8328552,0.075649455,11-101-*,,,162,
1636,DSDP,11,101,*,25.1988,-74.4385,4868,,261.8328552,0.075649455,11-101-*,,,163,
2748,DSDP,11,102,*,30.7322,-74.4523,3426,33.4,271.5107727,0.071193226,11-102-*,http://deepseadrilling.org/cores/leg011/102.1R.PDF,102.1R.PDF,164,7
2421,DSDP,11,103,*,30.4513,-74.5832,3964,35,268.8251038,0.071926802,11-103-*,http://deepseadrilling.org/cores/leg011/103.1R.PDF,103.1R.PDF,165,0
3706,DSDP,11,104,*,30.8275,-74.3273,3811,58.9,270.245636,0.070985854,11-104-*,http://deepseadrilling.org/cores/leg011/104.1R.PDF,104.1R.PDF,166,0
907,DSDP,11,105,*,34.8953,-69.1733,5251,,255.6192322,0.064042151,11-105-*,,,167,
592,DSDP,11,106,*,36.4335,-69.4615,4500,30.7,265.677002,0.064845823,11-106-*,http://deepseadrilling.org/cores/leg011/106.1R.PDF,106.1R.PDF,168,7
2043,DSDP,11,106,*,36.4335,-69.4615,4500,30.7,265.677002,0.064845823,11-106-*,http://deepseadrilling.org/cores/leg011/106.1R.PDF,106.1R.PDF,169,0
2296,DSDP,11,107,*,38.6598,-72.4753,2571,,269.1427307,0.084364906,11-107-*,,,170,
548,DSDP,11,108,*,38.8045,-72.6535,1845,,268.1282349,0.089261658,11-108-*,,,171,
2314,DSDP,12,111,*,50.4262,-46.3675,1797,,284.3571777,0.095728442,12-111-*,http://deepseadrilling.org/cores/leg012/111.1R.PDF,111.1R.PDF,172,0
3663,DSDP,12,111,*,50.4262,-46.3675,1797,,284.3571777,0.095728442,12-111-*,http://deepseadrilling.org/cores/leg012/111.1R.PDF,111.1R.PDF,173,0
2643,DSDP,12,112,*,54.0167,-46.604,3657,,290.9201965,0.10639134,12-112-*,,,174,
274,DSDP,12,112,*,54.0167,-46.604,3657,,290.9201965,0.10639134,12-112-*,,,175,
379,DSDP,12,113,*,56.79,-48.3318,3619,,294.0385437,0.106052086,12-113-*,,,176,
2819,DSDP,12,114,*,59.9333,-26.8,1927,,277.7219543,0.076672092,12-114-*,,,177,
2732,DSDP,12,115,*,58.9067,-21.1167,2883,,273.5756531,0.074029244,12-115-*,,,178,
2256,DSDP,12,116,*,57.496,-15.9243,1151,,239.2979279,0.065354742,12-116-*,,,179,
596,DSDP,12,116,*,57.496,-15.9243,1151,,239.2979279,0.065354742,12-116-*,,,180,
1671,DSDP,12,117,*,57.3362,-15.3995,1038,,230.2261505,0.06532003,12-117-*,,,181,
1409,DSDP,12,117,*,57.3362,-15.3995,1038,,230.2261505,0.06532003,12-117-*,,,182,
2305,DSDP,12,118,*,45.0442,-9.0105,4901,,241.2722015,0.087108597,12-118-*,,,183,
1366,DSDP,12,119,*,45.0317,-7.9748,4447,,240.4510956,0.09897121,12-119-*,,,184,
1984,DSDP,13,120,*,36.6898,-11.4323,1711,,223.8302307,0.064916842,13-120-*,,,185,
3062,DSDP,13,121,*,36.1608,-4.3738,1163,,,0.312439114,13-121-*,,,186,
1540,DSDP,13,122,*,40.4478,2.6243,2146,,197.3182678,0.267205477,13-122-*,,,187,
1253,DSDP,13,123,*,40.6305,2.8378,2290,,200.8681641,0.265180111,13-123-*,,,188,
1725,DSDP,13,124,*,38.873,4.9948,2726,,200.9864502,0.240361094,13-124-*,,,189,
660,DSDP,13,125,*,34.6248,20.4293,2782,50.3,187.5484772,0.215504557,13-125-*,http://deepseadrilling.org/cores/leg013/125.1R.PDF,125.1R.PDF,190,5
2918,DSDP,13,125,*,34.6248,20.4293,2782,50.3,187.5484772,0.215504557,13-125-*,http://deepseadrilling.org/cores/leg013/125.1R.PDF,125.1R.PDF,191,0
1148,DSDP,13,126,*,35.162,21.4272,3730,,190.8596497,0.199098706,13-126-*,,,192,
750,DSDP,13,126,*,35.162,21.4272,3730,,190.8596497,0.199098706,13-126-*,,,193,
2166,DSDP,13,127,*,35.7317,22.4968,4654,,,0.194045544,13-127-*,,,194,
2501,DSDP,13,127,*,35.7317,22.4968,4654,,,0.194045544,13-127-*,,,195,
3073,DSDP,13,127,*,35.7317,22.4968,4654,,,0.194045544,13-127-*,,,196,
2710,DSDP,13,128,*,35.7097,22.4683,4640,,,0.194045544,13-128-*,,,197,
1170,DSDP,13,129,*,34.3493,27.082,3048,,184.4571381,0.214780673,13-129-*,,,198,
1202,DSDP,13,129,*,34.3493,27.082,3048,,184.4571381,0.214780673,13-129-*,,,199,
1828,DSDP,13,129,*,34.3493,27.082,3048,,184.4571381,0.214780673,13-129-*,,,200,
