Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),BWO Glodap,BWO WOA,BWO Seiter,MAR Restreppo,SR Dutkiewicz,Productivity Lee,CaCO3 Archer,OC Lee,ProvCode,Holocene CaCO3 (%),LGM CaCO3 (%),Holocene-LGM CaCO3 (%),Code,Image Link,Filename
DSDP,1,1,*,25.8583,-92.1833,2827.0,,218.29757690429688,,0.025105256159391486,18.76567268371582,240.18179321289062,,0.6961193084716797,CARB,60.0,50.111111111111114,9.888888888888886,1-1-*,http://deepseadrilling.org/cores/leg001/1.1M.pdf,1.1M.pdf
DSDP,1,2,*,23.455,-92.5867,3572.0,,214.91891479492188,,0.012140061483376511,12.51778793334961,209.93963623046875,,0.5977267622947693,CARB,60.0,50.111111111111114,9.888888888888886,1-2-*,,
DSDP,1,3,*,23.03,-92.0433,3747.0,,218.9720001220703,,0.010587618254066405,11.347282409667969,209.93963623046875,,0.4840587079524994,CARB,60.0,50.111111111111114,9.888888888888886,1-3-*,,
DSDP,1,4,*,24.478,-73.792,5319.0,263.247522354126,256.30487060546875,250.8125,0.0024323170468539407,0.5597407221794128,132.1124267578125,28.0875,0.397281289100647,NATR,61.15384615384615,49.76923076923077,11.384615384615387,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF
DSDP,1,4,*,24.478,-73.792,5319.0,263.247522354126,256.30487060546875,250.8125,0.0024323170468539407,0.5597407221794128,132.1124267578125,28.0875,0.397281289100647,NATR,61.15384615384615,49.76923076923077,11.384615384615387,1-4-*,http://deepseadrilling.org/cores/leg001/4.1R.PDF,4.1R.PDF
DSDP,1,5,*,24.7265,-73.641,5354.0,265.07140159606934,256.30487060546875,250.8125,0.0022909060865192047,0.6152594089508057,132.1124267578125,28.0875,0.4217695891857147,NATR,61.15384615384615,49.76923076923077,11.384615384615387,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF
DSDP,1,5,*,24.7265,-73.641,5354.0,265.07140159606934,256.30487060546875,250.8125,0.0022909060865192047,0.6152594089508057,132.1124267578125,28.0875,0.4217695891857147,NATR,61.15384615384615,49.76923076923077,11.384615384615387,1-5-*,http://deepseadrilling.org/cores/leg001/5.1R.PDF,5.1R.PDF
DSDP,1,6,*,30.8398,-67.6477,5124.0,270.01333808898926,256.5067138671875,258.5625,0.0022378076781705315,0.7332006692886353,159.2278594970703,12.93,0.4610244929790497,NASW,55.0,34.55555555555556,20.444444444444443,1-6-*,,
DSDP,1,6,*,30.8398,-67.6477,5124.0,270.01333808898926,256.5067138671875,258.5625,0.0022378076781705315,0.7332006692886353,159.2278594970703,12.93,0.4610244929790497,NASW,55.0,34.55555555555556,20.444444444444443,1-6-*,,
DSDP,1,7,*,30.134,-68.2967,5182.0,269.95936584472656,256.0148620605469,260.6875,0.0022157523144908523,0.7364625334739685,158.891357421875,15.495000000000001,0.5212348699569702,NASW,55.0,34.55555555555556,20.444444444444443,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF
DSDP,1,7,*,30.134,-68.2967,5182.0,269.95936584472656,256.0148620605469,260.6875,0.0022157523144908523,0.7364625334739685,158.891357421875,15.495000000000001,0.5212348699569702,NASW,55.0,34.55555555555556,20.444444444444443,1-7-*,http://deepseadrilling.org/cores/leg001/7.1R.PDF,7.1R.PDF
DSDP,2,8,*,35.3833,-67.5533,5184.0,270.339786529541,257.2164001464844,226.5625,0.0017865026705317945,0.949766218662262,233.301025390625,27.142500000000002,0.5146515369415283,NASW,55.0,34.55555555555556,20.444444444444443,2-8-*,,
DSDP,2,8,*,35.3833,-67.5533,5184.0,270.339786529541,257.2164001464844,226.5625,0.0017865026705317945,0.949766218662262,233.301025390625,27.142500000000002,0.5146515369415283,NASW,55.0,34.55555555555556,20.444444444444443,2-8-*,,
DSDP,2,9,*,32.7733,-59.195,4973.0,268.4033432006836,259.6806640625,260.75,0.0019830012524834433,0.8044871687889099,189.99122619628906,34.115,0.4266151785850525,NASW,55.0,34.55555555555556,20.444444444444443,2-9-*,,
DSDP,2,9,*,32.7733,-59.195,4973.0,268.4033432006836,259.6806640625,260.75,0.0019830012524834433,0.8044871687889099,189.99122619628906,34.115,0.4266151785850525,NASW,55.0,34.55555555555556,20.444444444444443,2-9-*,,
DSDP,2,10,*,32.8622,-52.2153,4712.0,265.2983627319336,257.322021484375,254.5,0.0019027145787143005,0.37119683623313904,197.8800506591797,18.7325,0.41447654366493225,NASW,55.0,34.55555555555556,20.444444444444443,2-10-*,,
DSDP,2,11,*,29.943,-44.7467,3571.0,257.32169914245605,260.5099182128906,255.375,0.0008753886252664878,0.8664025664329529,142.92184448242188,85.66499999999999,0.298038125038147,NASW,55.0,34.55555555555556,20.444444444444443,2-11-*,,
DSDP,2,11,*,29.943,-44.7467,3571.0,257.32169914245605,260.5099182128906,255.375,0.0008753886252664878,0.8664025664329529,142.92184448242188,85.66499999999999,0.298038125038147,NASW,55.0,34.55555555555556,20.444444444444443,2-11-*,,
DSDP,2,12,*,19.6955,-26.0005,4557.0,244.7876796722412,245.03236389160156,246.875,0.0011521692624437059,1.0454624891281128,288.3960266113281,67.1725,0.2908986806869507,NATR,61.15384615384615,49.76923076923077,11.384615384615387,2-12-*,,
DSDP,2,12,*,19.6955,-26.0005,4557.0,244.7876796722412,245.03236389160156,246.875,0.0011521692624437059,1.0454624891281128,288.3960266113281,67.1725,0.2908986806869507,NATR,61.15384615384615,49.76923076923077,11.384615384615387,2-12-*,,
