Top Depth CCSF (m),Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Bottom Depth CCSF (m),Thickness (cm),Label,N,N (new),SectionLabel
53.321,306,1313,B,6,H,3,7.1,8.0,53.33,0.9000000000000341,0.0,500,0,1313B_6H3
37.406,306,1313,C,5,H,2,16.6,16.9,37.409,0.3000000000000113,0.0,273,1,1313C_5H2
34.998999999999995,306,1313,B,4,H,4,104.9,105.7,35.007,0.8000000000002672,0.0,222,2,1313B_4H4
38.636,306,1313,C,5,H,2,139.6,141.4,38.654,1.8000000000000682,,281,3,1313C_5H2
10.845000000000004,306,1313,C,2,H,6,21.5,24.3,10.873000000000005,2.800000000000047,,34,4,1313C_2H6
37.527,306,1313,C,5,H,2,28.7,29.0,37.53,0.3000000000000113,,274,5,1313C_5H2
8.197000000000001,306,1313,C,2,H,4,56.7,59.5,8.225000000000001,2.800000000000047,,13,6,1313C_2H4
38.661,306,1313,C,5,H,2,142.1,144.1,38.681,1.999999999999602,,283,7,1313C_5H2
34.92399999999999,306,1313,B,4,H,4,97.4,99.2,34.942,1.8000000000007788,,218,8,1313B_4H4
47.852,306,1313,B,5,H,5,125.2,128.0,47.88,2.80000000000058,,432,9,1313B_5H5
35.00899999999999,306,1313,B,4,H,4,105.9,107.0,35.019999999999996,1.1000000000002783,,223,10,1313B_4H4
43.631,306,1313,C,5,H,6,39.1,41.5,43.655,2.400000000000091,,352,11,1313C_5H6
43.414,306,1313,C,5,H,6,17.4,20.3,43.443000000000005,2.9000000000003467,,348,12,1313C_5H6
19.501,306,1313,C,3,H,4,136.1,137.9,19.519,1.799999999999713,,93,13,1313C_3H4
6.883000000000001,306,1313,C,2,H,3,75.3,76.4,6.894000000000001,1.100000000000012,,7,14,1313C_2H3
36.702,306,1313,C,5,H,1,96.2,97.4,36.71399999999999,1.199999999999335,,257,15,1313C_5H1
53.135,306,1313,B,6,H,2,138.5,138.7,53.137,0.2000000000002444,,491,16,1313B_6H2
39.434000000000005,306,1313,C,5,H,3,69.4,72.3,39.463,2.899999999999636,,305,17,1313C_5H3
22.37,306,1313,B,3,H,3,127.0,127.6,22.376,0.6000000000000227,,123,18,1313B_3H3
10.992000000000004,306,1313,C,2,H,6,36.2,36.4,10.994000000000003,0.1999999999998891,,38,19,1313C_2H6
32.284,306,1313,B,4,H,2,133.4,134.9,32.299,1.5000000000000568,,176,20,1313B_4H2
52.772,306,1313,B,6,H,2,102.2,104.8,52.798,2.6000000000003354,,480,21,1313B_6H2
32.122,306,1313,B,4,H,2,117.2,119.1,32.141,1.8999999999998352,,170,22,1313B_4H2
53.622,306,1313,B,6,H,3,37.2,39.8,53.648,2.6000000000003354,,513,23,1313B_6H3
44.399,306,1313,C,5,H,6,115.9,116.8,44.408,0.9000000000000341,,380,24,1313C_5H6
34.553999999999995,306,1313,B,4,H,4,60.4,62.0,34.56999999999999,1.5999999999998238,,207,25,1313B_4H4
54.813,306,1313,B,6,H,4,6.3,7.2,54.822,0.9000000000000341,,527,26,1313B_6H4
47.881,306,1313,B,5,H,5,128.1,131.4,47.914,3.300000000000125,,433,27,1313B_5H5
8.484000000000002,306,1313,C,2,H,4,85.4,87.2,8.502000000000002,1.8000000000000682,,20,28,1313C_2H4
35.263999999999996,306,1313,B,4,H,4,131.4,132.8,35.278,1.40000000000029,,232,29,1313B_4H4
40.527,306,1313,C,5,H,4,28.7,29.4,40.534,0.6999999999997897,,315,30,1313C_5H4
51.299,306,1313,B,6,H,1,104.9,107.3,51.323,2.400000000000091,,463,31,1313B_6H1
28.29,306,1313,C,4,H,3,79.0,79.8,28.298,0.7999999999999119,,142,32,1313C_4H3
39.355,306,1313,C,5,H,3,61.5,64.8,39.388000000000005,3.3000000000008356,,304,33,1313C_5H3
49.30200000000001,306,1313,C,6,H,3,86.2,88.2,49.322,1.999999999999602,,447,34,1313C_6H3
54.806,306,1313,B,6,H,4,5.6,6.2,54.812,0.6000000000000227,,526,35,1313B_6H4
45.92,306,1313,B,5,H,4,82.0,83.6,45.936,1.5999999999998238,,408,36,1313B_5H4
53.331,306,1313,B,6,H,3,8.1,8.8,53.338,0.6999999999997897,,501,37,1313B_6H3
52.996,306,1313,B,6,H,2,124.6,126.0,53.01,1.3999999999995794,,488,38,1313B_6H2
49.71000000000001,306,1313,C,6,H,3,127.0,127.7,49.717000000000006,0.6999999999997897,,453,39,1313C_6H3
19.546,306,1313,C,3,H,4,140.6,141.1,19.551,0.4999999999999005,,95,40,1313C_3H4
43.809000000000005,306,1313,C,5,H,6,56.9,58.1,43.821000000000005,1.2000000000000457,,354,41,1313C_5H6
53.152,306,1313,B,6,H,2,140.2,141.4,53.164,1.2000000000000457,,493,42,1313B_6H2
44.046,306,1313,C,5,H,6,80.6,81.1,44.051,0.5000000000002558,,367,43,1313C_5H6
13.688000000000002,306,1313,B,2,H,5,2.8,3.0,13.69,0.1999999999997115,,56,44,1313B_2H5
10.967000000000004,306,1313,C,2,H,6,33.7,36.1,10.991000000000003,2.400000000000091,,37,45,1313C_2H6
42.929,306,1313,C,5,H,5,118.9,119.5,42.935,0.6000000000000227,,346,46,1313C_5H5
36.748,306,1313,C,5,H,1,100.8,102.2,36.76199999999999,1.3999999999995794,,259,47,1313C_5H1
20.947999999999997,306,1313,C,3,H,5,130.8,132.4,20.964,1.600000000000179,,119,48,1313C_3H5
43.883,306,1313,C,5,H,6,64.3,64.5,43.885000000000005,0.2000000000002444,,359,49,1313C_5H6
8.435000000000002,306,1313,C,2,H,4,80.5,81.1,8.441000000000003,0.6000000000000227,,19,50,1313C_2H4
11.241000000000003,306,1313,C,2,H,6,61.1,62.1,11.251000000000005,1.0000000000001563,,51,51,1313C_2H6
32.047999999999995,306,1313,B,4,H,2,109.8,111.8,32.068000000000005,2.000000000001023,,165,52,1313B_4H2
51.351,306,1313,B,6,H,1,110.1,111.4,51.364,1.2999999999998124,,464,53,1313B_6H1
42.942,306,1313,C,5,H,5,120.2,120.8,42.948,0.6000000000000227,,347,54,1313C_5H5
43.843,306,1313,C,5,H,6,60.3,61.6,43.856,1.2999999999998124,,357,55,1313C_5H6
