Top Depth CCSF (m),Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Bottom Depth CCSF (m),Thickness (cm),Label,N,N (new),SectionLabel
36.175,361,U1474,D,5,H,4,139.9,140.7,36.183,0.8,2,691,566,U1474D_5H4
36.183,361,U1474,D,5,H,4,140.7,141.8,36.194,1.1,2,692,293,U1474D_5H4
36.246,361,U1474,D,5,H,4,147,147.3,36.249,0.3,2,693,972,U1474D_5H4
36.25,361,U1474,D,5,H,4,147.4,147.9,36.255,0.5,1,694,391,U1474D_5H4
36.291,361,U1474,D,5,H,5,1.5,2.4,36.3,0.9,1,695,50,U1474D_5H5
36.41,361,U1474,D,5,H,5,13.4,13.9,36.415,0.5,0,696,910,U1474D_5H5
36.566,361,U1474,D,5,H,5,29,31.5,36.591,2.5,2,697,585,U1474D_5H5
36.598,361,U1474,D,5,H,5,32.2,32.7,36.603,0.5,2,698,548,U1474D_5H5
36.8,361,U1474,D,5,H,5,52.4,54.7,36.823,2.3,3,699,1054,U1474D_5H5
36.868,361,U1474,D,5,H,5,59.2,59.9,36.875,0.7,4,700,39,U1474D_5H5
36.884,361,U1474,D,5,H,5,60.8,61.4,36.89,0.6,4,701,501,U1474D_5H5
36.891,361,U1474,D,5,H,5,61.5,62.8,36.904,1.3,2,702,571,U1474D_5H5
36.905,361,U1474,D,5,H,5,62.9,63.3,36.909,0.4,1,703,1209,U1474D_5H5
36.936,361,U1474,D,5,H,5,66,66.9,36.945,0.9,2,704,1215,U1474D_5H5
36.969,361,U1474,D,5,H,5,69.3,69.4,36.97,0.1,1,705,905,U1474D_5H5
36.971,361,U1474,D,5,H,5,69.5,69.9,36.975,0.4,2,706,677,U1474D_5H5
36.975,361,U1474,D,5,H,5,69.9,70.1,36.977,0.2,2,707,742,U1474D_5H5
36.978,361,U1474,D,5,H,5,70.2,71.1,36.987,0.9,2,708,221,U1474D_5H5
37.006,361,U1474,D,5,H,5,73,74.1,37.017,1.1,2,709,116,U1474D_5H5
37.035,361,U1474,D,5,H,5,75.9,78.4,37.06,2.5,2,710,858,U1474D_5H5
37.061,361,U1474,D,5,H,5,78.5,80.2,37.078,1.7,2,711,740,U1474D_5H5
37.097,361,U1474,D,5,H,5,82.1,82.9,37.105,0.8,1,712,990,U1474D_5H5
37.106,361,U1474,D,5,H,5,83,83.3,37.109,0.3,0,713,1164,U1474D_5H5
37.11,361,U1474,D,5,H,5,83.4,84,37.116,0.6,2,714,339,U1474D_5H5
37.142,361,U1474,D,5,H,5,86.6,87.9,37.155,1.3,3,715,314,U1474D_5H5
37.167,361,U1474,D,5,H,5,89.1,89.5,37.171,0.4,1,716,296,U1474D_5H5
37.177,361,U1474,D,5,H,5,90.1,90.8,37.184,0.7,2,717,44,U1474D_5H5
37.254,361,U1474,D,5,H,5,97.8,100,37.276,2.2,2,718,258,U1474D_5H5
37.318,361,U1474,D,5,H,5,104.2,106,37.336,1.8,2,719,89,U1474D_5H5
37.363,361,U1474,D,5,H,5,108.7,110.5,37.381,1.8,3,720,718,U1474D_5H5
37.403,361,U1474,D,5,H,5,112.7,114.7,37.423,2,2,721,254,U1474D_5H5
37.424,361,U1474,D,5,H,5,114.8,115.3,37.429,0.5,1,722,691,U1474D_5H5
37.443,361,U1474,D,5,H,5,116.7,117.7,37.453,1,0,723,1172,U1474D_5H5
37.483,361,U1474,D,5,H,5,120.7,122.6,37.502,1.9,3,724,341,U1474D_5H5
37.543,361,U1474,D,5,H,5,126.7,128.5,37.561,1.8,3,725,1197,U1474D_5H5
37.572,361,U1474,D,5,H,5,129.6,130.9,37.585,1.3,1,726,956,U1474D_5H5
37.755,361,U1474,D,5,H,5,147.9,149.1,37.767,1.2,0,727,843,U1474D_5H5
37.767,361,U1474,D,5,H,5,149.1,149.4,37.77,0.3,0,728,1187,U1474D_5H5
37.776,361,U1474,D,5,H,6,0,0.9,37.785,0.9,0,729,648,U1474D_5H6
37.786,361,U1474,D,5,H,6,1,1.9,37.795,0.9,1,730,1014,U1474D_5H6
37.798,361,U1474,D,5,H,6,2.2,2.8,37.804,0.6,1,731,36,U1474D_5H6
37.878,361,U1474,D,5,H,6,10.2,11.4,37.89,1.2,3,732,502,U1474D_5H6
38.479,361,U1474,D,5,H,6,70.3,71.6,38.492,1.3,3,733,167,U1474D_5H6
38.546,361,U1474,D,5,H,6,77,77.8,38.554,0.8,2,734,1099,U1474D_5H6
38.664,361,U1474,D,5,H,6,88.8,90.4,38.68,1.6,2,735,1267,U1474D_5H6
38.693,361,U1474,D,5,H,7,-0.3,1,38.706,1.3,0,736,686,U1474D_5H7
38.707,361,U1474,D,5,H,7,1.1,1.3,38.709,0.2,0,737,414,U1474D_5H7
39.154,361,U1474,D,5,H,7,45.8,47,39.166,1.2,0,738,395,U1474D_5H7
39.182,361,U1474,D,5,H,7,48.6,51.3,39.209,2.7,0,739,242,U1474D_5H7
39.231,361,U1474,D,5,H,7,53.5,54.6,39.242,1.1,1,740,369,U1474D_5H7
39.302,361,U1474,D,5,H,7,60.6,62.2,39.318,1.6,3,741,1307,U1474D_5H7
39.324,361,U1474,D,5,H,7,62.8,63.1,39.327,0.3,0,742,495,U1474D_5H7
39.431,361,U1474,D,5,H,7,73.5,73.8,39.434,0.3,1,743,793,U1474D_5H7
41.23,361,U1474,D,6,H,1,73.1,75.8,41.257,2.7,3,744,1284,U1474D_6H1
41.499,361,U1474,D,6,H,1,100,101.1,41.51,1.1,4,745,316,U1474D_6H1
41.511,361,U1474,D,6,H,1,101.2,101.4,41.513,0.2,0,746,372,U1474D_6H1
41.532,361,U1474,D,6,H,1,103.3,103.8,41.537,0.5,0,747,1016,U1474D_6H1
41.549,361,U1474,D,6,H,1,105,106.4,41.563,1.4,0,748,602,U1474D_6H1
41.714,361,U1474,D,6,H,1,121.5,121.8,41.717,0.3,0,749,110,U1474D_6H1
41.813,361,U1474,D,6,H,1,131.4,134.1,41.84,2.7,0,750,919,U1474D_6H1
42.623,361,U1474,D,6,H,2,62.4,64.2,42.641,1.8,1,751,95,U1474D_6H2
42.666,361,U1474,D,6,H,2,66.7,67,42.669,0.3,0,752,210,U1474D_6H2
42.67,361,U1474,D,6,H,2,67.1,69.7,42.696,2.6,3,753,732,U1474D_6H2
42.699,361,U1474,D,6,H,2,70,72.3,42.722,2.3,2,754,325,U1474D_6H2
42.74,361,U1474,D,6,H,2,74.1,75,42.749,0.9,1,755,331,U1474D_6H2
42.75,361,U1474,D,6,H,2,75.1,76.2,42.761,1.1,1,756,146,U1474D_6H2
42.762,361,U1474,D,6,H,2,76.3,77.6,42.775,1.3,2,757,782,U1474D_6H2
42.776,361,U1474,D,6,H,2,77.7,78.3,42.782,0.6,1,758,19,U1474D_6H2
42.808,361,U1474,D,6,H,2,80.9,81.2,42.811,0.3,1,759,179,U1474D_6H2
42.812,361,U1474,D,6,H,2,81.3,82.3,42.822,1,2,760,268,U1474D_6H2
42.823,361,U1474,D,6,H,2,82.4,82.6,42.825,0.2,0,761,498,U1474D_6H2
42.832,361,U1474,D,6,H,2,83.3,84.3,42.842,1,1,762,136,U1474D_6H2
42.85,361,U1474,D,6,H,2,85.1,86.3,42.862,1.2,3,763,292,U1474D_6H2
42.88,361,U1474,D,6,H,2,88.1,89.5,42.894,1.4,2,764,582,U1474D_6H2
42.895,361,U1474,D,6,H,2,89.6,90.1,42.9,0.5,1,765,726,U1474D_6H2
42.901,361,U1474,D,6,H,2,90.2,90.7,42.906,0.5,1,766,993,U1474D_6H2
42.928,361,U1474,D,6,H,2,92.9,93.3,42.932,0.4,0,767,72,U1474D_6H2
42.933,361,U1474,D,6,H,2,93.4,95.3,42.952,1.9,0,768,437,U1474D_6H2
42.982,361,U1474,D,6,H,2,98.3,99,42.989,0.7,2,769,946,U1474D_6H2
42.99,361,U1474,D,6,H,2,99.1,99.6,42.995,0.5,1,770,598,U1474D_6H2
43.05,361,U1474,D,6,H,2,105.1,106.8,43.067,1.7,2,771,156,U1474D_6H2
43.082,361,U1474,D,6,H,2,108.3,108.9,43.088,0.6,1,772,1145,U1474D_6H2
43.11,361,U1474,D,6,H,2,111.1,111.7,43.116,0.6,1,773,846,U1474D_6H2
43.15,361,U1474,D,6,H,2,115.1,115.5,43.154,0.4,0,774,928,U1474D_6H2
43.248,361,U1474,D,6,H,2,124.9,125.7,43.256,0.8,0,775,190,U1474D_6H2
43.257,361,U1474,D,6,H,2,125.8,126.8,43.267,1,1,776,1318,U1474D_6H2
43.268,361,U1474,D,6,H,2,126.9,130.3,43.302,3.4,2,777,989,U1474D_6H2
43.303,361,U1474,D,6,H,2,130.4,134.2,43.341,3.8,0,778,1351,U1474D_6H2
44.145,361,U1474,D,6,H,3,64.6,65.9,44.158,1.3,0,779,80,U1474D_6H3
44.177,361,U1474,D,6,H,3,67.8,68.3,44.182,0.5,0,780,415,U1474D_6H3
44.913,361,U1474,D,6,H,3,140.6,146.8,44.938,6.2,4,781,59,U1474D_6H3
45.425,361,U1474,D,6,H,4,42.6,43.1,45.43,0.5,0,782,597,U1474D_6H4
45.653,361,U1474,D,6,H,4,65.4,66.7,45.666,1.3,2,783,1285,U1474D_6H4
45.667,361,U1474,D,6,H,4,66.8,68.1,45.68,1.3,3,784,791,U1474D_6H4
45.716,361,U1474,D,6,H,4,71.7,72.7,45.726,1,0,785,111,U1474D_6H4
45.73,361,U1474,D,6,H,4,72.7,75,45.738,2.3,3,786,774,U1474D_6H4
45.755,361,U1474,D,6,H,4,75.6,77.7,45.776,2.1,3,787,1138,U1474D_6H4
45.781,361,U1474,D,6,H,4,78.2,78.8,45.787,0.6,0,788,405,U1474D_6H4
45.793,361,U1474,D,6,H,4,79.4,80.7,45.806,1.3,0,789,997,U1474D_6H4
45.84,361,U1474,D,6,H,4,84.1,85.9,45.858,1.8,2,790,706,U1474D_6H4
46.254,361,U1474,D,6,H,4,125.5,126.6,46.265,1.1,0,791,477,U1474D_6H4
46.301,361,U1474,D,6,H,4,130.2,130.8,46.307,0.6,0,792,1271,U1474D_6H4
46.308,361,U1474,D,6,H,4,130.9,131.6,46.315,0.7,0,793,875,U1474D_6H4
46.373,361,U1474,D,6,H,4,137.4,140,46.399,2.6,3,794,735,U1474D_6H4
46.4,361,U1474,D,6,H,4,140.1,140.3,46.402,0.2,0,795,608,U1474D_6H4
46.403,361,U1474,D,6,H,4,140.4,141.7,46.416,1.3,2,796,157,U1474D_6H4
46.417,361,U1474,D,6,H,4,141.8,142.2,46.421,0.4,0,797,1079,U1474D_6H4
46.464,361,U1474,D,6,H,4,146.5,147.2,46.471,0.7,0,798,656,U1474D_6H4
46.473,361,U1474,D,6,H,4,147.4,147.9,46.478,0.5,0,799,34,U1474D_6H4
46.482,361,U1474,D,6,H,4,148.3,149.4,46.493,1.1,0,800,1100,U1474D_6H4
46.494,361,U1474,D,6,H,5,-0.5,2,46.519,2.5,1,801,483,U1474D_6H5
46.52,361,U1474,D,6,H,5,2.1,2.8,46.527,0.7,0,802,619,U1474D_6H5
46.582,361,U1474,D,6,H,5,8.3,9.3,46.592,1,1,803,934,U1474D_6H5
46.618,361,U1474,D,6,H,5,11.9,12.5,46.624,0.6,0,804,97,U1474D_6H5
46.647,361,U1474,D,6,H,5,14.8,16.3,46.662,1.5,1,805,1062,U1474D_6H5
46.705,361,U1474,D,6,H,5,20.6,21.2,46.711,0.6,0,806,954,U1474D_6H5
46.72,361,U1474,D,6,H,5,22.1,25.6,46.755,3.5,3,807,1114,U1474D_6H5
46.779,361,U1474,D,6,H,5,28,28.8,46.787,0.8,1,808,184,U1474D_6H5
46.799,361,U1474,D,6,H,5,30,30.7,46.806,0.7,2,809,684,U1474D_6H5
46.807,361,U1474,D,6,H,5,30.8,31.6,46.815,0.8,2,810,357,U1474D_6H5
46.816,361,U1474,D,6,H,5,31.7,32.3,46.822,0.6,2,811,378,U1474D_6H5
46.836,361,U1474,D,6,H,5,33.7,34.5,46.844,0.8,0,812,1113,U1474D_6H5
47.205,361,U1474,D,6,H,5,70.6,73.9,47.238,3.3,0,813,1017,U1474D_6H5
47.354,361,U1474,D,6,H,5,85.5,86.1,47.36,0.6,0,814,1095,U1474D_6H5
47.361,361,U1474,D,6,H,5,86.2,89.2,47.391,3,3,815,294,U1474D_6H5
47.889,361,U1474,D,6,H,5,139,146.8,47.967,7.8,0,816,82,U1474D_6H5
47.968,361,U1474,D,6,H,5,146.9,147.8,47.977,0.9,0,817,1041,U1474D_6H5
48.031,361,U1474,D,6,H,6,3.2,4.1,48.04,0.9,0,818,121,U1474D_6H6
48.041,361,U1474,D,6,H,6,4.2,6.3,48.062,2.1,3,819,279,U1474D_6H6
48.093,361,U1474,D,6,H,6,9.4,10.2,48.101,0.8,0,820,1341,U1474D_6H6
48.124,361,U1474,D,6,H,6,12.5,14.7,48.146,2.2,0,821,639,U1474D_6H6
48.15,361,U1474,D,6,H,6,15.1,16.4,48.163,1.3,0,822,692,U1474D_6H6
48.726,361,U1474,D,6,H,6,72.7,74.6,48.745,1.9,0,823,900,U1474D_6H6
48.778,361,U1474,D,6,H,6,77.9,78.2,48.781,0.3,0,824,100,U1474D_6H6
48.886,361,U1474,D,6,H,6,88.7,91.6,48.915,2.9,3,825,914,U1474D_6H6
49.146,361,U1474,D,6,H,7,14.7,15.8,49.157,1.1,0,826,737,U1474D_6H7
49.241,361,U1474,D,6,H,7,24.2,24.7,49.246,0.5,2,827,42,U1474D_6H7
49.247,361,U1474,D,6,H,7,24.8,27.4,49.273,2.6,2,828,1083,U1474D_6H7
49.294,361,U1474,D,6,H,7,29.5,30.9,49.308,1.4,1,829,358,U1474D_6H7
49.351,361,U1474,D,6,H,7,35.2,35.7,49.356,0.5,0,830,754,U1474D_6H7
49.358,361,U1474,D,6,H,7,35.9,37.2,49.371,1.3,1,831,1207,U1474D_6H7
49.372,361,U1474,D,6,H,7,37.3,38.1,49.38,0.8,0,832,465,U1474D_6H7
49.382,361,U1474,D,6,H,7,38.3,39.3,49.392,1,1,833,963,U1474D_6H7
49.392,361,U1474,D,6,H,7,39.3,39.7,49.396,0.4,1,834,1296,U1474D_6H7
49.442,361,U1474,D,6,H,7,44.3,45.3,49.452,1,2,835,1128,U1474D_6H7
49.46,361,U1474,D,6,H,7,46.1,47.2,49.471,1.1,0,836,812,U1474D_6H7
49.495,361,U1474,D,6,H,7,49.6,50.2,49.501,0.6,0,837,397,U1474D_6H7
49.506,361,U1474,D,6,H,7,50.7,52,49.519,1.3,0,838,182,U1474D_6H7
49.529,361,U1474,D,6,H,7,53,54.6,49.545,1.6,1,839,1074,U1474D_6H7
49.569,361,U1474,D,6,H,7,57,58.6,49.585,1.6,0,840,802,U1474D_6H7
49.588,361,U1474,D,6,H,7,58.9,60,49.599,1.1,3,841,385,U1474D_6H7
49.613,361,U1474,D,6,H,7,61.4,61.8,49.617,0.4,2,842,1222,U1474D_6H7
49.618,361,U1474,D,6,H,7,61.9,62.4,49.623,0.5,1,843,543,U1474D_6H7
49.644,361,U1474,D,6,H,7,64.5,66.1,49.66,1.6,1,844,574,U1474D_6H7
49.663,361,U1474,D,6,H,7,66.4,68.1,49.68,1.7,2,845,1266,U1474D_6H7
49.706,361,U1474,D,6,H,7,70.7,73,49.729,2.3,1,846,236,U1474D_6H7
49.74,361,U1474,D,6,H,7,74.1,75.4,49.753,1.3,0,847,921,U1474D_6H7
49.768,361,U1474,D,6,H,7,76.9,79.4,49.793,2.5,0,848,91,U1474D_6H7
49.799,361,U1474,D,6,H,7,80,80.7,49.806,0.7,0,849,9,U1474D_6H7
49.821,361,U1474,D,6,H,7,82.2,82.6,49.825,0.4,0,850,1295,U1474D_6H7
0.017,361,U1474,F,1,H,1,1.7,3.8,0.038,2.1,1,851,1320,U1474F_1H1
0.047,361,U1474,F,1,H,1,4.7,6.2,0.062,1.5,1,852,1243,U1474F_1H1
0.339,361,U1474,F,1,H,1,33.9,35.4,0.354,1.5,2,853,352,U1474F_1H1
0.371,361,U1474,F,1,H,1,37.1,41,0.41,3.9,2,854,829,U1474F_1H1
0.424,361,U1474,F,1,H,1,42.4,45.7,0.457,3.3,0,855,658,U1474F_1H1
0.534,361,U1474,F,1,H,1,53.4,54.1,0.541,0.7,2,856,546,U1474F_1H1
0.577,361,U1474,F,1,H,1,57.7,58.7,0.587,1,3,857,935,U1474F_1H1
0.596,361,U1474,F,1,H,1,59.6,60.3,0.603,0.7,4,858,523,U1474F_1H1
0.604,361,U1474,F,1,H,1,60.4,61.4,0.614,1,4,859,977,U1474F_1H1
0.615,361,U1474,F,1,H,1,61.5,62.4,0.624,0.9,4,860,106,U1474F_1H1
0.642,361,U1474,F,1,H,1,64.2,67.5,0.675,3.3,4,861,420,U1474F_1H1
0.722,361,U1474,F,1,H,1,72.2,74.1,0.741,1.9,1,862,193,U1474F_1H1
0.742,361,U1474,F,1,H,1,74.2,75.5,0.755,1.3,3,863,1107,U1474F_1H1
0.756,361,U1474,F,1,H,1,75.6,75.9,0.759,0.3,1,864,85,U1474F_1H1
0.787,361,U1474,F,1,H,1,78.7,79.7,0.797,1,0,865,961,U1474F_1H1
0.839,361,U1474,F,1,H,1,83.9,85.6,0.856,1.7,0,866,55,U1474F_1H1
0.88,361,U1474,F,1,H,1,88,89.2,0.892,1.2,0,867,988,U1474F_1H1
1.21,361,U1474,F,1,H,1,121,123,1.23,2,0,868,1029,U1474F_1H1
1.392,361,U1474,F,1,H,1,139.2,142.3,1.423,3.1,0,869,1042,U1474F_1H1
1.505,361,U1474,F,1,H,2,-1.5,3,1.517,4.5,3,870,552,U1474F_1H2
1.531,361,U1474,F,1,H,2,3.1,3.9,1.539,0.8,0,871,1268,U1474F_1H2
1.54,361,U1474,F,1,H,2,4,5.7,1.557,1.7,2,872,1347,U1474F_1H2
1.558,361,U1474,F,1,H,2,5.8,6.7,1.567,0.9,1,873,185,U1474F_1H2
1.591,361,U1474,F,1,H,2,9.1,11.1,1.611,2,0,874,1309,U1474F_1H2
1.652,361,U1474,F,1,H,2,15.1,15.2,1.652,0.1,0,875,1240,U1474F_1H2
1.706,361,U1474,F,1,H,2,20.6,22.3,1.723,1.7,0,876,796,U1474F_1H2
1.791,361,U1474,F,1,H,2,29.1,29.9,1.799,0.8,0,877,1277,U1474F_1H2
1.805,361,U1474,F,1,H,2,30.5,34.9,1.849,4.4,0,878,603,U1474F_1H2
1.895,361,U1474,F,1,H,2,39.5,40.5,1.905,1,1,879,1190,U1474F_1H2
4.068,361,U1474,F,2,H,1,121.8,122.7,4.077,0.9,0,880,703,U1474F_2H1
4.097,361,U1474,F,2,H,1,124.7,125.4,4.104,0.7,0,881,559,U1474F_2H1
4.132,361,U1474,F,2,H,1,128.2,131.4,4.164,3.2,0,882,983,U1474F_2H1
4.165,361,U1474,F,2,H,1,131.5,137.3,4.223,5.8,0,883,1013,U1474F_2H1
4.224,361,U1474,F,2,H,1,137.4,140.4,4.254,3,0,884,271,U1474F_2H1
4.255,361,U1474,F,2,H,1,140.5,141.7,4.267,1.2,0,885,926,U1474F_2H1
4.278,361,U1474,F,2,H,1,142.8,144.7,4.297,1.9,2,886,1175,U1474F_2H1
4.313,361,U1474,F,2,H,1,144.8,148.9,4.322,4.1,3,887,1040,U1474F_2H1
4.34,361,U1474,F,2,H,1,-1,0.6,4.356,1.6,0,888,870,U1474F_2H1
4.357,361,U1474,F,2,H,2,0.7,2.9,4.379,2.2,0,889,854,U1474F_2H2
4.38,361,U1474,F,2,H,2,3,4.5,4.395,1.5,0,890,480,U1474F_2H2
4.395,361,U1474,F,2,H,2,4.5,6.5,4.415,2,0,891,766,U1474F_2H2
4.418,361,U1474,F,2,H,2,6.8,7.9,4.429,1.1,0,892,1294,U1474F_2H2
4.433,361,U1474,F,2,H,2,8.3,10.6,4.456,2.3,1,893,1345,U1474F_2H2
4.46,361,U1474,F,2,H,2,11,14.8,4.498,3.8,0,894,21,U1474F_2H2
4.501,361,U1474,F,2,H,2,15.1,16.1,4.511,1,0,895,1316,U1474F_2H2
4.541,361,U1474,F,2,H,2,19.1,22,4.57,2.9,0,896,347,U1474F_2H2
4.571,361,U1474,F,2,H,2,22.1,24.1,4.591,2,0,897,448,U1474F_2H2
4.647,361,U1474,F,2,H,2,29.7,30.7,4.657,1,1,898,1356,U1474F_2H2
4.684,361,U1474,F,2,H,2,33.4,34.5,4.695,1.1,0,899,445,U1474F_2H2
5.285,361,U1474,F,2,H,2,93.5,96,5.31,2.5,4,900,497,U1474F_2H2
5.312,361,U1474,F,2,H,2,96.2,97.5,5.325,1.3,4,901,991,U1474F_2H2
5.326,361,U1474,F,2,H,2,97.6,98.7,5.337,1.1,3,902,683,U1474F_2H2
5.371,361,U1474,F,2,H,2,102.1,102.9,5.379,0.8,2,903,1355,U1474F_2H2
5.38,361,U1474,F,2,H,2,103,105.2,5.402,2.2,4,904,278,U1474F_2H2
5.445,361,U1474,F,2,H,2,109.5,110.7,5.457,1.2,3,905,1339,U1474F_2H2
6.073,361,U1474,F,2,H,3,22.3,22.9,6.079,0.6,3,906,1227,U1474F_2H3
6.08,361,U1474,F,2,H,3,23,23.5,6.085,0.5,1,907,1330,U1474F_2H3
6.086,361,U1474,F,2,H,3,23.6,25.1,6.101,1.5,4,908,771,U1474F_2H3
6.102,361,U1474,F,2,H,3,25.2,25.6,6.106,0.4,4,909,175,U1474F_2H3
6.771,361,U1474,F,2,H,3,92.1,92.7,6.777,0.6,0,910,1071,U1474F_2H3
6.981,361,U1474,F,2,H,3,113.1,114.9,6.999,1.8,4,911,752,U1474F_2H3
7,361,U1474,F,2,H,3,115,116.1,7.011,1.1,3,912,322,U1474F_2H3
7.018,361,U1474,F,2,H,3,116.8,117.1,7.021,0.3,2,913,231,U1474F_2H3
8.358,361,U1474,F,2,H,4,100.8,102.5,8.375,1.7,4,914,932,U1474F_2H4
8.39,361,U1474,F,2,H,4,104,104.5,8.395,0.5,0,915,504,U1474F_2H4
8.537,361,U1474,F,2,H,4,118.7,118.9,8.539,0.2,1,916,981,U1474F_2H4
8.568,361,U1474,F,2,H,4,121.8,122.1,8.571,0.3,3,917,1037,U1474F_2H4
8.572,361,U1474,F,2,H,4,122.2,123.6,8.586,1.4,3,918,1327,U1474F_2H4
8.603,361,U1474,F,2,H,4,125.3,126.2,8.612,0.9,3,919,984,U1474F_2H4
8.613,361,U1474,F,2,H,4,126.3,126.6,8.616,0.3,3,920,286,U1474F_2H4
8.626,361,U1474,F,2,H,4,127.6,128.2,8.632,0.6,1,921,375,U1474F_2H4
8.64,361,U1474,F,2,H,4,129,130.7,8.657,1.7,0,922,458,U1474F_2H4
8.664,361,U1474,F,2,H,4,131.4,132,8.67,0.6,0,923,1136,U1474F_2H4
8.672,361,U1474,F,2,H,4,132.2,133.4,8.684,1.2,0,924,834,U1474F_2H4
8.685,361,U1474,F,2,H,4,133.5,134.9,8.699,1.4,0,925,222,U1474F_2H4
8.7,361,U1474,F,2,H,4,135,135.8,8.708,0.8,0,926,674,U1474F_2H4
8.752,361,U1474,F,2,H,4,140.2,140.8,8.758,0.6,0,927,505,U1474F_2H4
8.795,361,U1474,F,2,H,4,144.5,145.1,8.801,0.6,0,928,1167,U1474F_2H4
8.801,361,U1474,F,2,H,4,145.1,147.1,8.821,2,3,929,772,U1474F_2H4
8.828,361,U1474,F,2,H,4,147.8,148.9,8.839,1.1,2,930,1122,U1474F_2H4
8.843,361,U1474,F,2,H,5,-0.7,3.5,8.885,4.2,4,931,634,U1474F_2H5
8.889,361,U1474,F,2,H,5,3.9,4.5,8.895,0.6,0,932,663,U1474F_2H5
8.896,361,U1474,F,2,H,5,4.6,6.2,8.912,1.6,4,933,43,U1474F_2H5
8.913,361,U1474,F,2,H,5,6.3,8,8.93,1.7,0,934,1084,U1474F_2H5
8.94,361,U1474,F,2,H,5,8.1,14.5,8.98,6.4,1,935,1169,U1474F_2H5
9.001,361,U1474,F,2,H,5,15.1,15.9,9.009,0.8,0,936,1210,U1474F_2H5
9.01,361,U1474,F,2,H,5,16,20.7,9.057,4.7,0,937,469,U1474F_2H5
9.097,361,U1474,F,2,H,5,24.7,26.2,9.112,1.5,0,938,730,U1474F_2H5
9.257,361,U1474,F,2,H,5,40.7,41.5,9.265,0.8,4,939,1234,U1474F_2H5
9.266,361,U1474,F,2,H,5,41.6,41.8,9.268,0.2,4,940,169,U1474F_2H5
9.564,361,U1474,F,2,H,5,71.4,72,9.57,0.6,1,941,577,U1474F_2H5
9.575,361,U1474,F,2,H,5,72.5,73,9.58,0.5,2,942,641,U1474F_2H5
9.596,361,U1474,F,2,H,5,74.6,74.8,9.598,0.2,2,943,1133,U1474F_2H5
9.599,361,U1474,F,2,H,5,74.9,76.3,9.613,1.4,3,944,1090,U1474F_2H5
9.646,361,U1474,F,2,H,5,79.6,80.3,9.653,0.7,2,945,1019,U1474F_2H5
9.655,361,U1474,F,2,H,5,80.5,82.5,9.675,2,2,946,117,U1474F_2H5
9.737,361,U1474,F,2,H,5,88.7,89.7,9.747,1,3,947,18,U1474F_2H5
9.748,361,U1474,F,2,H,5,89.8,90,9.75,0.2,2,948,1282,U1474F_2H5
9.809,361,U1474,F,2,H,5,95.9,97,9.82,1.1,3,949,1297,U1474F_2H5
9.826,361,U1474,F,2,H,5,97.6,98.2,9.832,0.6,3,950,327,U1474F_2H5
9.835,361,U1474,F,2,H,5,98.5,99.2,9.842,0.7,2,951,871,U1474F_2H5
9.913,361,U1474,F,2,H,5,106.3,107,9.92,0.7,0,952,1354,U1474F_2H5
9.926,361,U1474,F,2,H,5,107.6,107.9,9.929,0.3,2,953,1174,U1474F_2H5
9.944,361,U1474,F,2,H,5,109.4,109.9,9.949,0.5,0,954,1324,U1474F_2H5
10.012,361,U1474,F,2,H,5,116.2,117.5,10.025,1.3,3,955,783,U1474F_2H5
10.052,361,U1474,F,2,H,5,120.2,121.1,10.061,0.9,3,956,99,U1474F_2H5
10.502,361,U1474,F,2,H,6,15.2,16.4,10.514,1.2,4,957,675,U1474F_2H6
10.54,361,U1474,F,2,H,6,19,20.1,10.551,1.1,4,958,533,U1474F_2H6
10.552,361,U1474,F,2,H,6,20.2,20.4,10.554,0.2,0,959,708,U1474F_2H6
10.576,361,U1474,F,2,H,6,22.6,23,10.58,0.4,3,960,345,U1474F_2H6
10.759,361,U1474,F,2,H,6,40.9,42,10.77,1.1,4,961,304,U1474F_2H6
10.789,361,U1474,F,2,H,6,43.9,45,10.8,1.1,4,962,1353,U1474F_2H6
10.801,361,U1474,F,2,H,6,45.1,45.5,10.805,0.4,4,963,93,U1474F_2H6
10.817,361,U1474,F,2,H,6,46.7,47,10.82,0.3,2,964,936,U1474F_2H6
11.052,361,U1474,F,2,H,6,70.2,70.8,11.058,0.6,2,965,494,U1474F_2H6
12.135,361,U1474,F,2,H,7,57.5,58.2,12.142,0.7,0,966,399,U1474F_2H7
12.175,361,U1474,F,2,H,7,61.5,63.2,12.192,1.7,2,967,310,U1474F_2H7
13.975,361,U1474,F,3,H,2,3.4,3.7,13.978,0.3,3,968,308,U1474F_3H2
14.053,361,U1474,F,3,H,2,11.2,12,14.061,0.8,3,969,680,U1474F_3H2
14.062,361,U1474,F,3,H,2,12.1,12.5,14.066,0.4,4,970,245,U1474F_3H2
14.177,361,U1474,F,3,H,2,23.6,24.2,14.183,0.6,3,971,661,U1474F_3H2
14.184,361,U1474,F,3,H,2,24.3,24.5,14.186,0.2,2,972,807,U1474F_3H2
14.322,361,U1474,F,3,H,2,38.1,38.4,14.325,0.3,3,973,342,U1474F_3H2
14.446,361,U1474,F,3,H,2,50.5,51.1,14.452,0.6,3,974,801,U1474F_3H2
14.506,361,U1474,F,3,H,2,56.5,57,14.511,0.5,3,975,828,U1474F_3H2
