depth (mcd)	age SBP90 (kyr)	607 O18	607 C13
28.03	685.08	2.92	0.98
28.18	687.54	2.83	1.19
28.33	690.00	2.78	0.92
28.55	697.33	2.95	0.8
28.63	700.00	3	1.17
28.8	705.67	3.29	-0.21
28.93	710.00	3.74	-0.41
29.08	715.00	3.89	-0.55
29.23	720.00	3.93	-0.25
29.38	723.30	3.8	-0.17
29.53	726.60	3.78	-0.26
29.68	729.90	3.41	0.27
29.83	733.20	3.14	0.98
30.05	738.04	3.38	0.82
30.13	739.80	3.39	0.38
30.3	743.54	3.45	-0.42
30.43	746.40	3.77	-0.57
30.58	749.70	3.91	-0.5
30.73	753.00	3.89	-0.37
30.88	757.09	3.84	-0.11
31.03	761.18	3.73	-0.24
31.18	765.27	3.68	-0.29
31.26	767.45	3.56	-0.01
31.56	775.64	3.32	0.26
31.72	780.00	2.94	0.7
32.02	787.50	3.11	0.08
32.16	791.00	3.64	-0.43
32.32	795.00	4.08	-0.42
32.62	799.89	3.83	-0.54
32.68	800.87	3.68	-0.56
32.77	802.34	3.88	-0.25
32.99	805.92	3.52	0.25
33.07	807.23	3.55	0.34
33.24	810.00	3.1	0.67
33.39	815.43	3.03	0.55
33.52	820.14	3.1	0.41
33.65	824.84	3.17	0.43
33.82	831.00	3.19	0.77
33.97	838.39	2.92	0.69
34.12	845.78	2.9	0.55
34.27	853.16	2.69	0.68
34.49	864.00	3.03	-0.34
34.57	865.89	3.53	-0.29
34.74	869.92	3.21	0.31
34.87	873.00	4	-0.75
35.17	883.50	3.76	-0.37
35.32	888.75	3.17	-0.79
35.47	894.00	3.7	-0.71
35.77	898.20	3.29	-0.31
36.07	902.40	3.46	0.51
36.39	906.88	3.4	0.27
36.52	908.70	3.47	0.46
36.67	910.80	3.26	0.33
36.82	912.90	3.45	-0.16
36.89	913.88	3.42	-1.12
36.97	915.00	3.84	-0.57
37.12	918.55	2.73	0.03
37.33	923.53	3.64	-0.08
37.49	927.32	3.35	-0.12
37.64	930.87	3.18	0.38
37.74	933.24	3.17	0.77
38.02	939.87	2.78	0.45
38.17	943.42	2.87	0.49
38.27	945.79	2.74	0.57
38.49	951.00	2.64	0.46
38.62	955.59	2.65	0.69
38.75	960.18	2.82	0.37
38.83	963.00	3.84	-0.03
38.99	971.00	3.78	0.2
39.07	975.00	3.21	0.87
39.24	977.64	3.45	0.48
39.37	979.66	3.2	0.58
39.52	981.98	3.17	0.79
39.65	984.00	3.15	0.67
39.82	987.00	3.33	0.18
39.97	989.65	3.41	0.57
40.12	992.29	3.23	0.91
40.32	995.82	2.97	0.91
40.49	998.82	3.13	0.82
40.57	1000.20	2.92	0.93
40.74	1003.20	3.48	0.4
40.84	1005.00	3.58	0.44
41.02	1008.90	3.26	0.93
41.17	1012.20	3.08	0.61
41.32	1015.40	3.13	0.99
41.47	1018.70	2.95	0.61
41.62	1021.90	2.74	0.99
41.67	1023.00	3.04	1.13
41.825	1026.10	2.9	0.94
41.965	1028.90	3.13	0.95
42.265	1034.80	3.62	0.83
42.325	1036.00	3.64	0.95
42.425	1038.00	3.82	1
42.565	1040.60	3.75	0.85
42.865	1046.20	3.87	0.78
43.17	1051.90	3.21	-0.28
43.32	1054.70	3.3	-0.02
43.54	1058.80	3.24	0.76
43.71	1062.00	2.5	1
43.79	1064.60	2.5	1.06
43.92	1068.80	2.29	0.94
44.07	1073.70	2.35	0.85
44.22	1078.50	2.56	0.89
44.37	1083.40	2.68	0.91
44.67	1093.10	3.05	0.77
44.82	1098.00	3.2	1.03
44.9	1100.10	3.11	0.5
45.04	1103.70	2.95	0.93
45.12	1105.80	3.11	0.62
45.29	1110.20	2.89	0.89
45.4	1113.00	2.79	0.95
45.57	1116.30	3.19	0.8
45.87	1122.00	3.53	0.24
46.02	1131.00	3.99	-0.6
46.09	1137.00	3.51	0.09
46.24	1139.80	3.34	0.54
46.41	1143.00	3.19	0.27
46.64	1149.80	3.14	0.46
46.79	1154.20	3.03	0.92
46.92	1158.00	2.76	0.94
47.3	1163.80	2.73	1.07
47.52	1167.10	2.75	0.97
47.67	1169.40	2.77	1.06
47.8	1171.30	2.85	0.94
47.91	1173.00	3.08	1.01
48.04	1176.30	2.67	0.91
48.12	1178.30	2.72	0.92
48.29	1182.50	2.79	0.74
48.42	1185.80	3.45	0.89
48.46	1186.80	2.9	0.74
48.57	1189.50	3.5	0.55
48.7	1192.80	3.52	0.47
48.72	1193.30	3.55	0.47
48.87	1197.00	3.79	0.13
49.02	1201.00	3.79	0.48
49.09	1202.90	3.67	0.17
49.17	1205.00	3.57	0.26
49.32	1209.00	3.58	-0.21
49.39	1210.90	3.86	0.48
49.54	1214.90	3.51	0.27
49.62	1217.00	3.42	0.37
49.79	1221.60	3.14	0.56
49.92	1225.10	2.96	0.83
50.07	1229.10	2.54	0.92
50.22	1233.10	2.47	0.88
50.37	1237.10	2.56	0.64
50.52	1241.10	2.52	0.63
50.82	1249.10	3.72	-0.09
50.89	1251.00	3.79	-0.3
51.04	1254.30	3.87	-0.51
51.12	1256.00	3.84	-0.51
51.21	1258.00	3.76	0.45
51.29	1259.70	3.58	0.3
51.57	1265.80	3.26	0.82
51.7	1268.60	3.17	0.74
51.87	1272.30	3.11	1.16
52.02	1275.60	3.24	1.14
52.255	1280.70	3.28	1.01
52.395	1283.70	3.18	0.6
52.545	1287.00	3.71	0.48
52.655	1292.10	3.71	0.04
52.695	1294.00	3.6	0.28
52.845	1301.00	3.35	0.59
52.995	1308.00	3	0.83
53.125	1311.10	3.01	0.88
53.205	1313.10	2.92	1.19
53.365	1317.00	2.9	0.99
53.615	1323.00	3.3	1.1
53.745	1324.10	3.24	0.51
53.895	1325.40	3.36	0.42
54.045	1326.80	2.74	1.15
54.195	1328.10	3.41	0.23
54.345	1329.40	3.14	1.1
54.495	1330.70	3.49	0.25
54.645	1332.00	3.62	0.27
54.705	1333.70	3.45	0.44
54.865	1338.20	2.85	0.94
54.965	1341.00	2.93	1
55.115	1345.20	2.56	1.23
55.245	1348.80	2.45	1.02
55.395	1353.00	2.73	1.13
55.695	1356.70	3.07	0.99
55.845	1358.50	3.2	1.02
55.995	1360.40	3.45	0.98
56.125	1362.00	3.57	0.87
56.365	1370.10	3.55	0.27
56.465	1373.40	3.53	1.1
56.615	1378.50	3.07	1
56.745	1382.90	3.11	0.93
56.895	1387.90	2.9	1.02
57.045	1393.00	2.84	1.11
57.195	1398.00	2.74	1.13
57.345	1405.50	2.95	1.05
57.495	1413.00	3.41	1.04
57.665	1418.10	3.51	0.72
57.925	1425.90	3.24	0.42
58.025	1428.90	3.46	0.61
58.245	1435.50	2.98	1.09
58.395	1440.00	2.59	1.06
58.545	1446.00	2.69	1.03
58.695	1452.00	2.84	0.46
58.995	1456.90	3.4	-0.07
59.135	1459.20	3.62	-0.04
59.205	1460.30	3.29	0.1
59.365	1462.90	3.74	0
59.445	1464.20	3.7	0.1
59.615	1467.00	3.47	0.44
59.895	1473.50	2.92	0.98
60.195	1480.50	2.67	0.89
60.495	1487.50	2.7	1.15
60.645	1491.00	2.74	0.77
60.865	1500.00	3.63	0.57
60.945	1502.00	3.73	0.53
61.115	1506.20	3.8	0.56
61.245	1509.40	3.58	0.29
61.395	1513.10	3.36	0.6
61.475	1515.10	3.44	0.96
61.545	1516.90	3.36	1.01
61.695	1520.60	3	1.22
61.845	1524.30	2.94	1.05
61.995	1528.00	3.02	1.17
62.075	1530.00	2.98	0.94
62.375	1535.70	3.63	0.04
62.705	1542.00	3.78	0.13
62.855	1545.30	3.57	0.1
63.105	1550.70	3.44	0.76
63.215	1553.10	3.27	0.88
63.535	1560.00	3.28	1.14
63.615	1560.90	3.06	0.96
63.685	1561.70	2.9	1.04
63.855	1563.60	2.8	0.95
63.985	1565.00	2.86	1.15
64.115	1566.50	2.89	1.12
64.205	1567.50	2.95	0.81
64.355	1569.20	3.33	1
64.435	1570.10	3.52	0.96
64.605	1572.00	3.75	0.92
64.735	1575.10	3.7	0.82
64.885	1578.80	3.56	0.76
65.015	1581.90	3.39	0.86
65.185	1586.00	3.3	1.07
65.335	1589.70	3.06	1.11
65.635	1596.90	3.3	0.97
65.705	1598.60	3.26	1.22
65.955	1604.70	2.81	1.3
66.215	1611.00	2.89	1.19
66.385	1615.10	2.88	1.12
66.515	1618.30	3.18	1.24
66.685	1622.40	3.31	1.04
66.835	1626.00	2.98	1.12
66.985	1629.40	3.15	1.02
67.135	1632.80	3.23	0.92
67.195	1634.10	3.15	1.25
67.435	1639.50	2.86	1.15
67.605	1643.30	3.15	1.3
67.735	1646.20	3.3	1.28
68.035	1653.00	3.74	1.19
68.185	1656.00	3.59	1.25
68.485	1662.00	3.68	0.8
68.635	1665.00	3.7	1.04
68.855	1669.40	3.15	1.21
69.085	1674.00	3.09	1.29
69.235	1677.00	2.79	1.17
69.385	1680.70	2.86	1.19
69.535	1684.50	3.1	1.17
69.685	1688.30	2.95	1.06
69.835	1692.00	3.3	0.55
69.985	1695.80	2.97	0.84
70.115	1699.00	3.5	0.29
70.195	1701.00	3.6	0.49
70.355	1705.70	3.1	0.56
70.435	1708.00	2.92	0.94
70.605	1713.00	2.9	0.82
70.715	1716.00	3.08	0.72
70.885	1720.60	3.44	0.4
71.035	1724.70	3.05	0.89
71.185	1728.80	3.1	0.77
71.375	1734.00	2.85	0.91
71.545	1736.50	2.89	0.44
71.705	1738.90	3.22	0.86
72.005	1743.30	3.26	0.96
72.145	1745.40	3.15	0.75
72.305	1747.70	3.43	0.17
72.445	1749.80	3.2	0.27
72.595	1752.00	3.49	0.62
72.705	1764.00	2.62	1.11
72.855	1766.30	2.73	0.99
73.005	1768.50	2.76	1.23
73.225	1771.80	2.9	1.07
73.305	1773.00	2.91	1.14
73.475	1776.60	3.12	1
73.755	1782.50	3.35	0.31
74.055	1788.80	3.36	0.56
74.205	1792.00	3.39	0.47
74.355	1795.20	3.25	0.65
74.505	1798.40	3	0.92
			
			
			
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
