Sample ID,"Composite Depth, m",d13C,d180
758A 5-1 051,40.46,0.01,3.08
758A 5-1 051,40.46,0.15,3.02
758A 5-1 061,40.56,0.05,2.77
758A 5-1 061,40.56,0.47,2.75
758A 5-1 071,40.66,0.01,2.71
758A 5-1 081,40.76,0.06,2.95
758A 5-1 091,40.86,0.05,3.02
758A 5-1 091,40.86,0.09,3.21
758A 5-1 101,40.96,0.05,3.07
758A 5-1 101,40.96,0.16,2.98
758A 5-1 111,41.06,0.32,2.98
758A 5-1 121,41.16,0.15,2.96
758A 5-1 131,41.26,0.19,2.96
758A 5-1 141,41.36,0.07,3.18
758A 5-2 001,41.46,-0.06,2.94
758A 5-2 011,41.56,-0.01,3.5
758A 5-2 011,41.56,0.06,2.97
758A 5-2 021,41.66,0.35,3.08
758A 5-2 031,41.76,0.25,2.52
758A 5-2 031,41.76,0.4,2.86
758A 5-2 041,41.86,0.32,3.17
758A 5-2 041,41.86,0.15,2.78
758A 5-2 051,41.96,0.2,3.11
758A 5-2 361,42.06,0.11,2.78
758A 5-2 061,42.06,0.15,3.11
758A 5-2 071,42.16,0.15,2.9
758A 5-2 081,42.26,0.05,2.98
758A 5-2 091,42.36,0.19,3.26
758A 5-2 101,42.46,0.17,3.16
758A 5-2 111,42.56,0.19,3.27
758A 5-2 121,42.66,0.23,2.94
758A 5-2 121,42.66,0.11,2.68
758A 5-2 131,42.76,0.32,2.81
758A 5-2 141,42.86,0.11,2.97
758A 5-3 001,42.96,0,3.02
758A 5-3 001,42.96,-0.05,2.79
758A 5-3 011,43.06,-0.05,3.41
758A 5-3 021,43.16,0.12,2.43
758A 5-3 021,43.16,0.24,2.96
758A 5-3 031,43.26,0.14,2.73
758A 5-3 041,43.36,0.23,2.85
758A 5-3 051,43.46,0.29,2.94
758A 5-3 061,43.56,0.08,2.97
758A 5-3 071,43.66,0.18,3.27
758A 5-3 081,43.76,0.25,3.05
758A 5-3 091,43.86,0.09,2.87
758A 5-3 101,43.96,0.02,2.96
758A 5-3 111,44.06,0.02,3.26
758A 5-3 121,44.16,0.01,3.38
758A 5-3 131,44.26,-0.16,3
758A 5-3 141,44.36,-0.32,2.78
758A 5-4 001,44.46,-0.12,2.84
758A 5-4 011,44.56,-0.04,2.92
758A 5-4 011,44.56,-0.53,3.25
758A 5-4 021,44.66,-0.25,2.74
758A 5-4 031,44.76,-0.05,2.95
758A 5-4 041,44.86,0.11,2.72
758A 5-4 051,44.96,0.14,2.88
758A 5-4 061,45.06,0.23,2.7
758A 5-4 071,45.16,0.2,2.64
758A 5-4 081,45.26,0.32,2.8
758A 5-4 091,45.36,0.23,2.96
758A 5-4 101,45.46,0.34,2.87
758A 5-4 111,45.56,-0.06,2.77
758A 5-4 121,45.66,0.09,2.95
758A 5-4 131,45.76,-0.01,3.04
758A 5-4 141,45.86,-0.43,3.12
758A 5-4 141,45.86,0.03,3.11
758A 5-5 001,45.96,-0.22,2.89
758A 5-5 011,46.06,-0.26,2.88
758A 5-5 021,46.16,0.09,2.45
758A 5-5 031,46.26,0.19,2.66
758A 5-5 041,46.36,0.27,2.98
758A 5-5 051,46.46,0.23,2.83
758A 5-5 061,46.56,0.3,2.71
758A 5-5 071,46.66,0.37,2.59
758A 5-5 081,46.76,0.46,2.67
758A 5-5 091,46.86,-0.2,2.58
758A 5-5 101,46.96,0.01,2.89
758A 5-5 111,47.06,0.15,2.71
758A 5-5 121,47.16,0.26,2.97
758A 5-5 121,47.16,0.33,2.82
758A 5-5 131,47.26,0.33,2.96
758A 5-5 131,47.26,0.13,2.94
758A 5-6 001,47.46,-0.12,3.22
758A 5-6 001,47.46,0.11,3.08
758A 5-6 011,47.56,-0.09,3.5
758A 5-6 011,47.56,-0.25,3.1
758A 5-6 021,47.66,-0.36,3.28
758A 5-6 021,47.66,-0.31,3.3
758A 5-6 021,47.66,-0.46,3.42
758A 5-6 031,47.76,-0.29,3.04
758A 5-6 031,47.76,-0.24,3.28
758A 5-6 041,47.86,-0.14,3.09
758A 5-6 041,47.86,-0.35,3.03
758A 5-6 051,47.96,-0.04,3.08
758A 5-6 051,47.96,-0.01,2.85
758A 5-6 061,48.06,-0.05,2.79
758A 5-6 071,48.16,0.04,2.98
758A 5-6 081,48.26,-0.07,2.99
758A 5-6 081,48.26,0.13,3.01
758A 5-6 091,48.36,-0.09,2.72
758A 5-6 101,48.46,-0.11,2.81
758A 5-6 101,48.46,-0.11,2.96
758A 5-6 111,48.56,0.17,2.85
758A 5-6 121,48.66,-0.3,3.02
758A 5-6 131,48.76,-0.19,2.82
758A 5-6 141,48.86,-0.01,2.87
758A 5-7 001,48.96,0.12,2.98
758A 5-7 011,49.06,-0.05,2.78
758A 5-7 021,49.16,-0.27,2.62
758A 5-7 031,49.26,-0.14,2.44
758A 5-7 041,49.36,-0.17,2.78
758A 5-7 051,49.46,-0.03,2.78
758B 5-4 131,49.47,-0.22,2.29
758B 5-4 141,49.57,0.07,2.86
758B 5-5 001,49.67,-0.05,2.65
758B 5-5 011,49.77,0.02,2.56
758B 5-5 011,49.77,-0.18,2.35
758B 5-5 021,49.87,0.09,2.75
758B 5-5 031,49.97,0.3,2.56
758B 5-5 041,50.07,0.15,2.62
758B 5-5 051,50.17,0.26,2.89
758B 5-5 061,50.27,0.24,2.65
758B 5-5 071,50.37,-0.02,2.67
758B 5-5 081,50.47,0.12,2.72
758B 5-5 091,50.57,-0.07,2.56
758B 5-5 091,50.57,0.25,2.64
758B 5-5 101,50.67,0.11,2.82
758B 5-5 111,50.77,0.22,2.86
758B 5-5 121,50.87,0.21,2.76
758B 5-5 131,50.97,0.21,2.43
758B 5-5 141,51.07,0.17,2.27
758B 5-6 001,51.17,0.45,2.83
758B 5-6 021,51.37,0.35,2.55
758B 5-6 030,51.46,0.13,2.64
758B 5-6 041,51.57,-0.14,2.45
758B 5-6 051,51.67,0.02,2.85
758B 5-6 061,51.77,0.09,2.91
758B 5-6 061,51.77,0.16,2.76
758B 5-6 071,51.87,0.13,2.96
758B 5-6 071,51.87,-0.22,2.83
758B 5-6 081,51.97,0.15,2.67
758B 5-6 091,52.07,0.39,2.65
758A 6-1 031,52.08,0.08,2.69
758A 6-1 041,52.18,0.06,2.98
758A 6-1 051,52.28,-0.03,2.91
758A 6-1 061,52.38,0.26,2.76
758A 6-1 071,52.48,0.34,2.55
758A 6-1 081,52.58,0.29,2.56
758A 6-1 091,52.68,0.32,2.57
758A 6-1 091,52.68,-0.27,2.54
758A 6-1 101,52.78,0.15,2.64
758A 6-1 111,52.88,0.08,2.91
758A 6-1 121,52.98,-0.08,2.94
758A 6-1 121,52.98,0.02,2.94
758A 6-1 131,53.08,0.4,3.02
758A 6-1 141,53.18,0.23,2.64
758A 6-2 001,53.28,0.07,2.55
