Sample ID,"Composite Depth, m",d13C,d180
758A 2-2 061,9.53,0.07,3.69
758A 2-2 071,9.63,0.13,3.79
758A 2-2 081,9.73,-0.09,3.44
758A 2-2 091,9.83,0.18,3.54
758A 2-2 101,9.93,0.07,3.45
758A 2-2 111,10.03,0.08,3.45
758A 2-2 121,10.13,-0.12,4.1
758A 2-2 131,10.23,-0.39,4.16
758A 2-2 141,10.33,-0.25,4.22
758A 2-3 001,10.43,-0.33,4.12
758A 2-3 011,10.53,-0.52,3.95
758A 2-3 021,10.63,-0.48,3.97
758A 2-3 021,10.63,-0.35,3.42
758A 2-3 021,10.63,-0.6,3.24
758A 2-3 031,10.73,-0.38,3.6
758A 2-3 031,10.73,-0.36,3.64
758A 2-3 041,10.83,-0.1,3.81
758A 2-3 041,10.83,-0.27,3.52
758A 2-3 051,10.93,0.23,2.62
758A 2-3 051,10.93,0.14,3.16
758A 2-3 061,11.03,0.3,3.18
758A 2-3 061,11.03,-0.07,2.86
758A 2-3 071,11.13,0.19,3.65
758A 2-3 071,11.13,0.13,3.33
758A 2-3 081,11.23,-0.02,3.7
758A 2-3 081,11.23,-0.01,3.66
758A 2-3 091,11.33,-0.25,3.96
758A 2-3 091,11.33,-0.24,3.98
758A 2-3 101,11.43,-0.09,4
758A 2-3 101,11.43,-0.11,4.17
758A 2-3 111,11.53,-0.19,3.59
758A 2-3 111,11.53,0.11,4.01
758A 2-3 121,11.63,-0.22,4
758A 2-3 121,11.63,-0.26,3.61
758A 2-3 131,11.73,-0.47,3.78
758A 2-3 131,11.73,-0.52,3.71
758A 2-3 141,11.83,-0.51,3.83
758A 2-3 141,11.83,-0.17,4.01
758A 2-4 001,11.93,-0.1,3.61
758A 2-4 001,11.93,-0.24,3.49
758A 2-4 011,12.03,0.11,3.64
758A 2-4 011,12.03,0.04,3.58
758A 2-4 021,12.13,0.13,2.76
758A 2-4 051,12.43,-0.36,4.11
758A 2-4 051,12.43,-0.26,4.11
758A 2-4 061,12.53,-0.12,3.78
758A 2-4 061,12.53,-0.26,3.85
758A 2-4 071,12.63,-0.35,4.26
758A 2-4 071,12.63,-0.33,4.32
758A 2-4 081,12.73,-0.19,4.1
758A 2-4 091,12.83,-0.25,3.56
758A 2-4 091,12.83,-0.2,3.55
758A 2-4 101,12.93,-0.13,3.56
758A 2-4 111,13.03,-0.23,3.61
758A 2-4 121,13.13,-0.07,3.49
758A 2-4 131,13.23,-0.1,3
758A 2-4 131,13.23,-0.31,3.15
758A 2-4 141,13.33,-0.17,2.92
758A 2-5 001,13.43,-0.14,3.17
758A 2-5 001,13.43,-0.41,3.46
758A 2-5 011,13.53,-0.4,3.5
758A 2-5 011,13.53,-0.7,3.27
758A 2-5 021,13.63,-0.6,4.27
758A 2-5 031,13.73,-0.54,3.97
758A 2-5 031,13.73,-0.8,4.09
758A 2-5 041,13.83,-0.39,4.09
758A 2-5 041,13.83,-0.47,4.19
758A 2-5 051,13.93,-0.26,3.51
758A 2-5 061,14.03,-0.3,3.72
758A 2-5 071,14.13,-0.15,3.31
758A 2-5 081,14.23,-0.53,3.83
758A 2-5 091,14.33,-0.54,3.62
758A 2-5 091,14.33,-0.56,3.86
758A 2-5 101,14.43,-0.28,3.91
758A 2-5 101,14.43,-0.37,3.48
758A 2-5 111,14.53,-0.03,2.96
758A 2-5 111,14.53,-0.07,3.03
