Sapropel no. in site,Site,Hole,Core,Section,Interval (top),Interval (bottom),mbsf (middle),rmcd (middle),Thickness (cm),Type,Insolation cycle,Age (Ma) with 3 ky lag
*,969,E,9,2,124,,74.14,103.59,,RED INTERVALS,400,4.144
t,969,E,9,3,20,30,74.65,104.11,10,GHOST?,402,4.173
u,969,E,9,3,62,68,75.05,104.51,6,GHOST?,404,4.195
*,969,E,9,3,146,,75.86,105.31,,RED INTERVALS,408,4.238
64,969,B,10,1,42,45,79.34,107.13,3,SAP,414,4.31
v,969,E,10,2,5,15,82.5,111.37,10,GHOST,430,4.463
w,969,A,10,1,145,146,85.16,112.41,1,GHOST?,434,4.504
65,969,A,10,2,84,98,86.11,113.36,14,SAP,438,4.552
66,969,D,13,2,130,5,113.43,114.09,25,SAP,442,4.597
67,969,D,13,2,113,122,114.68,115.2,9,SAP,448,4.667
68,969,D,13,3,42,44,115.43,115.87,2,SAP,452,4.712
69,969,A,10,4,70,74,88.92,116.89,4,SAP,456,4.758
70,969,A,10,5,6,10,89.78,117.74,4,GHOST,460,4.798
*,969,A,10,5,148,,91.18,119.15,,RED INTERVALS,464,4.835
*,969,A,10,7,50,,93.2,121.17,,RED INTERVALS,468,4.878
71,969,A,11,1,53,60,93.77,122.01,7,SAP,470,4.909
72,969,A,11,1,121,133,94.47,122.71,12,SAP,474,4.952
73,969,A,11,2,35,49,95.12,123.36,14,SAP,478,4.998
74,969,A,11,2,106,117,95.82,124.04,11,SAP,480,5.023
75,969,A,11,3,20,32,96.46,124.68,12,SAP,482,5.044
76,969,A,11,3,58,63,96.81,125.03,5,GHOST,484,5.067
77,969,A,11,3,118,133,97.46,125.67,15,SAP,488,5.115
78,969,A,11,4,58,68,98.33,126.54,10,SAP,492,5.159
79,969,A,11,5,44,60,99.72,127.92,16,SAP,500,5.234
80,969,A,11,5,94,114,100.24,128.44,20,SAP,504,5.273
81,969,B,11,5,135,149,95.82,128.97,14,SAP,506,5.29
82,969,B,11,6,50,70,96.5,129.65,20,SAP,508,5.31
83,969,B,11,6,116,124,97.1,130.25,8,SAP,510,5.33
