depth cm,Age (kyr) EB-FR 17/0/07,Age (Myr),SST,C37tot cfb,%TOC,Uauth ppm cfb,d18O coccos
1310,303,0.303,21.4,2122,0.277,,0.99
1320,305,0.305,21.3,1826,0.252,0.44,
1330,308,0.308,22.1,1437,0.178,,
1340,310,0.31,21.9,1478,0.221,0.2,
1350,312,0.312,22,1045,0.228,,1.253
1360,315,0.315,22.3,1220,0.246,0.09,
1370,317,0.317,23.1,623,0.182,,0.531
1380,319,0.319,23.2,579,0.176,0.35,
1390,321,0.321,24.2,364,0.151,,1.14
1400,324,0.324,23.9,376,0.152,,
1410,326,0.326,23.7,148,0.075,,
1420,328,0.328,23.3,807,0.169,,
1430,331,0.331,24,171,0.081,,
1440,333,0.333,24.2,6269,0.235,3,1.027
1450,335,0.335,23.6,1090,0.179,,
1460,337,0.337,21.9,1019,0.198,4.79,1.885
1470,340,0.34,21.5,1406,0.204,,
1480,342,0.342,20.3,1772,0.259,5.37,2.212
1490,345,0.345,20.1,5756,0.343,,
1500,347,0.347,20,8070,0.377,7.86,1.968
1510,350,0.35,20,7112,0.332,,
1520,353,0.353,19.9,1696,,,1.813
1530,355,0.355,20.1,4877,0.321,,
1540,358,0.358,20.7,3798,0.278,3.62,2.042
1550,361,0.361,20.4,1472,,,
1560,363,0.363,19.9,5172,0.31,2.25,2.235
1570,366,0.366,19.6,3374,0.3,,
1580,368,0.368,18.85,4690,0.345,0.36,2.313
1590,371,0.371,18.9,2858,0.346,,
1600,374,0.374,19.3,4303,0.299,0.32,2.211
1610,376,0.376,19.4,3095,0.256,,
1620,379,0.379,20.1,3927,0.262,0.42,2.039
1640,384,0.384,19.5,3670,0.293,0.4,1.944
1650,387,0.387,20.3,1832,0.229,,
1660,390,0.39,20.5,1245,0.231,0.3,1.345
1670,392,0.392,21,825,0.194,,
1680,395,0.395,21.6,1139,0.19,0.3,1.241
1690,398,0.398,22.1,1121,0.223,,
1700,400,0.4,21.6,995,0.19,0.19,0.877
1710,403,0.403,22.2,599,0.195,,1.1
1720,406,0.406,22.4,435,0.16,0.11,
1730,408,0.408,22.5,674,0.158,,
1740,411,0.411,22.8,411,0.139,0.06,0.784
1760,416,0.416,22.4,620,0.165,0.05,1.336
1780,421,0.421,22.2,431,0.131,0.12,1.575
1800,427,0.427,22.8,396,0.156,0.95,2
1810,429,0.429,20.8,491,0.153,2.46,2.687
1840,437,0.437,19,3734,0.301,8.17,3.029
1860,442,0.442,19.1,3074,0.252,5.04,2.648
1880,448,0.448,19.5,5834,0.286,3.58,2.303
1890,450,0.45,20,10021,0.313,8.45,2.39
1910,456,0.456,19.8,681,,,
1920,458,0.458,20,3647,0.299,3.13,2.1176
1940,463,0.463,19.7,2655,0.299,0.51,
1960,469,0.469,20.2,4802,0.313,0.34,
1980,474,0.474,20.2,1452,0.215,0.3,1.8014
2000,479,0.479,21,1304,0.235,0.58,
2020,484,0.484,21.7,1151,0.25,0.14,
2040,489,0.489,22.4,1395,0.248,0.07,1.2853
2060,495,0.495,22.7,856,0.232,0.06,
2080,500,0.5,,,,,
2090,503,0.503,22.2,1764,0.193,0.83,
2100,505,0.505,22.2,917,0.159,1.39,1.2873
2120,510,0.51,21.5,1010,0.156,2.97,
2140,516,0.516,22.1,776,0.131,1.58,
2160,523,0.523,22.4,665,0.153,0.88,0.68002
2180,529,0.529,22.2,1059,0.167,1.14,
2200,536,0.536,20.5,1630,0.191,1.61,1.4551
2220,542,0.542,20.2,7018,0.28,2.96,
2240,549,0.549,20.2,2557,0.306,1.21,1.36
2260,561,0.561,20.5,2725,0.247,1.4,
2280,573,0.573,23,1092,0.17,0.83,
2300,585,0.585,22,378,0.139,0.4,0.7712
2320,594,0.594,22.8,457,0.155,0.09,
2340,603,0.603,24.1,288,0.144,0.21,0.073726
2360,612,0.612,23.6,177,0.132,0.24,
2380,621,0.621,21.9,435,0.201,0.73,
2400,630,0.63,21.7,2258,0.389,5.19,1.4338
2420,639,0.639,20.7,3070,0.322,6.11,
2440,648,0.648,20.3,2736,0.28,5.33,1.3649
2460,656,0.656,21.9,3921,0.389,2.51,
2480,665,0.665,21.1,4524,0.388,1.4,
2500,674,0.674,21.5,3946,0.407,1.51,
2520,683,0.683,21.9,3592,0.361,0.48,1.0981
2540,692,0.692,22.6,3221,0.394,0.52,
2560,701,0.701,23.1,1721,0.251,0.42,0.73725
2600,718,0.718,23.3,445,0.219,1.01,0.76829
2620,727,0.727,22.6,444,0.14,1.3,
2640,736,0.736,21.2,727,0.211,0.44,1.4114
2660,745,0.745,22.1,625,,,
2680,754,0.754,22,1838,0.221,1.78,1.2
2700,762,0.762,21.1,2587,0.29,1.02,
2720,771,0.771,22.2,1606,0.301,0.74,0.77702
2740,780,0.78,22.3,441,0.201,0.67,0.57816
2760,789,0.789,19.8,676,0.171,0.58,
2780,798,0.798,20.5,2545,0.254,0.51,1.1777
