Age (ka),d13C
8.68596882,0.70718232
11.58129176,0.375690608
14.4766147,0.209944751
20.26726058,0.516574586
26.05790646,0.665745856
26.05790646,0.740331492
31.84855234,0.76519337
37.63919822,0.698895028
37.63919822,0.732044199
40.53452116,0.748618785
46.32516704,0.848066298
52.11581292,0.682320442
55.01113586,0.466850829
57.9064588,0.160220994
63.69710468,0.102209945
66.59242762,0.193370166
69.48775056,0.5
75.27839644,0.698895028
75.27839644,0.980662983
78.17371938,1.196132597
83.96436526,1.013812155
83.96436526,0.790055249
86.8596882,0.582872928
92.65033408,0.649171271
92.65033408,0.947513812
98.44097996,1.237569061
104.2316258,0.82320442
110.0222717,0.549723757
115.8129176,0.790055249
118.7082405,0.872928177
124.4988864,0.715469613
124.4988864,0.367403315
130.2895323,0.309392265
136.0801782,0.342541436
138.9755011,0.383977901
144.766147,0.218232044
150.5567929,0.027624309
153.4521158,0.201657459
156.3474388,0.383977901
165.0334076,0.541436464
176.6146993,0.70718232
188.1959911,0.864640884
199.7772829,0.980662983
211.3585746,1.129834254
214.2538976,0.922651934
217.1492205,0.674033149
220.0445434,0.44198895
222.9398664,0.367403315
225.8351893,0.591160221
228.7305122,0.649171271
231.6258352,0.773480663
234.5211581,0.773480663
240.311804,0.574585635
243.2071269,0.417127072
246.1024499,0.342541436
248.9977728,0.483425414
248.9977728,0.549723757
251.8930958,0.657458564
257.6837416,0.599447514
263.4743875,0.309392265
263.4743875,0.218232044
269.2650334,-0.154696133
286.636971,-0.055248619
295.3229399,0.044198895
298.2182628,0.276243094
301.1135857,0.55801105
301.1135857,0.657458564
304.0089087,0.798342541
309.7995546,0.582872928
312.6948775,0.209944751
318.4855234,0.276243094
321.3808463,0.491712707
321.3808463,0.715469613
324.2761693,0.872928177
327.1714922,0.988950276
332.9621381,0.70718232
335.857461,0.350828729
335.857461,0.060773481
338.752784,-0.179558011
344.5434298,-0.005524862
344.5434298,0.110497238
347.4387528,0.168508287
356.1247216,-0.063535912
361.9153675,0.276243094
364.8106904,0.491712707
370.6013363,0.582872928
379.2873051,0.599447514
382.1826281,0.773480663
387.9732739,0.988950276
393.7639198,0.939226519
396.6592428,0.964088398
399.5545657,1.071823204
402.4498886,1.154696133
405.3452116,0.922651934
414.0311804,0.400552486
416.9265033,0.102209945
422.7171492,0.002762431
428.5077951,0.267955801
428.5077951,0.408839779
431.403118,0.516574586
434.298441,0.309392265
437.1937639,0.044198895
442.9844098,-0.212707182
445.8797327,0.17679558
445.8797327,0.325966851
454.5657016,0.325966851
457.4610245,0.218232044
460.3563474,0.160220994
466.1469933,0.483425414
471.9376392,0.524861878
477.7282851,0.682320442
480.623608,0.864640884
483.518931,1.005524862
489.3095768,0.773480663
495.1002227,0.980662983
497.9955457,1.20441989
497.9955457,1.254143646
506.6815145,1.378453039
509.5768374,1.453038674
515.3674833,1.477900552
521.1581292,1.328729282
524.0534521,0.980662983
529.844098,0.723756906
529.844098,0.616022099
535.6347439,0.508287293
538.5300668,0.649171271
547.2160356,0.640883978
550.1113586,0.698895028
558.7973274,0.475138122
564.5879733,0.657458564
564.5879733,0.798342541
567.4832962,0.939226519
567.4832962,1.055248619
573.2739421,1.138121547
579.064588,1.063535912
579.064588,0.657458564
581.9599109,0.433701657
584.8552339,0.209944751
587.7505568,0.342541436
590.6458797,0.624309392
593.5412027,0.814917127
599.3318486,1.005524862
605.1224944,0.732044199
608.0178174,0.781767956
610.9131403,0.930939227
616.7037862,1.196132597
619.5991091,0.964088398
622.4944321,0.582872928
628.285078,0.267955801
634.0757238,0.417127072
642.7616927,0.226519337
648.5523385,0.309392265
648.5523385,0.23480663
651.4476615,0.417127072
660.1336303,0.143646409
665.9242762,-0.121546961
668.8195991,0.201657459
674.610245,0.408839779
683.2962138,0.640883978
686.1915367,0.798342541
694.8775056,0.997237569
700.6681514,0.674033149
700.6681514,0.342541436
703.5634744,0.102209945
718.0400891,-0.129834254
723.830735,0.093922652
723.830735,0.383977901
726.7260579,0.649171271
729.6213808,0.76519337
732.5167038,1.005524862
738.3073497,1.03038674
744.0979955,0.872928177
749.8886414,0.475138122
755.6792873,0.060773481
764.3652561,-0.154696133
767.2605791,0.052486188
770.155902,0.392265193
773.0512249,0.491712707
781.7371938,0.930939227
784.6325167,0.408839779
787.5278396,0.044198895
796.2138085,-0.29558011
796.2138085,-0.187845304
802.0044543,0.11878453
813.5857461,0.085635359
816.481069,0.185082873
819.376392,0.458563536
825.1670379,0.607734807
828.0623608,0.591160221
830.9576837,0.616022099
839.6436526,0.425414365
839.6436526,0.5
845.4342984,0.524861878
848.3296214,0.674033149
851.2249443,0.740331492
859.9109131,0.682320442
862.8062361,0.533149171
868.596882,-0.113259669
874.3875278,-0.361878453
874.3875278,-0.320441989
880.1781737,-0.30801105
888.8641425,0.160220994
891.7594655,0.400552486
894.6547884,0.76519337
897.5501114,0.839779006
903.3407572,0.698895028
909.1314031,0.350828729
914.922049,0.135359116
923.6080178,0.168508287
923.6080178,0.044198895
932.2939866,0.23480663
932.2939866,0.359116022
932.2939866,0.616022099
938.0846325,0.76519337
946.7706013,0.980662983
955.4565702,0.5
958.3518931,0.342541436
961.247216,0.201657459
967.0378619,0.392265193
969.9331849,0.682320442
972.8285078,0.806629834
972.8285078,0.889502762
981.5144766,0.790055249
987.3051225,0.872928177
995.9910913,0.930939227
1007.572383,0.856353591
1019.153675,0.790055249
1022.048998,0.939226519
1022.048998,1.038674033
1024.944321,1.080110497
1030.734967,1.03038674
1036.525612,0.872928177
1042.316258,0.665745856
1045.211581,0.450276243
1053.89755,0.218232044
1059.688196,0.44198895
1062.583519,0.657458564
1065.478842,0.82320442
1068.374165,0.914364641
1077.060134,0.864640884
1085.746102,0.988950276
1091.536748,0.541436464
1100.222717,0.093922652
1103.11804,0.466850829
1106.013363,0.756906077
1108.908686,0.980662983
1120.489978,0.616022099
1123.385301,0.367403315
1129.175947,0.325966851
1137.861915,0.674033149
1146.547884,0.88121547
1152.33853,1.046961326
1161.024499,1.046961326
1175.501114,0.897790055
1189.977728,0.814917127
1195.768374,0.367403315
1201.55902,0.069060773
1210.244989,0.359116022
1210.244989,0.491712707
1216.035635,0.516574586
1224.721604,0.806629834
1230.512249,1.005524862
1233.407572,0.988950276
1236.302895,0.70718232
1242.093541,0.375690608
1242.093541,0.019337017
1244.988864,-0.20441989
1250.77951,-0.08839779
1259.465479,-0.055248619
1268.151448,0.5
1268.151448,0.607734807
1271.046771,0.715469613
1273.942094,0.864640884
1279.732739,0.997237569
1291.314031,0.466850829
1297.104677,0.011049724
1302.895323,0.259668508
1305.790646,0.657458564
1308.685969,0.872928177
1314.476615,0.640883978
1320.267261,0.533149171
1328.953229,0.093922652
1337.639198,0.185082873
1337.639198,0.5
1340.534521,0.790055249
1349.22049,0.732044199
1357.906459,0.82320442
1369.487751,0.607734807
1375.278396,0.400552486
1386.859688,0.773480663
1398.44098,1.03038674
1410.022272,0.82320442
1415.812918,0.616022099
1421.603563,0.359116022
1424.498886,0.29281768
1430.289532,0.325966851
1430.289532,0.582872928
1436.080178,0.82320442
1438.975501,0.955801105
1450.556793,0.566298343
1456.347439,0.367403315
1462.138085,0.665745856
1465.033408,0.906077348
1470.824053,1.063535912
1479.510022,1.162983425
1496.88196,0.972375691
1508.463252,0.740331492
1514.253898,0.955801105
1520.044543,1.179558011
1525.835189,0.839779006
1537.416481,0.566298343
1546.10245,0.657458564
1548.997773,0.856353591
1557.683742,0.939226519
1563.474388,1.121546961
1577.951002,0.988950276
1583.741648,1.022099448
1595.32294,0.964088398
1604.008909,0.988950276
1609.799555,1.022099448
1621.380846,0.864640884
1627.171492,0.947513812
1632.962138,0.930939227
1641.648107,0.980662983
1644.54343,1.055248619
1653.229399,1.055248619
1659.020045,0.930939227
1673.496659,0.732044199
1676.391982,0.814917127
1682.182628,0.906077348
1693.76392,0.781767956
1705.345212,0.002762431
1714.03118,0.591160221
1714.03118,0.698895028
1719.821826,0.698895028
1722.717149,0.599447514
1728.507795,0.723756906
1734.298441,0.864640884
1748.775056,0.723756906
1757.461024,0.284530387
1760.356347,0.334254144
1763.25167,0.715469613
1766.146993,0.939226519
1769.042316,1.038674033
1783.518931,0.997237569
1795.100223,0.997237569
1803.786192,0.906077348
1818.262806,0.864640884
1824.053452,0.723756906
1841.42539,0.566298343
1855.902004,0.831491713
1864.587973,0.814917127
1870.378619,0.972375691
1873.273942,1.013812155
1881.959911,1.005524862
1890.64588,0.906077348
1893.541203,0.640883978
1905.122494,0.334254144
1910.91314,0.682320442
1916.703786,0.665745856
1919.599109,0.674033149
1931.180401,0.939226519
1942.761693,0.76519337
1954.342984,0.458563536
1957.238307,0.649171271
1965.924276,0.972375691
1977.505568,0.616022099
1980.400891,0.524861878
1991.982183,0.582872928
1994.877506,0.682320442
1997.772829,0.798342541
2009.35412,0.425414365
2015.144766,0.848066298
2018.040089,1.055248619
