Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,C,7,5,130,132,58.31,66.66,-0.63,3.3,0.75,,,,,,,,,,,,,,,,-0.01,2.818,0.6,,,,,,,,,
363,U1489,C,7,6,30,32,58.81,67.16,-0.68,3.5,0.6-0.8,,,,,,,,,,,,,,,,0.056,2.748,0.6,,,,,,,,,
363,U1489,D,8,1,45,47,61.16,67.2,-0.77,3.44,0.8,,,,,,,,,,,,,,,,0.242,3.022,0.6,,,,,,,,,
363,U1489,D,8,1,95,97,61.66,67.7,-1.35,3.63,0.6,,,,,,,,,,,,,-0.388,2.998,0.5,-0.224,3.046,0.6,,,,,,,,,
363,U1489,D,8,1,145,147,62.16,68.2,-1.08,3.15,0.6,,,,,,,,,,,,,,,,-0.055,2.508,0.5,,,,,,,,,
363,U1489,D,8,2,45,47,62.66,68.7,-0.93,3.41,0.75,,,,,,,,,,,,,,,,-0.24,2.3,0.6,,,,,,,,,
363,U1489,D,8,2,95,97,63.16,69.2,-1.12,3.44,0.75,,,,,,,,,,,,,,,,-0.21,2.865,0.5,,,,,,,,,
363,U1489,D,8,2,145,147,63.66,69.7,-0.75,2.96,0.75,,,,,,,,,,,,,,,,0.025,2.802,0.5,,,,,,,,,
363,U1489,D,8,3,45,47,64.16,70.2,-1.09,2.99,0.6,,,,,,,,,,,,,,,,-0.126,2.643,0.5,,,,,,,,,
363,U1489,D,8,3,95,97,64.66,70.7,,,,,,,,,,,,,,,,,,,0.049,2.43,0.75,,,,,,,,,
363,U1489,D,8,3,145,147,65.16,71.2,,,,,,,,,,,,,,,,,,,-0.067,2.233,0.5,,,,,,,,,
363,U1489,D,8,4,45,47,65.66,71.7,,,,,,,,,,,,,,,,,,,0.065,2.56,0.5,,,,,,,,,
363,U1489,C,8,2,55,57,62.56,71.76,,,,,,,,,,,,,,,,,,,,,,,,,0.386,2.464,0.5,,,
363,U1489,C,8,2,105,107,63.06,72.26,-0.68,3.2,0.75,,,,,,,,,,,,,,,,0.113,2.601,0.6,,,,,,,,,
363,U1489,C,8,3,5,7,63.56,72.76,-0.96,3.12,0.75,,,,,,,,,,,,,,,,0.044,2.741,0.6,,,,,,,,,
363,U1489,C,8,3,55,57,64.06,73.26,,,,,,,,,,,,,,,,,,,-0.147,2.381,0.5-0.6,-0.551,2.76,0.6-0.8,,,,,,
363,U1489,C,8,3,105,107,64.56,73.76,-0.36,3.24,0.75-1,,,,,,,,,,,,,,,,0.024,2.556,0.5,,,,,,,,,
363,U1489,C,8,4,5,7,65.06,74.26,-0.66,2.81,0.75-1,,,,,,,,,,,,,0.097,2.523,0.5,,,,,,,,,,,,
363,U1489,C,8,4,55,57,65.56,74.76,-0.25,2.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1489,C,8,4,105,107,66.06,75.26,-0.89,3.32,0.75,,,,,,,,,,,,,,,,,,,,,,,,,-0.744,2.752,"0.5-1, C.l+C.r"
363,U1489,C,8,5,5,7,66.56,75.76,,,,,,,,,,,,,,,,,,,,,,,,,0.161,2.318,0.4-0.5,,,
363,U1489,C,8,5,55,57,67.06,76.26,-0.98,3.36,0.75,,,,,,,,,,,,,,,,-0.151,2.99,0.5-0.6,,,,,,,,,
363,U1489,C,8,5,105,107,67.56,76.76,,,,,,,,,,,,,,,,,,,-0.093,2.9,0.75,,,,,,,,,
363,U1489,C,8,6,5,7,68.06,77.26,,,,,,,,,,,,,,,,,,,-0.085,2.767,0.5-0.75,,,,,,,,,
363,U1489,C,8,6,55,57,68.56,77.76,,,,,,,,,,,,,,,,,,,0.146,2.407,0.4-0.5,,,,,,,,,
363,U1489,D,9,1,60,62,70.81,77.8,,,,,,,,,,,,,,,,,,,0.031,2.618,0.5,,,,,,,,,
363,U1489,D,9,1,110,112,71.31,78.3,,,,,,,,,,,,,,,,,,,-0.332,2.791,0.7,,,,,,,,,
363,U1489,D,9,2,10,12,71.81,78.8,,,,,,,,,,,,,,,,,,,0.172,2.544,0.5,,,,,,,,,
363,U1489,D,9,2,60,62,72.31,79.3,,,,,,,,,,,,,,,,,,,0.168,2.671,0.6-0.7,,,,,,,,,
363,U1489,D,9,2,110,112,72.81,79.8,,,,,,,,,,,,,,,,,,,-0.256,2.408,0.5,,,,,,,,,
363,U1489,D,9,3,10,12,73.31,80.3,,,,,,,,,,,,,,,,,,,-0.067,2.502,0.7,,,,,,,,,
363,U1489,D,9,3,60,62,73.81,80.8,,,,,,,,,,,,,,,,,,,0.117,2.601,0.5-0.75,,,,,,,,,
363,U1489,D,9,3,110,112,74.31,81.3,,,,,,,,,,,,,,,,,,,-0.18,2.16,0.5-0.75,,,,,,,,,
363,U1489,D,9,4,10,12,74.81,81.8,,,,,,,,,,,,,,,,,,,0.104,2.562,0.5,,,,,,,,,
363,U1489,D,9,4,60,62,75.31,82.3,,,,,,,,,,,,,,,,,,,0.005,2.639,0.75,,,,,,,,,
363,U1489,D,9,4,110,112,75.81,82.8,,,,,,,,,,,,,,,,,,,-0.097,2.511,0.5,,,,,,,,,
363,U1489,D,9,5,10,12,76.31,83.3,,,,,,,,,,,,,,,,,,,0.139,2.516,0.5,,,,,,,,,
363,U1489,D,9,5,60,62,76.81,83.8,-0.75,3.19,0.6-0.7,,,,,,,,,,,,,,,,0.029,2.68,0.4-0.6,,,,,,,,,
