Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,C,2,5,110,112,10.61,16.23,-1.37,4.51,0.75,,,,,,,,,,,,,,,,-0.371,3.82,0.6,,,,,,,,,
363,U1489,C,2,6,10,12,11.11,16.73,,,,,,,,,,,,,-0.248,3.429,0.5-0.75,,,,-0.213,3.519,0.75,,,,,,,,,
363,U1489,D,3,1,70,72,13.91,16.76,,,,,,,,,,,,,-0.344,3.486,0.5-0.75,,,,-0.38,3.557,0.75,,,,,,,,,
363,U1489,D,3,1,120,122,14.41,17.26,,,,,,,,,,,,,,,,,,,-0.344,3.365,0.5,,,,,,,,,
363,U1489,D,3,2,20,22,14.91,17.76,-1.65,4.58,0.75-1,,,,,,,,,,,,,,,,-0.362,4.1,0.6,,,,,,,,,
363,U1489,D,3,2,70,72,15.41,18.26,,,,,,,,,,,,,,,,,,,-0.545,3.111,0.5-0.6 ,,,,,,,,,
363,U1489,D,3,2,120,122,15.91,18.76,,,,,,,,,,,,,-0.539,2.775,0.5-0.75 ,,,,,,,,,,,,,,,
363,U1489,D,3,3,20,22,16.41,19.26,-1.21,4.47,0.75,,,,,,,,,,-0.876,3.951,0.6,,,,-0.738,3.886,0.6,,,,,,,,,
363,U1489,D,3,3,70,72,16.91,19.76,,,,,,,,,,,,,-0.45,3.615,0.6,,,,-0.467,3.544,0.5-0.6 ,,,,,,,,,
363,U1489,D,3,3,120,122,17.41,20.26,,,,-1.31,4.19,0.75,,,,,,,,,,,,,-0.551,3.357,0.5,,,,,,,,,
363,U1489,D,3,4,20,22,17.91,20.76,-0.97,3.69,1,,,,,,,,,,,,,,,,-0.251,2.496,0.75,,,,,,,,,
363,U1489,D,3,4,70,72,18.41,21.26,-0.94,3.96,1,,,,,,,,,,,,,,,,-0.07,3.263,0.5,,,,,,,,,
