mcd,ageSBP90,C13,O18
1853.5,431.39,-0.28,4.04
1868.5,434.28,-0.38,4.05
1883.5,437.17,-0.36,3.99
1913.5,442.95,-0.28,3.63
1921.5,444.5,-0.29,3.56
1934.5,447,-0.45,3.39
1979.5,466.8,0.72,3.3
2024.5,487.3,0.92,3.2
2054.5,500.88,0.7,3.41
2099.5,524.38,0.74,3.78
2114.5,533.69,-0.07,3.43
2129.5,543,0.17,3.61
2144.5,567,0.83,2.76
2159.5,569.75,0.53,3.09
2174.5,572.5,0.53,3.2
2204.5,578,0.54,3.1
2212.5,579.47,0.77,3.1
2221.5,581.12,0.94,3.02
2234.5,583.51,0.81,3.05
2255,587.27,0.84,2.96
2263,588.73,0.94,3.22
2272,590.38,0.97,3.04
2280,591.85,1.04,2.95
2293,594.24,1.02,2.84
2300,595.52,1.14,2.88
2323,599.74,0.66,2.49
2368,607.99,0.85,3.02
2383,610.74,0.95,2.67
2405,614.78,1.13,2.81
2413,616.24,0.83,2.99
2430,619.36,0.19,3.35
2443,621.75,0.08,3.44
2488,630,0.03,4.17
2533,638.09,0.8,4.34
2555,642.04,-0.04,4.03
2563,643.48,-0.1,4.07
2580,646.53,-0.39,4.01
2653,659.65,0.13,3.96
2668,662.35,-0.09,3.91
2683,665.05,-0.17,3.95
2743,675.23,0.43,3.29
2758,677.7,0.68,3.2
2773,680.16,0.69,3.14
2788,682.62,1.05,3.08
2803,685.08,0.98,2.92
2818,687.54,1.19,2.83
2833,690,0.92,2.78
2855,697.33,0.8,2.95
2863,700,1.17,3
2923,720,-0.29,3.93
2983,733.2,0.93,2.98
3005,738.04,0.82,3.38
3013,739.8,0.86,3.26
3030,743.54,-0.27,3.02
3043,746.4,-0.77,3.72
3156,775.64,0.26,3.32
3172,780,0.7,2.94
3202,787.5,0.08,3.11
3216,791,-0.43,3.64
3232,795,-0.63,4.14
3262,799.89,-0.54,3.83
3268,800.87,-0.56,3.68
3277,802.34,-0.25,3.88
3299,805.92,0.25,3.52
3307,807.23,0.34,3.55
3324,810,0.67,3.1
3339,815.43,0.55,3.03
3352,820.14,0.41,3.1
3365,824.84,0.43,3.17
3382,831,0.77,3.19
3397,838.39,0.69,2.92
3412,845.78,0.48,2.8
3427,853.16,0.68,2.69
3449,864,-0.34,3.03
3457,865.89,-0.39,3.58
3474,869.92,0.31,3.21
3517,883.5,-0.37,3.76
3547,894,-0.71,3.7
3577,898.2,-0.31,3.29
3607,902.4,0.51,3.46
3639,906.88,0.27,3.4
3652,908.7,0.46,3.47
3667,910.8,0.33,3.26
3682,912.9,-0.16,3.45
3689,913.88,-1.12,3.42
3733,923.53,0.05,3.61
3749,927.32,-0.12,3.35
3764,930.87,0.38,3.18
3774,933.24,0.77,3.16
3802,939.87,0.45,2.78
3817,943.42,0.49,2.87
3827,945.79,0.57,2.74
3849,951,0.46,2.64
3862,955.59,0.69,2.65
3875,960.18,0.37,2.82
3907,975,0.87,3.21
3952,981.98,0.85,3.24
3965,984,0.67,3.14
