Age,n-alkanes MAR
(ka),(mg m-2 y-1)
1135.05,15.24
1136.90,12.55
1140.60,11.49
1142.45,11.70
1146.15,9.47
1148.00,8.97
1149.86,9.31
1155.41,8.81
1157.26,7.23
1160.96,4.28
1162.81,3.33
1164.66,4.10
1168.37,3.76
1170.22,3.81
1172.07,3.65
1175.77,3.57
1177.62,3.57
1179.47,3.01
1183.17,3.09
1185.03,3.30
1186.88,3.79
1190.58,3.15
1194.56,4.81
1198.95,4.20
1201.14,4.85
1203.34,4.61
1207.73,5.01
1209.92,5.17
1212.12,5.81
1216.51,7.69
1218.70,8.64
1220.90,7.53
1225.29,8.08
1227.49,6.63
1229.68,6.28
1234.07,2.84
1236.27,2.36
1238.46,5.02
1249.00,4.49
1253.22,18.11
1257.45,14.97
1259.56,8.58
1261.67,7.01
1263.78,10.53
1265.90,18.19
1268.01,16.58
1270.12,17.15
1272.23,23.74
1274.34,17.70
1276.46,5.77
1278.57,6.18
1280.68,9.07
1282.79,10.69
1284.90,18.09
1287.02,24.57
1289.24,6.20
1291.16,2.20
1296.92,3.12
1302.04,1.92
1307.16,4.00
1312.28,3.46
1317.40,5.85
1319.96,6.63
1322.52,9.53
1325.08,5.52
1327.64,5.22
1330.20,3.64
1332.76,8.22
1335.32,7.37
1337.71,16.22
1339.93,13.08
1342.15,13.35
1344.38,12.84
1346.60,9.82
1348.82,5.37
1351.04,3.98
1353.26,5.16
1355.48,4.18
1357.70,4.01
1359.93,3.73
1362.15,7.60
1364.37,4.53
1370.48,6.18
1380.93,7.43
1390.33,2.86
1391.50,2.48
1392.68,6.44
1395.03,4.40
1397.38,3.08
1399.73,2.22
1403.25,1.71
1405.60,1.91
1407.95,2.05
1409.13,3.94
1410.30,2.48
1411.48,4.20
1412.65,2.99
1413.83,2.69
1415.00,2.80
1416.18,10.66
1418.53,3.19
1419.70,10.07
1421.95,16.39
1424.19,14.23
1426.44,9.12
1428.69,7.29
1430.94,5.99
1433.18,5.50
1435.43,5.08
1437.68,4.77
1439.92,4.51
1446.66,3.82
1451.16,4.13
1453.41,7.72
1455.65,6.17
1457.90,8.15
1485.99,2.43
1492.86,2.43
1498.57,3.30
1504.28,3.99
1509.99,3.09
1515.70,1.32
1521.42,1.48
1526.62,4.37
1529.36,7.37
1532.11,10.39
1534.86,9.04
1537.60,10.24
1540.35,11.65
1544.01,10.93
1545.84,10.30
1548.59,10.58
1551.34,9.43
1554.08,6.81
1556.83,3.98
1559.58,4.03
1562.32,2.68
1565.07,4.09
1566.90,4.21
1573.59,5.51
1576.45,5.75
1579.32,6.20
1582.18,8.52
1585.05,5.14
1587.91,3.59
1590.78,3.86
1593.64,4.95
1600.33,3.61
1602.24,2.76
1607.97,2.70
1610.83,2.84
1614.65,1.71
1616.56,2.80
1619.43,2.80
1622.29,2.20
1625.16,1.82
1628.02,2.01
1638.53,4.74
1643.30,5.56
1648.08,5.91
1652.85,6.02
1657.63,9.10
1662.40,7.77
1665.16,7.17
1667.91,6.73
1670.67,7.48
1673.42,6.79
1676.18,2.79
1678.93,2.98
1680.77,2.61
1684.44,2.94
1687.20,3.12
1689.95,3.57
1692.71,4.74
1697.30,6.95
1703.73,7.15
1706.49,6.90
1710.16,5.56
1712.92,3.66
1715.67,3.91
1718.43,4.33
1722.10,5.33
1724.55,3.48
1725.78,3.44
1728.23,3.29
1729.46,1.77
1730.69,2.57
1731.91,2.35
1733.14,2.55
1734.37,3.33
1753.99,3.91
1760.22,2.38
1762.85,2.07
1765.48,1.86
1768.11,2.06
1770.74,2.07
1773.38,2.44
1777.32,2.39
1778.64,2.28
1781.27,2.48
1785.22,2.80
1789.17,5.95
1793.04,10.21
1794.89,9.41
1796.13,11.25
1799.22,8.91
1804.17,8.03
1805.41,5.66
1808.50,8.40
1811.59,6.88
1813.45,5.18
1814.69,4.51
1817.78,3.69
1820.87,3.83
1822.73,3.45
1823.97,4.83
1827.06,5.17
1830.15,7.52
1833.24,7.80
1833.86,8.09
1834.48,7.79
1866.50,5.32
1868.58,7.71
1871.36,7.56
1873.44,5.54
1876.91,5.31
1879.69,4.55
1882.47,4.30
1883.86,3.52
1888.02,3.80
1890.80,4.30
1894.27,2.84
1899.13,3.78
1901.91,3.95
1904.69,6.15
1907.46,7.57
1910.24,6.90
1913.02,7.63
1915.10,8.72
1918.69,8.22
1921.76,6.19
1925.35,7.47
1927.91,6.73
1930.98,4.53
1933.03,3.86
1934.06,7.65
1937.64,7.52
1941.23,7.85
1944.81,7.15
1945.84,12.84
1950.00,5.17
1951.60,5.14
1953.20,4.57
1954.80,4.25
1959.07,5.44
1963.33,7.38
1970.80,4.48
1978.27,3.57
1980.40,6.23
1985.73,4.63
1989.67,8.21
1994.74,9.55
1998.96,6.64
2008.26,6.85
2010.80,5.89
2013.33,4.52
2018.40,4.73
2020.94,4.43
2023.05,4.48
2026.01,9.96
2028.54,14.01
2031.08,4.88
2033.35,2.50
2040.73,2.11
2044.43,2.42
2051.81,5.85
2066.76,4.45
2075.16,3.47
2080.20,2.81
2081.88,2.89
2083.56,2.29
2084.40,3.14
2085.73,4.34
2087.06,2.97
2088.39,2.96
2089.72,3.04
2091.05,2.71
2092.38,4.05
2093.71,3.07
2095.04,3.31
2096.37,3.27
2097.71,3.03
2099.04,3.42
2100.37,3.28
2101.70,3.59
2103.03,3.97
2104.36,4.40
2116.33,3.01
2122.32,4.06
2128.31,5.11
2134.29,6.01
2140.28,7.18
2146.27,11.61
2156.33,17.60
2159.47,15.17
2162.62,11.15
2165.06,7.01
2168.90,9.73
2172.05,6.25
2175.19,9.00
2178.33,7.20
2181.48,8.24
