"Exp","Site","Hole","Core","Type","Sect","A/W","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CCSF-361-U1474-ABDEF-20160220 (m)","Bottom depth CCSF-361-U1474-ABDEF-20160220 (m)","Display status (T/F)","Uncropped image (JPG) link","Uncropped image filename","Cropped image (JPG) link","Cropped image filename","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","A","3","H","4","A","19.400","20.900","17.703","19.203","F","33383671","361-u1474a-3h-4-a_shlf7598401_20160211005007.jpg","33383681","361-u1474a-3h-4-a_shlf7598401_20160211005007_trim.jpg","2016-02-11 06:53:17","CV-L107C-L170542B","SHIL","SHLF7598401","94817901",""
"361","U1474","A","3","H","4","A","19.400","20.900","17.703","19.203","T","33567651","361-u1474a-3h-4-a_shlf7598401_20160214153300.jpg","33567661","361-u1474a-3h-4-a_shlf7598401_20160214153300_trim.jpg","2016-02-14 21:37:12","CV-L107C-L170542B","SHIL","SHLF7598401","95331131",""
"361","U1474","A","3","H","5","A","20.900","22.400","19.203","20.703","T","33567731","361-u1474a-3h-5-a_shlf7598431_20160214154146.jpg","33567741","361-u1474a-3h-5-a_shlf7598431_20160214154146_trim.jpg","2016-02-14 21:44:01","CV-L107C-L170542B","SHIL","SHLF7598431","95331161",""
"361","U1474","A","3","H","5","A","20.900","22.400","19.203","20.703","F","33383771","361-u1474a-3h-5-a_shlf7598431_20160211005419.jpg","33383781","361-u1474a-3h-5-a_shlf7598431_20160211005419_trim.jpg","2016-02-11 06:55:32","CV-L107C-L170542B","SHIL","SHLF7598431","94818091",""
"361","U1474","A","3","H","6","A","22.400","23.400","20.703","21.703","F","33383821","361-u1474a-3h-6-a_shlf7598461_20160211005642.jpg","33383831","361-u1474a-3h-6-a_shlf7598461_20160211005642_trim.jpg","2016-02-11 06:57:54","CV-L107C-L170542B","SHIL","SHLF7598461","94819521",""
"361","U1474","A","3","H","6","A","22.400","23.400","20.703","21.703","T","33567781","361-u1474a-3h-6-a_shlf7598461_20160214154410.jpg","33567791","361-u1474a-3h-6-a_shlf7598461_20160214154410_trim.jpg","2016-02-14 21:45:01","CV-L107C-L170542B","SHIL","SHLF7598461","95331181",""
"361","U1474","A","3","H","7","A","23.400","23.960","21.703","22.263","F","33383871","361-u1474a-3h-7-a_shlf7598491_20160211005840.jpg","33383881","361-u1474a-3h-7-a_shlf7598491_20160211005840_trim.jpg","2016-02-11 06:59:36","CV-L107C-L170542B","SHIL","SHLF7598491","94819541",""
"361","U1474","A","3","H","7","A","23.400","23.960","21.703","22.263","T","33567831","361-u1474a-3h-7-a_shlf7598491_20160214154535.jpg","33567841","361-u1474a-3h-7-a_shlf7598491_20160214154535_trim.jpg","2016-02-14 21:46:15","CV-L107C-L170542B","SHIL","SHLF7598491","95331201",""
"361","U1474","A","3","H","CC","A","23.960","24.210","22.263","22.513","F","33384091","361-u1474a-3h-cc-a_shlf7598521_20160211010236.jpg","33384111","361-u1474a-3h-cc-a_shlf7598521_20160211010236_trim.jpg","2016-02-11 07:03:44","CV-L107C-L170542B","SHIL","SHLF7598521","94821061",""
"361","U1474","A","3","H","CC","A","23.960","24.210","22.263","22.513","T","33568021","361-u1474a-3h-cc-a_shlf7598521_20160214154638.jpg","33568031","361-u1474a-3h-cc-a_shlf7598521_20160214154638_trim.jpg","2016-02-14 21:47:21","CV-L107C-L170542B","SHIL","SHLF7598521","95331261",""
"361","U1474","A","4","H","1","A","24.400","25.900","24.996","26.496","T","33386401","361-u1474a-4h-1-a_shlf7598751_20160211021300.jpg","33386411","361-u1474a-4h-1-a_shlf7598751_20160211021300_trim.jpg","2016-02-11 08:18:09","CV-L107C-L170542B","SHIL","SHLF7598751","94828391",""
"361","U1474","A","4","H","2","A","25.900","27.400","26.496","27.996","T","33391261","361-u1474a-4h-2-a_shlf7598781_20160211022017.jpg","33391281","361-u1474a-4h-2-a_shlf7598781_20160211022017_trim.jpg","2016-02-11 12:20:29","CV-L107C-L170542B","SHIL","SHLF7598781","94865261",""
"361","U1474","A","4","H","3","A","27.400","28.900","27.996","29.496","T","33391271","361-u1474a-4h-3-a_shlf7598811_20160211022232.jpg","33391291","361-u1474a-4h-3-a_shlf7598811_20160211022232_trim.jpg","2016-02-11 12:20:31","CV-L107C-L170542B","SHIL","SHLF7598811","94865271",""
"361","U1474","A","4","H","4","A","28.900","30.400","29.496","30.996","T","33391381","361-u1474a-4h-4-a_shlf7598841_20160211022832.jpg","33391401","361-u1474a-4h-4-a_shlf7598841_20160211022832_trim.jpg","2016-02-11 12:21:01","CV-L107C-L170542B","SHIL","SHLF7598841","94865281",""
"361","U1474","A","4","H","5","A","30.400","31.900","30.996","32.496","T","33391371","361-u1474a-4h-5-a_shlf7598871_20160211023855.jpg","33391391","361-u1474a-4h-5-a_shlf7598871_20160211023855_trim.jpg","2016-02-11 12:21:01","CV-L107C-L170542B","SHIL","SHLF7598871","94865291",""
"361","U1474","A","4","H","6","A","31.900","33.400","32.496","33.996","T","33391481","361-u1474a-4h-6-a_shlf7598901_20160211024231.jpg","33391491","361-u1474a-4h-6-a_shlf7598901_20160211024231_trim.jpg","2016-02-11 12:21:32","CV-L107C-L170542B","SHIL","SHLF7598901","94865321",""
"361","U1474","A","4","H","7","A","33.400","34.140","33.996","34.736","T","33391451","361-u1474a-4h-7-a_shlf7598931_20160211024508.jpg","33391461","361-u1474a-4h-7-a_shlf7598931_20160211024508_trim.jpg","2016-02-11 12:21:25","CV-L107C-L170542B","SHIL","SHLF7598931","94865311",""
"361","U1474","A","5","H","1","A","33.900","35.400","34.160","35.660","T","33391561","361-u1474a-5h-1-a_shlf7599281_20160211043507.jpg","33391571","361-u1474a-5h-1-a_shlf7599281_20160211043507_trim.jpg","2016-02-11 12:22:02","CV-L107C-L170542B","SHIL","SHLF7599281","94865341",""
"361","U1474","A","4","H","CC","A","34.140","34.430","34.736","35.026","T","33391521","361-u1474a-4h-cc-a_shlf7598961_20160211025027.jpg","33391531","361-u1474a-4h-cc-a_shlf7598961_20160211025027_trim.jpg","2016-02-11 12:21:42","CV-L107C-L170542B","SHIL","SHLF7598961","94865331",""
"361","U1474","A","5","H","2","A","35.400","36.900","35.660","37.160","T","33391611","361-u1474a-5h-2-a_shlf7599311_20160211043707.jpg","33391631","361-u1474a-5h-2-a_shlf7599311_20160211043707_trim.jpg","2016-02-11 12:22:42","CV-L107C-L170542B","SHIL","SHLF7599311","94865351",""
"361","U1474","A","5","H","3","A","36.900","38.400","37.160","38.660","T","33391621","361-u1474a-5h-3-a_shlf7599341_20160211043902.jpg","33391641","361-u1474a-5h-3-a_shlf7599341_20160211043902_trim.jpg","2016-02-11 12:22:37","CV-L107C-L170542B","SHIL","SHLF7599341","94865361",""
"361","U1474","A","5","H","4","A","38.400","39.900","38.660","40.160","T","33392851","361-u1474a-5h-4-a_shlf7599371_20160211071343.jpg","33392871","361-u1474a-5h-4-a_shlf7599371_20160211071343_trim.jpg","2016-02-11 13:16:49","CV-L107C-L170542B","SHIL","SHLF7599371","94873221",""
"361","U1474","A","5","H","5","A","39.900","41.400","40.160","41.660","T","33392841","361-u1474a-5h-5-a_shlf7599401_20160211071116.jpg","33392861","361-u1474a-5h-5-a_shlf7599401_20160211071116_trim.jpg","2016-02-11 13:16:48","CV-L107C-L170542B","SHIL","SHLF7599401","94873231",""
"361","U1474","A","5","H","6","A","41.400","42.900","41.660","43.160","T","33391831","361-u1474a-5h-6-a_shlf7599431_20160211044449.jpg","33391851","361-u1474a-5h-6-a_shlf7599431_20160211044449_trim.jpg","2016-02-11 12:23:23","CV-L107C-L170542B","SHIL","SHLF7599431","94865401",""
"361","U1474","A","5","H","7","A","42.900","43.640","43.160","43.900","T","33391921","361-u1474a-5h-7-a_shlf7599461_20160211044631.jpg","33391951","361-u1474a-5h-7-a_shlf7599461_20160211044631_trim.jpg","2016-02-11 12:24:00","CV-L107C-L170542B","SHIL","SHLF7599461","94865421",""
"361","U1474","A","6","H","1","A","43.400","44.900","45.783","47.283","T","33393781","361-u1474a-6h-1-a_shlf7599911_20160211075935.jpg","33393801","361-u1474a-6h-1-a_shlf7599911_20160211075935_trim.jpg","2016-02-11 14:40:31","CV-L107C-L170542B","SHIL","SHLF7599911","94888511",""
"361","U1474","A","5","H","CC","A","43.640","43.890","43.900","44.150","T","33391911","361-u1474a-5h-cc-a_shlf7599491_20160211044805.jpg","33391931","361-u1474a-5h-cc-a_shlf7599491_20160211044805_trim.jpg","2016-02-11 12:23:55","CV-L107C-L170542B","SHIL","SHLF7599491","94865431",""
"361","U1474","A","6","H","2","A","44.900","46.400","47.283","48.783","T","33393791","361-u1474a-6h-2-a_shlf7599941_20160211080157.jpg","33393811","361-u1474a-6h-2-a_shlf7599941_20160211080157_trim.jpg","2016-02-11 14:40:31","CV-L107C-L170542B","SHIL","SHLF7599941","94888521",""
"361","U1474","A","6","H","3","A","46.400","47.900","48.783","50.283","T","33393861","361-u1474a-6h-3-a_shlf7599971_20160211080428.jpg","33393881","361-u1474a-6h-3-a_shlf7599971_20160211080428_trim.jpg","2016-02-11 14:40:56","CV-L107C-L170542B","SHIL","SHLF7599971","94888531",""
"361","U1474","A","6","H","4","A","47.900","49.400","50.283","51.783","T","33393871","361-u1474a-6h-4-a_shlf7600001_20160211080555.jpg","33393891","361-u1474a-6h-4-a_shlf7600001_20160211080555_trim.jpg","2016-02-11 14:40:56","CV-L107C-L170542B","SHIL","SHLF7600001","94888541",""
"361","U1474","A","6","H","5","A","49.400","50.900","51.783","53.283","T","33393941","361-u1474a-6h-5-a_shlf7600031_20160211080726.jpg","33393971","361-u1474a-6h-5-a_shlf7600031_20160211080726_trim.jpg","2016-02-11 14:41:35","CV-L107C-L170542B","SHIL","SHLF7600031","94888671",""
"361","U1474","A","6","H","6","A","50.900","52.400","53.283","54.783","T","33393951","361-u1474a-6h-6-a_shlf7600061_20160211080858.jpg","33393961","361-u1474a-6h-6-a_shlf7600061_20160211080858_trim.jpg","2016-02-11 14:41:35","CV-L107C-L170542B","SHIL","SHLF7600061","94888681",""
"361","U1474","A","6","H","7","A","52.400","53.060","54.783","55.443","T","33394051","361-u1474a-6h-7-a_shlf7600091_20160211081011.jpg","33394061","361-u1474a-6h-7-a_shlf7600091_20160211081011_trim.jpg","2016-02-11 14:42:12","CV-L107C-L170542B","SHIL","SHLF7600091","94888701",""
"361","U1474","A","7","H","1","A","52.900","54.400","55.513","57.013","T","33395181","361-u1474a-7h-1-a_shlf7600451_20160211091914.jpg","33395201","361-u1474a-7h-1-a_shlf7600451_20160211091914_trim.jpg","2016-02-11 15:28:27","CV-L107C-L170542B","SHIL","SHLF7600451","94893361",""
