exp,site,hole,core_num,type,section,sec_half,top_offset_cm,bottom_offset_cm,volume_cc,top40,CCSF_A_m,benthic_species,δ13C,d13C_stdev,d18O,d18O_stdev,user_id,user_name,notes
361,U1474,A,8,H,6,W,11,12,,,73.5624,uvi,-0.359,0.011,3.687,0.024,,Cody/Chiza,
361,U1474,A,8,H,6,W,11,12,,,73.5624,cib,0.73,0.052,3.088,0.08,,Cody/Chiza,
361,U1474,A,8,H,6,W,23,24,,,73.6848,uvi,-0.194,0.018,3.738,0.03,,Cody/Chiza,
361,U1474,A,8,H,6,W,23,24,,,73.6848,cib,1.142,0.041,2.98,0.058,,Cody/Chiza,
361,U1474,A,8,H,6,W,36,37,,,73.8072,uvi,-0.654,0.011,3.597,0.039,,Cody/Chiza,
361,U1474,A,8,H,6,W,36,37,,,73.8072,cib,0.965,0.026,3.012,0.058,,Cody/Chiza,
361,U1474,A,8,H,6,W,48,49,,,73.9296,uvi,-0.601,0.013,4.236,0.049,,Cody/Chiza,
361,U1474,A,8,H,6,W,48,49,,,73.9296,cib,0.74,0.024,3.379,0.035,,Cody/Chiza,
361,U1474,A,8,H,6,W,60,61,,,74.052,uvi,-1.007,0.029,4.321,0.035,,Cody/Chiza,
361,U1474,A,8,H,6,W,60,61,,,74.052,cib,-0.326,0.02,3.765,0.037,,Cody/Chiza,
361,U1474,A,8,H,6,W,72,73,,,74.1744,uvi,-0.675,0.019,4.249,0.039,,Cody/Chiza,
361,U1474,A,8,H,6,W,72,73,,,74.1744,cib,0.34,0.019,3.7,0.05,,Cody/Chiza,
361,U1474,F,9,H,1,W,41,42,,,74.4192,uvi,-0.781,0.024,3.774,0.061,,Cody/Chiza,
361,U1474,F,9,H,1,W,41,42,,,74.4192,cib,0.249,0.023,3.514,0.047,,Cody/Chiza,
361,U1474,F,9,H,1,W,53,54,,,74.5416,uvi,-0.379,0.021,3.796,0.022,,Cody/Chiza,
361,U1474,F,9,H,1,W,53,54,,,74.5416,cib,0.264,0.021,3.256,0.021,,Cody/Chiza,
361,U1474,F,9,H,1,W,65,66,,,74.664,uvi,-0.225,0.015,3.935,0.034,,Cody/Chiza,
361,U1474,F,9,H,1,W,65,66,,,74.664,cib,0.984,0.027,3.37,0.079,,Cody/Chiza,
361,U1474,F,9,H,1,W,78,79,,,74.7864,uvi,-0.073,0.016,3.995,0.032,,Cody/Chiza,
361,U1474,F,9,H,1,W,78,79,,,74.7864,cib,0.835,0.03,3.882,0.045,,Cody/Chiza,
361,U1474,F,9,H,1,W,128,129,,,75.277,uvi,-0.302,0.012,3.689,0.029,,Cody/Chiza,
361,U1474,F,9,H,1,W,128,129,,,75.277,cib,0.912,0.015,3.039,0.046,,Cody/Chiza,
361,U1474,F,9,H,2,W,1,2,,,75.5208,uvi,-1.208,0.025,3.465,0.039,,Cody/Chiza,
361,U1474,F,9,H,2,W,1,2,,,75.5208,cib,1.282,0.037,3.022,0.061,,Cody/Chiza,
361,U1474,F,9,H,2,W,13,14,,,75.6432,cib,1.056,0.024,3.124,0.041,,Cody/Chiza,
361,U1474,F,9,H,2,W,26,27,,,75.7656,uvi,-0.463,0.023,3.89,0.023,,Cody/Chiza,
361,U1474,F,9,H,2,W,26,27,,,75.7656,cib,0.852,0.038,3.432,0.044,,Cody/Chiza,
361,U1474,F,9,H,2,W,38,39,,,75.888,uvi,-0.844,0.027,4.387,0.038,,Cody/Chiza,
361,U1474,F,9,H,2,W,38,39,,,75.888,cib,0.589,0.021,3.701,0.043,,Cody/Chiza,
361,U1474,F,9,H,2,W,50,51,,,76.0104,uvi,-0.684,0.018,4.488,0.032,,Cody/Chiza,
361,U1474,F,9,H,2,W,50,51,,,76.0104,cib,0.775,0.036,3.794,0.056,,Cody/Chiza,
361,U1474,F,9,H,2,W,75,76,,,76.2552,uvi,-0.792,0.023,4.295,0.047,,Cody/Chiza,
361,U1474,F,9,H,2,W,75,76,,,76.2552,cib,0.777,0.017,3.631,0.034,,Cody/Chiza,
361,U1474,F,9,H,2,W,87,88,,,76.3776,cib,0.903,0.034,2.794,0.05,,Cody/Chiza,
361,U1474,F,9,H,2,W,99,100,,,76.5,uvi,0.024,0.026,3.512,0.05,,Cody/Chiza,
361,U1474,F,9,H,2,W,99,100,,,76.5,cib,1.128,0.023,3.219,0.033,,Cody/Chiza,
361,U1474,F,9,H,2,W,136,137,,,76.8672,uvi,-0.64,0.017,4.057,0.025,,Cody/Chiza,
361,U1474,F,9,H,2,W,136,137,,,76.8672,cib,0.386,0.018,3.236,0.026,,Cody/Chiza,
361,U1474,F,9,H,2,W,148,149,,,76.9896,uvi,-0.384,0.019,4.031,0.029,,Cody/Chiza,
361,U1474,F,9,H,2,W,148,149,,,76.9896,cib,1.029,0.021,3.468,0.04,,Cody/Chiza,
361,U1474,F,9,H,3,W,1,2,,,77.01,uvi,-0.366,0.022,3.94,0.036,,Cody/Chiza,
361,U1474,F,9,H,3,W,1,2,,,77.01,cib,0.857,0.027,3.412,0.045,,Cody/Chiza,
361,U1474,F,9,H,3,W,13,14,,,77.13,uvi,-0.478,0.018,3.802,0.061,,Cody/Chiza,
361,U1474,F,9,H,3,W,13,14,,,77.13,cib,0.839,0.023,3.227,0.071,,Cody/Chiza,
361,U1474,F,9,H,3,W,25,26,,,77.26,uvi,-0.324,0.019,3.619,0.032,,Cody/Chiza,
361,U1474,F,9,H,3,W,25,26,,,77.26,cib,0.731,0.027,3.033,0.044,,Cody/Chiza,
361,U1474,F,9,H,3,W,38,39,,,77.39,uvi,-0.34,0.019,3.632,0.027,,Cody/Chiza,
361,U1474,F,9,H,3,W,38,39,,,77.39,cib,1.201,0.025,2.958,0.035,,Cody/Chiza,
361,U1474,F,9,H,3,W,50,51,,,77.51,uvi,-0.971,0.008,4.095,0.033,,Cody/Chiza,
361,U1474,F,9,H,3,W,50,51,,,77.51,cib,0.248,0.028,3.416,0.039,,Cody/Chiza,
361,U1474,F,9,H,3,W,63,64,,,77.64,uvi,-0.495,0.017,3.814,0.038,,Cody/Chiza,
361,U1474,F,9,H,3,W,63,64,,,77.64,cib,-0.323,0.023,3.321,0.032,,Cody/Chiza,
361,U1474,F,9,H,3,W,74,75,,,77.75,uvi,-0.829,0.056,4.318,0.101,,Cody/Chiza,
361,U1474,F,9,H,3,W,74,75,,,77.75,cib,0.781,0.024,3.789,0.031,,Cody/Chiza,
361,U1474,F,9,H,3,W,99,100,,,77.9,cib,0.982,0.027,3.456,0.018,,Cody/Chiza,
361,U1474,F,9,H,3,W,111,112,,,78.02,cib,0.302,0.014,3.354,0.023,,Cody/Chiza,
361,U1474,F,9,H,3,W,120,121,,,78.11,uvi,-0.081,0.014,4.399,0.023,,Cody/Chiza,
361,U1474,F,9,H,3,W,120,121,,,78.11,cib,1.019,0.019,3.366,0.047,,Cody/Chiza,
361,U1474,F,9,H,3,W,135,136,,,78.26,cib,0.326,0.013,3.212,0.034,,Cody/Chiza,
361,U1474,F,9,H,5,W,139,140,,,81.396,cib,,,,,,Cody/Chiza,
361,U1474,F,9,H,6,W,1,2,,,81.5184,cib,,,,,,Cody/Chiza,
361,U1474,F,9,H,6,W,13,14,,,81.6408,cib,,,,,,Cody/Chiza,
361,U1474,F,9,H,6,W,38,39,,,81.8856,cib,,,,,,Cody/Chiza,
361,U1474,F,9,H,6,W,99,100,,,82.4976,cib,,,,,,Cody/Chiza,
361,U1474,F,9,H,6,W,111,112,,,82.62,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,1,W,84,85,,,82.7424,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,1,W,96,97,,,82.8648,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,1,W,109,110,,,82.9872,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,1,W,121,122,,,83.1096,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,1,W,133,134,,,83.232,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,2,W,57,58,,,83.9664,cib,0.972,0.021,2.951,0.033,,Cody/Chiza,
361,U1474,D,10,H,2,W,81,82,,,84.2112,cib,0.962,0.023,2.83,0.038,,Cody/Chiza,
361,U1474,D,10,H,2,W,93,94,,,84.3336,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,2,W,93,94,,,84.3336,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,2,W,106,107,,,84.456,cib,0.649,0.057,3.397,0.081,,Cody/Chiza,
361,U1474,D,10,H,2,W,118,119,,,84.5784,uvi,-0.834,0.014,4.291,0.03,,Cody/Chiza,
361,U1474,D,10,H,2,W,118,119,,,84.5784,cib,0.525,0.021,3.797,0.041,,Cody/Chiza,
361,U1474,D,10,H,2,W,130,131,,,84.7008,uvi,-1.161,0.016,4.599,0.047,,Cody/Chiza,
361,U1474,D,10,H,2,W,130,131,,,84.7008,cib,0.167,0.021,3.842,0.056,,Cody/Chiza,
361,U1474,D,10,H,2,W,142,143,,,84.8232,uvi,-1.277,0.018,4.63,0.042,,Cody/Chiza,
361,U1474,D,10,H,2,W,142,143,,,84.8232,cib,0.463,0.016,4.013,0.053,,Cody/Chiza,
361,U1474,D,10,H,3,W,5,6,,,84.9456,uvi,-1.226,0.025,4.503,0.025,,Cody/Chiza,
361,U1474,D,10,H,3,W,5,6,,,84.9456,cib,0.542,0.03,3.739,0.07,,Cody/Chiza,
361,U1474,D,10,H,3,W,17,18,,,85.068,uvi,-1.063,0.02,4.506,0.036,,Cody/Chiza,
361,U1474,D,10,H,3,W,17,18,,,85.068,cib,0.466,0.022,3.961,0.06,,Cody/Chiza,
361,U1474,D,10,H,3,W,29,30,,,85.1904,uvi,-1.092,0.011,4.449,0.03,,Cody/Chiza,
361,U1474,D,10,H,3,W,29,30,,,85.1904,cib,0.46,0.03,3.812,0.045,,Cody/Chiza,
361,U1474,D,10,H,3,W,41,42,,,85.3128,uvi,-0.947,0.011,4.364,0.032,,Cody/Chiza,
361,U1474,D,10,H,3,W,41,42,,,85.3128,cib,0.315,0.016,3.642,0.04,,Cody/Chiza,
361,U1474,D,10,H,3,W,54,55,,,85.4352,uvi,-0.801,0.015,4.461,0.041,,Cody/Chiza,
361,U1474,D,10,H,3,W,54,55,,,85.4352,cib,-0.243,0.011,3.745,0.037,,Cody/Chiza,
361,U1474,D,10,H,3,W,66,67,,,85.5576,uvi,-0.541,0.014,4.318,0.037,,Cody/Chiza,
361,U1474,D,10,H,3,W,66,67,,,85.5576,cib,0.677,0.023,4.129,0.031,,Cody/Chiza,
361,U1474,D,10,H,3,W,78,79,,,85.68,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,3,W,90,91,,,85.8024,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,3,W,102,103,,,85.9248,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,3,W,115,116,,,86.0472,cib,,,,,,Cody/Chiza,
361,U1474,D,10,H,3,W,127,128,,,86.1696,cib,,,,,,Cody/Chiza,
