SectionLabel,Leg,Site,Hole,Core,Type,Section,LL(m),CL(m),Top(mbsf),Comment,CoreLabel,Bottom(mbsf),Top(mcd),Bottom(mcd),Filename
1313C_23H6,306,1313,C,23,H,6,1.5,1.5,209.7,,1313C_23,211.2,231.73999999999998,233.23999999999998,1313c_023h_06.jpg
1313B_23H1,306,1313,B,23,H,1,1.5,1.5,207.4,,1313B_23,208.9,230.94,232.44,1313b_023h_01.jpg
1313B_23H2,306,1313,B,23,H,2,1.5,1.5,208.9,,1313B_23,210.4,232.44,233.94,1313b_023h_02.jpg
1313B_23H3,306,1313,B,23,H,3,1.5,1.5,210.4,,1313B_23,211.9,233.94,235.44,1313b_023h_03.jpg
1313B_23H4,306,1313,B,23,H,4,1.5,1.5,211.9,,1313B_23,213.4,235.44,236.94,1313b_023h_04.jpg
1313B_23H5,306,1313,B,23,H,5,1.5,1.5,213.4,,1313B_23,214.9,236.94,238.44,1313b_023h_05.jpg
1313B_23H6,306,1313,B,23,H,6,1.5,1.5,214.9,,1313B_23,216.4,238.44,239.94,1313b_023h_06.jpg
1313B_23H7,306,1313,B,23,H,7,0.72,0.72,216.4,,1313B_23,217.12,239.94,240.66,1313b_023h_07.jpg
1313C_24H5,306,1313,C,24,H,5,1.5,1.5,217.7,,1313C_24,219.2,239.93999999999997,241.44,1313c_024h_05.jpg
1313C_24H6,306,1313,C,24,H,6,1.5,1.5,219.2,,1313C_24,220.7,241.44,242.94,1313c_024h_06.jpg
1313B_24H2,306,1313,B,24,H,2,1.5,1.5,217.26,,1313B_24,218.76,242.29,243.79,1313b_024h_02.jpg
1313B_24H3,306,1313,B,24,H,3,1.5,1.5,218.76,,1313B_24,220.26,243.79,245.29,1313b_024h_03.jpg
1313B_24H4,306,1313,B,24,H,4,1.5,1.5,220.26,,1313B_24,221.76,245.29,246.79,1313b_024h_04.jpg
1313B_24H5,306,1313,B,24,H,5,1.5,1.5,221.76,,1313B_24,223.26,246.79,248.29,1313b_024h_05.jpg
1313B_24H6,306,1313,B,24,H,6,1.41,1.41,223.26,,1313B_24,224.67,248.29,249.7,1313b_024h_06.jpg
1313C_25H5,306,1313,C,25,H,5,1.5,1.5,227.2,,1313C_25,228.7,250.44,251.94,1313c_025h_05.jpg
1313C_25H6,306,1313,C,25,H,6,1.5,1.5,228.7,,1313C_25,230.2,251.94,253.44,1313c_025h_06.jpg
1313C_25H7,306,1313,C,25,H,7,0.54,0.54,230.2,,1313C_25,230.73999999999998,253.44,253.98,1313c_025h_07.jpg
1313B_25H2,306,1313,B,25,H,2,1.5,1.5,227.27,,1313B_25,228.77,252.89000000000001,254.39000000000001,1313b_025h_02.jpg
1313B_25H3,306,1313,B,25,H,3,1.5,1.5,228.77,,1313B_25,230.27,254.39000000000001,255.89000000000001,1313b_025h_03.jpg
1313B_25H4,306,1313,B,25,H,4,1.5,1.5,230.27,,1313B_25,231.77,255.89000000000001,257.39000000000004,1313b_025h_04.jpg
1313B_25H5,306,1313,B,25,H,5,1.5,1.5,231.77,,1313B_25,233.27,257.39000000000004,258.89000000000004,1313b_025h_05.jpg
1313B_25H6,306,1313,B,25,H,6,1.25,1.25,233.27,,1313B_25,234.52,258.89000000000004,260.14000000000004,1313b_025h_06.jpg
1313C_26H4,306,1313,C,26,H,4,1.5,1.5,235.2,,1313C_26,236.7,258.44,259.94,1313c_026h_04.jpg
1313C_26H5,306,1313,C,26,H,5,1.5,1.5,236.7,,1313C_26,238.2,259.94,261.44,1313c_026h_05.jpg
1313C_26H6,306,1313,C,26,H,6,1.0,1.0,238.2,,1313C_26,239.2,261.44,262.44,1313c_026h_06.jpg
1313C_26H7,306,1313,C,26,H,7,0.99,0.99,239.2,,1313C_26,240.19,262.44,263.42999999999995,1313c_026h_07.jpg
1313B_26H2,306,1313,B,26,H,2,1.1,1.1,237.04,,1313B_26,238.14,262.54999999999995,263.65,1313b_026h_02.jpg
1313B_26H3,306,1313,B,26,H,3,1.1,1.1,238.14,,1313B_26,239.23999999999998,263.65,264.74999999999994,1313b_026h_03.jpg
1313B_26H4,306,1313,B,26,H,4,1.14,1.14,239.24,,1313B_26,240.38,264.75,265.89,1313b_026h_04.jpg
1313B_26H5,306,1313,B,26,H,5,1.5,1.5,240.38,,1313B_26,241.88,265.89,267.39,1313b_026h_05.jpg
1313B_26H6,306,1313,B,26,H,6,1.5,1.5,241.88,,1313B_26,243.38,267.39,268.89000000000004,1313b_026h_06.jpg
1313C_27H3,306,1313,C,27,H,3,1.5,1.5,243.2,,1313C_27,244.7,266.44,267.94,1313c_027h_03.jpg
1313C_27H4,306,1313,C,27,H,4,1.5,1.5,244.7,,1313C_27,246.2,267.94,269.44,1313c_027h_04.jpg
1313C_27H5,306,1313,C,27,H,5,1.5,1.5,246.2,,1313C_27,247.7,269.44,270.94,1313c_027h_05.jpg
1313C_27H6,306,1313,C,27,H,6,1.0,1.0,247.7,,1313C_27,248.7,270.94,271.94,1313c_027h_06.jpg
1313B_27H1,306,1313,B,27,H,1,1.5,1.5,245.4,,1313B_27,246.9,270.43000000000006,271.93,1313b_027h_01.jpg
1313B_27H2,306,1313,B,27,H,2,1.5,1.5,246.9,,1313B_27,248.4,271.93,273.43,1313b_027h_02.jpg
1313B_27H3,306,1313,B,27,H,3,1.5,1.5,248.4,,1313B_27,249.9,273.43,274.93,1313b_027h_03.jpg
1313B_27H4,306,1313,B,27,H,4,1.5,1.5,249.9,,1313B_27,251.4,274.93,276.42999999999995,1313b_027h_04.jpg
1313C_28H1,306,1313,C,28,H,1,1.5,1.5,249.7,,1313C_28,251.2,273.78,275.28,1313c_028h_01.jpg
1313C_28H2,306,1313,C,28,H,2,1.5,1.5,251.2,,1313C_28,252.7,275.28,276.78,1313c_028h_02.jpg
1313C_28H3,306,1313,C,28,H,3,1.5,1.5,252.7,,1313C_28,254.2,276.78,278.28,1313c_028h_03.jpg
1313C_28H4,306,1313,C,28,H,4,1.5,1.5,254.2,,1313C_28,255.7,278.28,279.78,1313c_028h_04.jpg
1313C_28H5,306,1313,C,28,H,5,1.5,1.5,255.7,,1313C_28,257.2,279.78,281.28,1313c_028h_05.jpg
1313C_28H6,306,1313,C,28,H,6,1.5,1.5,257.2,,1313C_28,258.7,281.28,282.78,1313c_028h_06.jpg
1313C_28H7,306,1313,C,28,H,7,0.56,0.56,258.7,,1313C_28,259.26,282.78,283.34,1313c_028h_07.jpg
1313B_28H1,306,1313,B,28,H,1,1.5,1.5,254.9,,1313B_28,256.4,282.42999999999995,283.92999999999995,1313b_028h_01.jpg
1313B_28H2,306,1313,B,28,H,2,1.5,1.5,256.4,,1313B_28,257.9,283.92999999999995,285.42999999999995,1313b_028h_02.jpg
1313B_28H3,306,1313,B,28,H,3,1.5,1.5,257.9,,1313B_28,259.4,285.42999999999995,286.92999999999995,1313b_028h_03.jpg
1313B_28H4,306,1313,B,28,H,4,1.5,1.5,259.4,,1313B_28,260.9,286.92999999999995,288.42999999999995,1313b_028h_04.jpg
1313B_28H5,306,1313,B,28,H,5,1.5,1.5,260.9,,1313B_28,262.4,288.42999999999995,289.92999999999995,1313b_028h_05.jpg
1313C_29H4,306,1313,C,29,H,4,1.5,1.5,263.7,,1313C_29,265.2,,,1313c_029h_04.jpg
1313C_29H5,306,1313,C,29,H,5,1.5,1.5,265.2,,1313C_29,266.7,,,1313c_029h_05.jpg
1313C_29H6,306,1313,C,29,H,6,1.5,1.5,266.7,,1313C_29,268.2,,,1313c_029h_06.jpg
1313C_29H7,306,1313,C,29,H,7,0.69,0.69,268.2,,1313C_29,268.89,,,1313c_029h_07.jpg
