Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
0.0,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,
2.0,1.0326645040881621,0.9133846153846152,1.4726731811059532,0.8256257309941522,0.9705,0.4845,0.5267523067459503,0.5104347826086957,,0.5114800875071001,,0.004418604651162783,0.197,0.1315,0.6045297770539152,0.23241439533732022,0.11370781017202287
3.0,1.0162398465539155,0.9229230769230767,1.3581810436589297,0.9406666666666667,0.9535,0.4915,0.5021470166085709,0.4886956521739131,,0.46569781848349123,,-0.013162790697674426,0.159,0.1405,0.5916093201610065,0.2120685648846666,0.11370627583825338
4.0,1.0492793654542591,0.9324615384615385,1.2436889062119063,1.015298245614035,0.9365,0.49849999999999994,0.4775417264711913,0.46695652173913044,,0.4193140231230953,,-0.030744186046511635,0.12100000000000002,0.1495,0.5793933043824863,0.19854302029928955,0.11370474317263568
5.0,1.0115087042972344,0.942,1.1291967687648827,1.057298245614035,0.9195,0.5055,0.4529364363338118,0.44521739130434784,0.6971666666666667,0.37232870142591235,,-0.04832558139534884,0.083,0.1585,0.564201577172292,0.18785177498439506,0.11370321231569906
6.0,0.9668247487543447,0.9515384615384616,1.0147046313178594,1.0666666666666667,0.9024999999999999,0.5125,0.4283311461964322,0.4234782608695652,0.6791666666666667,0.3247418533919423,,-0.06590697674418605,0.04500000000000002,0.1675,0.5404491252989235,0.18927481673837873,0.11370168341994406
7.0,0.9500119815842109,0.9531439560439562,0.9002124938708359,1.0332063492063492,0.8855000000000001,0.51,0.40372585605905265,0.4017391304347826,0.6081666666666666,0.2765534790211851,,-0.08348837209302326,0.008000000000000012,0.16879999999999998,0.5095665162324823,0.19014535436784208,0.1137001566614706
8.0,0.9277506887052341,0.9388835164835166,0.7857203564238124,0.9862672811059909,0.8685,0.4885,0.3791205659216731,0.38,0.5526666666666665,0.2305035256828964,,-0.10106976744186047,-0.02699999999999999,0.1547,0.47487200029047555,0.19576339448312025,0.1136986322394464
9.0,0.8884462809917355,0.9087571428571429,0.671228218976789,0.921299539170507,0.8515,0.44800000000000006,0.3545152757842936,0.35639525691699603,,0.19031900071731997,,-0.11865116279069768,-0.06,0.1252,0.43420275534877306,0.21311134858276734,0.11369711037096658
10.0,0.8577107438016529,0.8627648351648354,0.5615299616372706,0.8305253456221198,0.8345,0.38849999999999996,0.33051022446115785,0.3250171277997365,,0.1559999041244558,,-0.1362325581395349,-0.091,0.08030000000000001,0.38946242466940695,0.22110461991698888,0.11369559129025514
11.0,0.8278016528925619,0.8009065934065935,0.4632809179733776,0.7151135809162376,0.8175000000000001,0.31,0.3129248396005226,0.2134026699684112,,0.12754623590430395,,-0.15381395348837207,-0.12000000000000002,0.020000000000000028,0.3340071707279022,0.2176077083667786,0.11369407525297866
12.0,0.7987190082644628,0.7301259340659342,0.3764810879851101,0.6001555977229602,0.7848333333333333,0.2394,0.3017591212023879,0.08473844786259663,,0.10495799605686432,,-0.1713953488372093,-0.1498,-0.04349999999999997,0.2774915574348025,0.21252439403523865,0.11369256253772081
13.0,0.7697933884297521,0.6573663736263736,0.3126657458122097,0.4956698292220114,0.7208333333333334,0.2036,0.29701306926675375,0.01595790956031919,,0.08589332730281371,,-0.1889767441860465,-0.1832,-0.09799999999999998,0.2301699786607259,0.20737792883712028,0.11369105342607164
14.0,0.7408677685950413,0.5826279120879121,0.2823393538909175,0.4028728652751424,0.6255000000000001,0.20259999999999997,0.2986866837936201,-0.016847285244875602,0.31733333333333336,0.0655659633879416,,-0.20655813953488372,-0.2202,-0.1435,0.19539089429326173,0.18799436776240172,0.11368954817352804
15.0,0.6938061374847845,0.5059105494505494,0.28070803211372847,0.32176470588235295,0.49883333333333335,0.2364,0.30300101292906945,-0.05181698221457257,0.28833333333333333,0.04397590431224797,,-0.22413953488372096,-0.26080000000000003,-0.18,0.15882843553610457,0.16938409839792473,0.11368804700719053
