Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
0.0,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,
2.0,1.0326645040881621,0.9133846153846152,1.4726731811059532,0.8256257309941522,0.9705,0.4845,,0.5104347826086957,,0.5114800875071001,,0.004418604651162783,0.197,0.1315,0.6124037515616728,0.24235690870280632,0.11393384624271125
3.0,1.0162398465539155,0.9229230769230767,1.3581810436589297,0.9406666666666667,0.9535,0.4915,,0.4886956521739131,,0.46569781848349123,,-0.013162790697674426,0.159,0.1405,0.6005455522364436,0.22039238296500482,0.11393225996779666
4.0,1.0492793654542591,0.9324615384615385,1.2436889062119063,1.015298245614035,0.9365,0.49849999999999994,,0.46695652173913044,,0.4193140231230953,,-0.030744186046511635,0.12100000000000002,0.1495,0.5894558341269103,0.20543063401474915,0.11393067521047337
5.0,1.0115087042972344,0.942,1.1291967687648827,1.057298245614035,0.9195,0.5055,,0.44521739130434784,0.6971666666666667,0.37232870142591235,,-0.04832558139534884,0.083,0.1585,0.57426753521749,0.19300165891413634,0.11392909211160206
6.0,0.9668247487543447,0.9515384615384616,1.0147046313178594,1.0666666666666667,0.9024999999999999,0.5125,,0.4234782608695652,0.6791666666666667,0.3247418533919423,,-0.06590697674418605,0.04500000000000002,0.1675,0.5505861531994558,0.19446368211144122,0.11392751082585999
7.0,0.9500119815842109,0.9531439560439562,0.9002124938708359,1.0332063492063492,0.8855000000000001,0.51,,0.4017391304347826,0.6081666666666666,0.2765534790211851,,-0.08348837209302326,0.008000000000000012,0.16879999999999998,0.5191804342222593,0.1957363953365256,0.11392593153290738
8.0,0.9277506887052341,0.9388835164835166,0.7857203564238124,0.9862672811059909,0.8685,0.4885,,0.38,0.5526666666666665,0.2305035256828964,,-0.10106976744186047,-0.02699999999999999,0.1547,0.48364514946320053,0.20218967893559958,0.11392435443673127
9.0,0.8884462809917355,0.9087571428571429,0.671228218976789,0.921299539170507,0.8515,0.44800000000000006,,0.35639525691699603,,0.19031900071731997,,-0.11865116279069768,-0.06,0.1252,0.4422503670616685,0.22190884956424767,0.11392277976022339
10.0,0.8577107438016529,0.8627648351648354,0.5615299616372706,0.8305253456221198,0.8345,0.38849999999999996,,0.3250171277997365,,0.1559999041244558,,-0.1362325581395349,-0.091,0.08030000000000001,0.3956250109862815,0.23104255921002087,0.11392120774449611
11.0,0.8278016528925619,0.8009065934065935,0.4632809179733776,0.7151135809162376,0.8175000000000001,0.31,,0.2134026699684112,,0.12754623590430395,,-0.15381395348837207,-0.12000000000000002,0.020000000000000028,0.3367270416737886,0.22810971692115944,0.113919638655377
12.0,0.7987190082644628,0.7301259340659342,0.3764810879851101,0.6001555977229602,0.7848333333333333,0.2394,,0.08473844786259663,,0.10495799605686432,,-0.1713953488372093,-0.1498,-0.04349999999999997,0.2760887106629648,0.22276772182085727,0.11391807278591747
13.0,0.7697933884297521,0.6573663736263736,0.3126657458122097,0.4956698292220114,0.7208333333333334,0.2036,,0.01595790956031919,,0.08589332730281371,,-0.1889767441860465,-0.1832,-0.09799999999999998,0.22489662944902972,0.21641796807123917,0.1139165104344945
14.0,0.7408677685950413,0.5826279120879121,0.2823393538909175,0.4028728652751424,0.6255000000000001,0.20259999999999997,,-0.016847285244875602,0.31733333333333336,0.0655659633879416,,-0.20655813953488372,-0.2202,-0.1435,0.18757677481022317,0.19372435380447214,0.11391495187239589
15.0,0.6938061374847845,0.5059105494505494,0.28070803211372847,0.32176470588235295,0.49883333333333335,0.2364,,-0.05181698221457257,0.28833333333333333,0.04397590431224797,,-0.22413953488372096,-0.26080000000000003,-0.18,0.14760791706201545,0.17113552517318678,0.11391339734074155
16.0,0.6270639546441947,0.4272142857142856,0.3011164469125222,0.2511764705882353,0.3408333333333334,0.30500000000000005,,-0.016488238668961572,0.16566666666666666,0.021123150075732813,,-0.2417209302325581,-0.30500000000000005,-0.20750000000000002,0.10723372208046668,0.159375646059253,0.11391184707333728
