Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),Holocene-LGM CaCO3 (%),Organic Carbon (%),CaCO3 (%),Productivity (mgC/m2/day),Sedimentation Rate (cm/ka)
DSDP,7,63,*,0.8355,147.8898,4486,None,FALSE,FALSE,FALSE,FALSE,FALSE,147.25,-8.132867133,0.8370546698570251,8.355,243.2623291015625,0.6233689188957214
DSDP,7,64,*,-1.7422,158.6097,2060,None,FALSE,FALSE,FALSE,FALSE,FALSE,155.5,-8.132867133,0.774543047,74.0425,250.2582244873047,1.3302159309387207
DSDP,7,67,*,24.376,-157.648,4486,None,FALSE,FALSE,FALSE,FALSE,TRUE,151.75,-29.5,1.0724443197250366,0.72,248.6293029785156,0.205189437
DSDP,8,68,*,16.722,-164.1727,5466,None,FALSE,FALSE,FALSE,FALSE,FALSE,179.6875,-29.5,0.5221184492111206,0,171.23049926757812,0.1318745166063308
DSDP,8,70,*,6.3347,-140.362,5059,None,FALSE,FALSE,FALSE,FALSE,FALSE,174.625,-7.725,0.7868787050247192,22.415,331.2043762207031,0.6569328308105469
DSDP,8,71,*,4.4713,-140.3152,4419,None,FALSE,FALSE,FALSE,FALSE,FALSE,173.9375,-8.9375,0.9266016483306884,74.95750000000001,383.6164551,1.3957910537719729
DSDP,8,72,*,0.4415,-138.867,4326,None,FALSE,FALSE,FALSE,FALSE,FALSE,174.3125,-8.9375,0.6008318662643433,70.965,506.9073181152344,1.153239369392395
DSDP,8,73,*,-1.9097,-137.4687,4387,None,FALSE,FALSE,FALSE,FALSE,FALSE,173.8125,-8.9375,0.3428345918655395,74.83,426.67974853515625,0.6410839557647705
DSDP,8,74,*,-6.2367,-136.0967,4431,None,FALSE,FALSE,FALSE,FALSE,FALSE,174.0625,-8.9375,0.525742769,79.14,301.0399169921875,0.250739574
DSDP,8,75,*,-12.5167,-134.2667,4181,None,FALSE,FALSE,FALSE,FALSE,FALSE,172.75,-13.6375,0.495480478,76.1675,270.6169434,0.2898049652576446
DSDP,9,76,*,-14.0983,-145.6607,4598,None,FALSE,FALSE,FALSE,FALSE,FALSE,185.625,-13.6375,0.9388604760169984,50.2025,182.9383544921875,0.4765198230743408
DSDP,9,77,*,0.4817,-133.2283,4291,None,FALSE,FALSE,FALSE,FALSE,FALSE,175.5,-8.9375,0.4226901829242706,67.815,517.3289184570312,1.4203062057495115
DSDP,9,78,*,7.95,-127.3558,4378,None,FALSE,FALSE,FALSE,FALSE,FALSE,162.4375,-7.725,0.92592746,18.96,317.09942626953125,1.0724446773529053
DSDP,9,80,*,-0.962,-121.5537,4411,None,FALSE,FALSE,FALSE,FALSE,FALSE,165.625,-8.9375,1.267519235610962,61.915,546.3344727,1.4947341680526731
DSDP,9,81,*,1.4415,-113.809,3865,None,FALSE,FALSE,FALSE,FALSE,FALSE,154.3125,-8.9375,1.5718737840652466,71.4075,560.1002197265625,3.2917613983154297
DSDP,9,82,*,2.5913,-106.942,3707,None,FALSE,FALSE,FALSE,FALSE,FALSE,143.125,-8.9375,1.8300334215164185,73.3675,499.2746276855469,3.7174127101898193
DSDP,9,84,*,5.7487,-82.8882,3096,None,FALSE,FALSE,FALSE,FALSE,FALSE,81.5,-7.725,3.034008502960205,15.840000000000003,459.1843262,6.142076492
DSDP,10,88,*,21.3822,-94.0035,2532,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.6674851179122925,0.68,246.5550842285156,15.72022533416748
DSDP,10,89,*,20.8902,-95.1122,3067,Shallow (<40 cm),FALSE,TRUE,FALSE,TRUE,FALSE,,9.888888888888886,0.9231488704681396,3.266666666666667,297.8514099121094,17.015228271484375
DSDP,10,90,*,23.7967,-94.7682,3713,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.6715075373649597,0.3,196.9241180419922,14.971565246582031
DSDP,10,92,*,25.8448,-91.8215,2573,None,FALSE,FALSE,FALSE,FALSE,TRUE,,9.888888888888886,0.6838600635528564,,244.60208129882812,18.05922508239746
DSDP,10,94,*,24.5273,-88.4693,1793,Shallow (<40 cm),FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.4404774308204651,,246.13406372070312,8.809388160705566
DSDP,10,95,*,24.15,-86.3975,1633,None,FALSE,FALSE,FALSE,FALSE,TRUE,,9.888888888888886,0.2931748032569885,,217.3605804443359,6.5683488845825195
DSDP,10,97,*,23.8842,-84.4457,2930,None,FALSE,FALSE,FALSE,FALSE,FALSE,,9.888888888888886,0.2639604210853576,55.010000000000005,201.8212891,
DSDP,11,102,*,30.7322,-74.4523,3426,Deep (>40 cm),FALSE,FALSE,FALSE,FALSE,FALSE,242.75,20.444444444444443,0.5332759022712708,33.7425,177.4263916015625,3.3409576416015625
DSDP,11,103,*,30.4513,-74.5832,3964,None,FALSE,FALSE,FALSE,FALSE,FALSE,242.75,20.444444444444443,0.5483276844024658,33.7425,177.4263916015625,3.190654993057251
DSDP,11,104,*,30.8275,-74.3273,3811,None,FALSE,FALSE,FALSE,FALSE,FALSE,242.75,20.444444444444443,0.52503556,33.7425,177.4263916015625,3.319586992263794
DSDP,11,106,*,36.4335,-69.4615,4500,Deep (>40 cm),FALSE,FALSE,FALSE,FALSE,FALSE,244.3125,20.444444444444443,0.4526151120662689,29.605,248.72433471679688,2.1327338218688965
DSDP,12,111,*,50.4262,-46.3675,1797,None,FALSE,FALSE,FALSE,FALSE,FALSE,292.9375,35.46666666666667,0.4097524881362915,38.955,1030.203613,1.7224162817001345
DSDP,13,125,*,34.6248,20.4293,2782,None,FALSE,FALSE,FALSE,TRUE,FALSE,,,1.0931084156036377,,202.17918395996097,
DSDP,13,132,*,40.2617,11.4412,2835,None,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.7353905439376831,,327.9131774902344,
DSDP,14,135,*,35.3467,-10.4243,4152,None,FALSE,FALSE,FALSE,FALSE,FALSE,237.75,13.538461538461547,0.4913546144962311,47.415,366.2405090332031,3.2532782554626465
DSDP,15,148,*,13.4187,-63.7208,1232,None,FALSE,FALSE,FALSE,FALSE,FALSE,226.5,9.888888888888886,1.5064318180084229,34.315,737.6171264648438,1.7844957113265991
DSDP,16,156,*,-1.68,-85.401,2369,None,FALSE,FALSE,FALSE,FALSE,FALSE,115.0625,4.866666666666667,2.2995083332061768,74.8175,732.5235595703125,2.223553419113159
DSDP,16,158,*,6.6227,-85.236,1953,None,FALSE,FALSE,FALSE,FALSE,FALSE,91.0625,-7.725,3.1297695636749268,37.885,441.9642639160156,2.4696240425109863
DSDP,16,159,*,12.332,-122.2878,4484,None,FALSE,FALSE,FALSE,FALSE,TRUE,158.875,-7.725,0.751733124,4.1275,276.6963195800781,0.3540942370891571
DSDP,16,160,*,11.7045,-130.8802,4940,None,FALSE,FALSE,FALSE,FALSE,FALSE,164.9375,-29.5,0.7459332942962646,0.145,283.8916016,0.3525901138782501
DSDP,16,161,*,10.6708,-139.9535,4939,None,FALSE,FALSE,FALSE,FALSE,FALSE,172.1875,-29.5,0.5515644550323486,0.1699999999999999,271.3492736816406,0.4329256117343902
DSDP,16,162,*,14.8698,-140.0435,4854,None,FALSE,FALSE,FALSE,FALSE,FALSE,171.5625,-29.5,0.4633725583553314,0.13,234.74082946777344,0.2154657542705536
DSDP,17,165,*,8.1783,-164.86,5053,None,FALSE,FALSE,FALSE,FALSE,FALSE,181.375,-7.725,1.4692587852478027,46.1525,232.7552795410156,0.361719012
DSDP,17,167,*,7.0683,-176.825,3176,None,FALSE,FALSE,FALSE,FALSE,FALSE,185.25,-8.132867133,0.7508972883224487,75.93666666666667,197.93011474609375,0.1544330269098281
DSDP,18,172,*,31.5372,-133.3727,4768,None,FALSE,FALSE,FALSE,FALSE,FALSE,149.5,-29.5,0.3091305196285248,1.1725,361.7156677246094,0.2811097204685211
DSDP,18,173,*,39.9618,-125.452,2927,None,FALSE,FALSE,FALSE,FALSE,FALSE,100.8125,-14.77777778,2.0792274475097656,5.8125,1040.802490234375,13.257684707641602
DSDP,18,174,*,44.8897,-126.3467,2815,None,FALSE,FALSE,FALSE,FALSE,TRUE,87.0625,-14.77777778,1.394478440284729,10.5425,1032.910156,24.226884841918945
DSDP,18,176,*,45.9333,-124.6167,193,None,FALSE,FALSE,FALSE,FALSE,FALSE,86.66666412353516,-14.77777778,1.1247819662094116,3,3319.019531,23.34073829650879
DSDP,18,177,*,50.4697,-130.205,2006,None,FALSE,FALSE,FALSE,FALSE,FALSE,97.25,-14.77777778,1.5898232460021973,19.515,1305.8016357421875,34.76033401489258
