Exp,Site,Hole,Core,Type,Section,Top Offset (cm),Bottom Offset (cm),Top Depth CSF-A (m),Bottom Depth CSF-A (m),Top Depth CCSF (m),Bottom Depth CCSF (m),Thickness (cm),Class
361,U1474,F,1,H,1,33.9,35.4,0.339,0.354,0.339,0.354,1.5,1
361,U1474,F,1,H,1,37.1,41,0.371,0.41,0.371,0.41,3.9,1
361,U1474,F,1,H,1,53.4,54.1,0.534,0.541,0.534,0.541,0.7,1
361,U1474,F,1,H,1,57.7,58.7,0.577,0.587,0.577,0.587,1,2
361,U1474,F,1,H,1,59.6,60.3,0.596,0.603,0.596,0.603,0.7,3
361,U1474,F,1,H,1,60.4,61.4,0.604,0.614,0.604,0.614,1,3
361,U1474,F,1,H,1,61.5,62.4,0.615,0.624,0.615,0.624,0.9,3
361,U1474,F,1,H,1,64.2,67.5,0.642,0.675,0.642,0.675,3.3,3
361,U1474,F,1,H,1,74.2,75.5,0.742,0.755,0.742,0.755,1.3,2
361,U1474,F,1,H,2,-1.5,3,1.485,1.53,1.505,1.517,4.5,2
361,U1474,F,1,H,2,4,5.7,1.54,1.557,1.54,1.557,1.7,1
361,U1474,D,1,H,3,107,109.3,4.07,4.093,4.222,4.245,2.3,3
361,U1474,D,1,H,3,120.3,121.1,4.203,4.211,4.355,4.363,0.8,2
361,U1474,D,1,H,4,66.3,67,5.163,5.17,5.315,5.322,0.7,3
361,U1474,D,1,H,4,67.1,69.5,5.171,5.195,5.323,5.347,2.4,3
361,U1474,D,1,H,4,69.6,70.3,5.196,5.203,5.348,5.355,0.7,2
361,U1474,F,2,H,2,109.5,110.7,5.795,5.807,5.445,5.457,1.2,2
361,U1474,F,2,H,3,22.3,22.9,6.423,6.429,6.073,6.079,0.6,2
361,U1474,F,2,H,3,23.6,25.1,6.436,6.451,6.086,6.101,1.5,3
361,U1474,F,2,H,3,25.2,25.6,6.452,6.456,6.102,6.106,0.4,3
361,U1474,F,2,H,3,113.1,114.9,7.331,7.349,6.981,6.999,1.8,3
361,U1474,F,2,H,3,115,116.1,7.35,7.361,7,7.011,1.1,2
361,U1474,F,2,H,3,116.8,117.1,7.368,7.371,7.018,7.021,0.3,1
361,U1474,F,2,H,4,100.8,102.5,8.708,8.725,8.358,8.375,1.7,3
361,U1474,F,2,H,4,121.8,122.1,8.918,8.921,8.568,8.571,0.3,2
361,U1474,F,2,H,4,122.2,123.6,8.922,8.936,8.572,8.586,1.4,2
361,U1474,F,2,H,4,125.3,126.2,8.953,8.962,8.603,8.612,0.9,2
361,U1474,F,2,H,4,126.3,126.6,8.963,8.966,8.613,8.616,0.3,2
361,U1474,F,2,H,4,145.1,147.1,9.151,9.171,8.801,8.821,2,2
361,U1474,F,2,H,4,147.8,148.9,9.178,9.189,8.828,8.839,1.1,1
