Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,8,75,*,-12.5167,-134.2667,4181.0,None,False,False,False,False,False,172.75,76.1675,270.616943359375,0.495480477809906,0.2898049652576446
DSDP,9,76,*,-14.0983,-145.6607,4598.0,None,False,False,False,False,False,185.625,50.2025,182.9383544921875,0.9388604760169984,0.4765198230743408
DSDP,9,77,*,0.4817,-133.2283,4291.0,None,False,False,False,False,False,175.5,67.815,517.3289184570312,0.4226901829242706,1.4203062057495115
DSDP,9,78,*,7.95,-127.3558,4378.0,None,False,False,False,False,False,162.4375,18.96,317.09942626953125,0.925927460193634,1.0724446773529053
DSDP,9,80,*,-0.962,-121.5537,4411.0,None,False,False,False,False,False,165.625,61.915,546.33447265625,1.267519235610962,1.4947341680526731
DSDP,9,81,*,1.4415,-113.809,3865.0,None,False,False,False,False,False,154.3125,71.4075,560.1002197265625,1.5718737840652466,3.2917613983154297
DSDP,9,82,*,2.5913,-106.942,3707.0,None,False,False,False,False,False,143.125,73.3675,499.2746276855469,1.8300334215164185,3.7174127101898193
DSDP,9,84,*,5.7487,-82.8882,3096.0,None,False,False,False,False,False,81.5,15.840000000000003,459.184326171875,3.034008502960205,6.14207649230957
DSDP,10,88,*,21.3822,-94.0035,2532.0,None,False,False,False,False,False,,0.68,246.5550842285156,0.6674851179122925,15.72022533416748
DSDP,10,89,*,20.8902,-95.1122,3067.0,Shallow (<40 cm),False,True,False,True,False,,3.266666666666667,297.8514099121094,0.9231488704681396,17.015228271484375
DSDP,10,90,*,23.7967,-94.7682,3713.0,None,False,False,False,False,False,,0.3,196.9241180419922,0.6715075373649597,14.971565246582031
DSDP,10,92,*,25.8448,-91.8215,2573.0,None,False,False,False,False,True,,,244.60208129882812,0.6838600635528564,18.05922508239746
DSDP,10,94,*,24.5273,-88.4693,1793.0,Shallow (<40 cm),False,False,False,False,False,,,246.13406372070312,0.4404774308204651,8.809388160705566
DSDP,10,95,*,24.15,-86.3975,1633.0,None,False,False,False,False,True,,,217.3605804443359,0.2931748032569885,6.5683488845825195
DSDP,10,97,*,23.8842,-84.4457,2930.0,None,False,False,False,False,False,,55.010000000000005,201.8212890625,0.2639604210853576,
DSDP,11,102,*,30.7322,-74.4523,3426.0,Deep (>40 cm),False,False,False,False,False,242.75,33.7425,177.4263916015625,0.5332759022712708,3.3409576416015625
