Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),Species,benthic d18O,s d18O,benthic d13C,s d13C
361,U1474,F,2,H,3,W,142.0,143.0,7.27,7.279999999999999,uvi & cib,3.8075,0.025,0.388,0.021
361,U1474,F,2,H,4,W,4.0,5.0,7.39,7.3999999999999995,uvi & cib,4.0495,0.0315,0.16049999999999998,0.0155
361,U1474,F,2,H,4,W,17.0,18.0,7.52,7.529999999999999,uvi & cib,4.5705,0.03,-0.14100000000000001,0.0195
361,U1474,F,2,H,4,W,29.0,30.0,7.64,7.6499999999999995,uvi & cib,4.6345,0.027000000000000003,-0.12750000000000006,0.016
361,U1474,F,2,H,4,W,41.0,42.0,7.76,7.77,uvi & cib,4.3815,0.0235,0.254,0.016
361,U1474,F,2,H,4,W,115.0,116.0,8.5,8.51,uvi & cib,4.753,0.0325,0.03149999999999996,0.014499999999999999
361,U1474,F,2,H,4,W,127.0,128.0,8.62,8.629999999999999,uvi & cib,4.715,0.0395,0.015499999999999979,0.024
361,U1474,F,2,H,4,W,139.0,140.0,8.74,8.75,uvi & cib,4.824999999999999,0.0245,0.020000000000000004,0.018000000000000002
361,U1474,F,2,H,5,W,1.0,2.0,8.86,8.87,uvi & cib,4.7535,0.028999999999999998,-0.08850000000000005,0.023
361,U1474,F,2,H,5,W,26.0,27.0,9.11,9.12,uvi & cib,4.794499999999999,0.0285,0.04799999999999996,0.020499999999999997
361,U1474,F,2,H,5,W,38.0,39.0,9.23,9.24,uvi & cib,4.727,0.0175,-0.22700000000000006,0.022
361,U1474,F,2,H,5,W,50.0,51.0,9.35,9.36,uvi & cib,4.599,0.026,-0.29150000000000004,0.0135
361,U1474,F,2,H,5,W,62.0,63.0,9.469999999999999,9.48,uvi & cib,4.7865,0.032,-0.41050000000000003,0.0175
361,U1474,F,2,H,5,W,75.0,76.0,9.6,9.61,uvi & cib,4.846,0.018000000000000002,-0.4875,0.0125
361,U1474,F,2,H,5,W,87.0,88.0,9.719999999999999,9.73,uvi & cib,4.725,0.031,-0.429,0.0125
361,U1474,F,2,H,5,W,99.0,100.0,9.84,9.85,uvi & cib,4.6685,0.026999999999999996,-0.44899999999999995,0.0205
361,U1474,F,2,H,5,W,111.0,112.0,9.959999999999999,9.969999999999999,uvi & cib,4.3555,0.031,0.33499999999999996,0.0175
361,U1474,F,2,H,5,W,124.0,125.0,10.09,10.1,uvi & cib,4.093999999999999,0.0485,0.514,0.0205
361,U1474,F,2,H,5,W,136.0,137.0,10.209999999999999,10.219999999999999,uvi & cib,3.982,0.0195,0.4315,0.018000000000000002
361,U1474,F,2,H,5,W,148.0,149.0,10.33,10.34,uvi & cib,4.0025,0.020499999999999997,-0.04350000000000001,0.0155
361,U1474,F,2,H,6,W,10.0,11.0,10.45,10.459999999999999,uvi & cib,4.2995,0.030000000000000002,0.0015000000000000013,0.010499999999999999
361,U1474,F,2,H,6,W,23.0,24.0,10.58,10.59,uvi & cib,4.4345,0.036000000000000004,-0.13900000000000004,0.014
361,U1474,F,2,H,6,W,35.0,36.0,10.7,10.709999999999999,uvi,4.553,0.041,-0.049000000000000044,0.016
361,U1474,F,2,H,6,W,47.0,48.0,10.82,10.83,uvi & cib,4.519,0.048,0.23249999999999998,0.022
361,U1474,F,2,H,6,W,59.0,60.0,10.94,10.95,uvi & cib,4.3825,0.029,-0.05100000000000002,0.014499999999999999
361,U1474,F,2,H,6,W,72.0,73.0,11.07,11.08,uvi & cib,4.2165,0.034,0.2825,0.0235
361,U1474,F,2,H,6,W,84.0,85.0,11.19,11.2,uvi,3.927,0.034,0.19599999999999995,0.022
361,U1474,F,2,H,6,W,96.0,97.0,11.309999999999999,11.32,uvi & cib,3.96,0.0275,0.326,0.014499999999999999
361,U1474,F,2,H,6,W,108.0,109.0,11.43,11.44,uvi & cib,3.747,0.036000000000000004,0.23699999999999996,0.013
361,U1474,D,3,H,1,W,125.0,126.0,11.806,11.815999999999999,uvi & cib,3.6265,0.0595,0.45099999999999996,0.032
361,U1474,D,3,H,1,W,137.0,138.0,11.925999999999998,11.936,cib,3.395,0.05,-0.311,0.039
361,U1474,D,3,H,2,W,24.0,25.0,12.296,12.306,uvi & cib,4.2395,0.04,-0.13350000000000004,0.0305
361,U1474,D,3,H,2,W,61.0,62.0,12.665999999999999,12.675999999999998,uvi & cib,5.008,0.0375,-0.6005,0.021
361,U1474,D,3,H,2,W,73.0,74.0,12.786,12.796,uvi & cib,5.004,0.0305,-0.27749999999999997,0.0225
361,U1474,D,3,H,2,W,85.0,86.0,12.905999999999999,12.915999999999999,uvi & cib,5.140000000000001,0.0245,-0.2435,0.0125
361,U1474,D,3,H,2,W,97.0,98.0,13.026,13.036,uvi & cib,5.054,0.035,-0.44000000000000006,0.016
361,U1474,D,3,H,2,W,110.0,111.0,13.155999999999999,13.165999999999999,uvi & cib,4.7780000000000005,0.032,-0.16100000000000003,0.014499999999999999
361,U1474,D,3,H,2,W,134.0,135.0,13.395999999999999,13.405999999999999,uvi & cib,4.6935,0.0385,-0.32800000000000007,0.0185
361,U1474,D,3,H,3,W,9.0,10.0,13.645999999999999,13.655999999999999,uvi & cib,4.7035,0.0315,-0.4360000000000001,0.0185
361,U1474,D,3,H,3,W,21.0,22.0,13.766,13.776,cib,4.7589999999999995,0.044,-0.47200000000000003,0.029
361,U1474,D,3,H,3,W,33.0,34.0,13.886,13.895999999999999,uvi & cib,4.647,0.037,-0.29850000000000004,0.0175
361,U1474,D,3,H,3,W,45.0,46.0,14.005999999999998,14.016,uvi & cib,4.547,0.032,0.053499999999999964,0.02
361,U1474,D,3,H,3,W,58.0,59.0,14.136,14.145999999999999,uvi & cib,4.494,0.027000000000000003,-0.415,0.019999999999999997
361,U1474,D,3,H,3,W,70.0,71.0,14.255999999999998,14.265999999999998,uvi & cib,4.461,0.034999999999999996,-0.011500000000000038,0.0235
361,U1474,D,3,H,3,W,82.0,83.0,14.376,14.386,uvi & cib,4.5335,0.038,-0.15200000000000002,0.017
361,U1474,D,3,H,3,W,94.0,95.0,14.495999999999999,14.505999999999998,cib,4.393,0.034,-0.23800000000000002,0.019
361,U1474,D,3,H,3,W,107.0,108.0,14.626,14.636,uvi & cib,4.427,0.037000000000000005,0.1185,0.0205
361,U1474,D,3,H,3,W,119.0,120.0,14.745999999999999,14.755999999999998,uvi & cib,4.286,0.0265,-0.004500000000000018,0.015
361,U1474,D,3,H,3,W,131.0,132.0,14.866,14.876,uvi & cib,4.4495000000000005,0.0385,-0.10300000000000005,0.0255
361,U1474,D,3,H,3,W,143.0,144.0,14.985999999999999,14.995999999999999,uvi & cib,4.435,0.03949999999999999,0.04399999999999998,0.0195
