leg,site,hole,well logging,latitude,longitude,ocean,ocean hemisphere,sea,physographic feature,hard rock feature,ta,td,re-entry,site survey,site termination,crust,equipment test,heat flow,in situ pore water,hydraulic piston core,variable length hpc,pressure core barrel,punch core,extended core barrel,water depth(m),total penetration(m),drilled penetration(m),cored penetration(m),number of cores recovered,meters recovered,percent recovery,meters of hard rock cored,number of hard rock cores,meters of hard rock recovered,depth to basememnt(m),oldest sediment sub-bottom depth,oldest sediment depth below sealevel,oldest sediment core number,oldest sediment age,oldest sediment lithology,oldest sediment lithology composition,oldest sediment source,oldest sediment heterogeneity,oldest sediment hardness,oldest comp1,oldest comp2,hard rock descriptions and comments
2,9,,NO,32.7733,-59.195,ATLANTIC,NORTH,,RISE,,10/21/1968,10/25/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4973,492.0,390.0,102.0,12.0,36.0,35,,,,,491.6,5465.0,12,NO AGE GIVEN,CLAY,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
2,9,,NO,32.7733,-59.195,ATLANTIC,NORTH,,RISE,,10/21/1968,10/25/1968,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4973,492.0,390.0,102.0,12.0,36.0,35,,,,,491.6,5465.0,12,NO AGE GIVEN,CLAY,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
2,10,,YES,32.8622,-52.2153,ATLANTIC,NORTH,,RISE,,11/02/1968,11/07/1968,NO,YES,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4712,459.0,288.0,171.0,20.0,77.0,45,8.2,2.0,3.0,450.0,456.0,5168.0,19,NO AGE GIVEN,INDURATED CARBONATE (MARBLE),CALCAREOUS,TRANSITIONAL,MONOGENIC,HARD,ESTIMATED CARBONATE,unk - 0000,VESICULAR BASALT
2,11,,NO,29.943,-44.7467,ATLANTIC,NORTH,,PLATEAU,,11/09/1968,11/10/1968,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,3571,23.0,14.0,9.1,1.0,6.1,67,,,,,23.0,3594.0,1,NO AGE GIVEN,NANNO-FORAM CHALK AND OOZE,CALCAREOUS,PELAGIC,MONOGENIC,SOFT,NANNOFOSSIL,FORAMINIFERA,
2,11,,NO,29.943,-44.7467,ATLANTIC,NORTH,,PLATEAU,,11/09/1968,11/10/1968,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,3571,23.0,14.0,9.1,1.0,6.1,67,,,,,23.0,3594.0,1,NO AGE GIVEN,NANNO-FORAM CHALK AND OOZE,CALCAREOUS,PELAGIC,MONOGENIC,SOFT,NANNOFOSSIL,FORAMINIFERA,
2,12,,NO,19.6955,-26.0005,ATLANTIC,NORTH,,BASIN,,11/16/1968,11/21/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,4557,,,,,,0,,,,,,,,,,,,,,unk - 0000,unk - 0000,
2,12,,NO,19.6955,-26.0005,ATLANTIC,NORTH,,BASIN,,11/16/1968,11/21/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,4557,,,,,,0,,,,,,,,,,,,,,unk - 0000,unk - 0000,
2,12,,NO,19.6955,-26.0005,ATLANTIC,NORTH,,BASIN,,11/16/1968,11/21/1968,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,4557,,,,,,0,,,,,,,,,,,,,,unk - 0000,unk - 0000,
3,13,,YES,6.04,-18.2285,ATLANTIC,NORTH,,RISE,,12/03/1968,12/05/1968,NO,YES,DRILL BIT WORN OUT,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4585,145.0,118.0,27.0,3.0,26.0,96,,,,,145.0,4730.0,3,NO AGE GIVEN,RAD SILTY CLAY WITH CHERT FRAGMENTS,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3122,ESTIMATED CARBONATE,
3,13,,YES,6.04,-18.2285,ATLANTIC,NORTH,,RISE,,12/03/1968,12/05/1968,NO,YES,DRILL BIT WORN OUT,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4585,145.0,118.0,27.0,3.0,26.0,96,,,,,145.0,4730.0,3,NO AGE GIVEN,RAD SILTY CLAY WITH CHERT FRAGMENTS,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3122,ESTIMATED CARBONATE,
