/* DATA DESCRIPTION:
	ELT45.032-PC * LATITUDE: -50.517000 * LONGITUDE: 109.587000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3138.0 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT45.063-PC * LATITUDE: -53.437000 * LONGITUDE: 114.257000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3969.0 m * Recovery: 10.54 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT45.064-PC * LATITUDE: -52.483000 * LONGITUDE: 114.090000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3871.0 m * Recovery: 11.48 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT45.071-PC * LATITUDE: -48.025000 * LONGITUDE: 114.487000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3700.0 m * Recovery: 11.4 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT45.074-PC * LATITUDE: -47.552000 * LONGITUDE: 114.440000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3852.0 m * Recovery: 10.62 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.003-PC * LATITUDE: -41.020000 * LONGITUDE: 100.012000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3982.0 m * Recovery: 7.65 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.006-PC * LATITUDE: -34.005000 * LONGITUDE: 97.543000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -4343.0 m * Recovery: 10.78 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.011-PC * LATITUDE: -29.660000 * LONGITUDE: 97.527000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3496.0 m * Recovery: 0.6 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.013-PC * LATITUDE: -28.515000 * LONGITUDE: 93.505000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3412.0 m * Recovery: 4.99 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.022-PC * LATITUDE: -39.895000 * LONGITUDE: 85.410000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3410.0 m * Recovery: 6.9 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.027-PC * LATITUDE: -38.542000 * LONGITUDE: 79.898000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3312.0 m * Recovery: 5.13 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT48.029-PC * LATITUDE: -36.493000 * LONGITUDE: 80.025000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -2350.0 m * Recovery: 2.97 m * CAMPAIGN: ELT48 (URI: http://ezid.cdlib.org/id/doi:10.7284/905173) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT49.008-PC * LATITUDE: -55.070000 * LONGITUDE: 110.018000 * DATE/TIME: 1971-01-01T00:00:00 * ELEVATION: -3728.0 m * Recovery: 18.06 m * CAMPAIGN: ELT49 (URI: http://ezid.cdlib.org/id/doi:10.7284/905174) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT50.013-PC * LATITUDE: -59.997000 * LONGITUDE: 105.000000 * DATE/TIME: 1972-01-01T00:00:00 * ELEVATION: -4270.0 m * Recovery: 16.06 m * CAMPAIGN: ELT50 (URI: http://ezid.cdlib.org/id/doi:10.7284/905175) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	ELT50.017-PC * LATITUDE: -63.002000 * LONGITUDE: 120.050000 * DATE/TIME: 1972-01-01T00:00:00 * ELEVATION: -4138.0 m * Recovery: 10.21 m * CAMPAIGN: ELT50 (URI: http://ezid.cdlib.org/id/doi:10.7284/905175) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
	EN066-10GGC * LATITUDE: 6.670000 * LONGITUDE: -21.900000 * DATE/TIME: 1981-05-26T00:00:00 * ELEVATION: -3527.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-16GGC * LATITUDE: 6.650000 * LONGITUDE: -21.140000 * DATE/TIME: 1981-05-27T00:00:00 * ELEVATION: -3152.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-17GGC * LATITUDE: 5.450000 * LONGITUDE: -21.090000 * DATE/TIME: 1981-05-27T00:00:00 * ELEVATION: -3050.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-21GGC * LATITUDE: 4.233000 * LONGITUDE: -20.625000 * DATE/TIME: 1981-05-27T00:00:00 * ELEVATION: -3995.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-23PG * LATITUDE: 4.230000 * LONGITUDE: -20.540000 * DATE/TIME: 1981-05-27T00:00:00 * ELEVATION: -4105.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-24PG * LATITUDE: 3.847000 * LONGITUDE: -20.367000 * DATE/TIME: 1981-05-28T00:00:00 * ELEVATION: -4504.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-26GGC * LATITUDE: 3.085000 * LONGITUDE: -20.015000 * DATE/TIME: 1981-05-28T00:00:00 * ELEVATION: -4745.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-29GGC * LATITUDE: 2.460000 * LONGITUDE: -19.762000 * DATE/TIME: 1981-05-29T00:00:00 * ELEVATION: -5104.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-32GGC * LATITUDE: 2.472000 * LONGITUDE: -19.733000 * DATE/TIME: 1981-05-29T00:00:00 * ELEVATION: -5003.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
	EN066-36GGC * LATITUDE: 2.470000 * LONGITUDE: -20.210000 * DATE/TIME: 1981-05-30T00:00:00 * ELEVATION: -4270.0 m * CAMPAIGN: EN06601 * BASIS: Endeavor * METHOD/DEVICE: Gravity corer (GC)
