Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
306,1313,D,11,H,102.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_011h_06.jpg,1313d_011h_06.jpg
306,1313,D,11,H,104.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_011h_07.jpg,1313d_011h_07.jpg
306,1313,D,11,H,104.78,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_011h_cc.jpg,1313d_011h_cc.jpg
306,1313,D,12,H,104.5,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1313D12H.PDF,1313D12H.PDF
306,1313,D,12,H,104.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_01.jpg,1313d_012h_01.jpg
306,1313,D,12,H,106.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_02.jpg,1313d_012h_02.jpg
306,1313,D,12,H,107.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_03.jpg,1313d_012h_03.jpg
306,1313,D,12,H,109.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_04.jpg,1313d_012h_04.jpg
306,1313,D,12,H,110.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_05.jpg,1313d_012h_05.jpg
306,1313,D,12,H,112.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_06.jpg,1313d_012h_06.jpg
306,1313,D,12,H,113.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_07.jpg,1313d_012h_07.jpg
306,1313,D,12,H,114.35,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_012h_cc.jpg,1313d_012h_cc.jpg
306,1313,D,13,H,114.0,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1313D13H.PDF,1313D13H.PDF
306,1313,D,13,H,114.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_01.jpg,1313d_013h_01.jpg
306,1313,D,13,H,115.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_02.jpg,1313d_013h_02.jpg
306,1313,D,13,H,117.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_03.jpg,1313d_013h_03.jpg
306,1313,D,13,H,118.5,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_04.jpg,1313d_013h_04.jpg
306,1313,D,13,H,120.0,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1313d/1313d_013h_05.jpg,1313d_013h_05.jpg
