"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"346","U1423","A","1","H","4","","145.0","150.0","5.950","5.950","0.060","0.500","0.3999","","0.1479","0.0570","","0.34","","ship split, carb"
"346","U1424","A","1","H","1","W","20.0","22.0","0.200","0.200","0.036","0.300","0.7307","","0.2272","0.2658","","0.69","","red iron"
"346","U1424","A","1","H","1","W","26.0","28.0","0.260","0.260","0.046","0.383","0.5185","","0.1945","0.2431","","0.47","","black manganese"
"346","U1424","A","1","H","1","W","80.0","82.0","0.800","0.800","0.684","5.700","1.2307","","0.2065","0.2521","","0.55","","degacial light dark"
"346","U1424","A","1","H","1","W","113.0","115.0","1.130","1.130","0.347","2.892","1.3541","","0.2138","4.2388","","1.01","","lgm light dark"
"346","U1424","A","1","H","1","","145.0","150.0","1.450","1.450","0.167","1.392","1.9453","","0.2941","3.3498","","1.78","","ship split, carb"
"346","U1424","A","1","H","3","W","25.0","27.0","3.250","3.250","0.032","0.267","2.6651","","0.3680","4.8258","","2.63","","is19 light dark"
"346","U1424","A","1","H","3","W","41.0","43.0","3.410","3.410","0.044","0.367","3.8995","","0.4658","3.2070","","3.86","","is20 dark"
"346","U1424","A","1","H","3","W","74.0","76.0","3.740","3.740","0.042","0.350","1.2443","","0.2651","0.3832","","1.20","","is21 very light dark"
"346","U1424","A","1","H","3","W","81.5","83.5","3.815","3.815","0.035","0.292","2.2850","","0.3471","0.4702","","2.25","","is21 base dark"
"346","U1424","A","1","H","3","W","87.0","89.0","3.870","3.870","0.034","0.283","0.5420","","0.1749","0.2294","","0.51","","pre-is21 light"
"346","U1424","A","1","H","4","W","44.0","46.0","4.940","4.940","3.854","32.115","7.0133","","0.3623","2.3978","","3.16","","mis5 end hi prod light dark"
"346","U1424","A","1","H","4","W","121.0","123.0","5.710","5.710","0.037","0.308","0.1207","","0.1552","0.3079","","0.08","","mis5 green layer"
"346","U1424","A","1","H","5","W","10.0","12.0","6.100","6.100","0.040","0.333","1.4575","","0.2437","3.0788","","1.42","","mis6 light dark"
"346","U1424","A","1","H","5","W","10.0","12.0","6.100","6.100","0.0354","0.295","","","","","","","","mis6 light dark"
"346","U1425","A","1","H","1","","145.0","150.0","1.450","1.450","0.501","4.175","1.8158","","0.2577","1.0097","","1.31","","ship split, carb"
"346","U1425","A","1","H","4","","145.0","150.0","5.950","4.462","0.752","6.266","2.0586","","0.2392","1.5514","","1.31","","ship split, carb"
"346","U1425","B","1","H","1","W","14.0","16.0","0.140","0.140","0.045","0.375","1.8056","","0.2817","0.3430","","1.76","","red iron equivalent"
"346","U1425","B","1","H","1","W","46.0","48.0","0.460","0.460","0.049","0.408","3.8070","","0.4300","0.6889","","3.76","","black Mn equivalent"
"346","U1425","B","1","H","1","W","75.0","77.0","0.750","0.750","1.428","11.900","1.7973","","0.1894","0.2368","","0.37","","deglacial light dark"
"346","U1425","B","1","H","1","W","113.0","115.0","1.130","1.130","0.948","7.900","2.1592","","0.2005","1.8933","","1.21","","lgm light dark"
"346","U1425","B","1","H","1","","145.0","150.0","1.450","1.450","1.343","11.191","2.2769","","0.1894","1.9403","","0.93","","ship split, carb"
"346","U1425","B","1","H","3","W","105.0","107.0","4.050","4.041","1.040","8.666","4.0832","","0.3493","2.6558","","3.04","","is19 light dark"
"346","U1425","B","1","H","3","W","132.0","134.0","4.320","4.310","0.305","2.542","4.9881","","0.5220","3.5850","","4.68","","is20 light dark"
"346","U1425","B","1","H","4","W","16.0","18.0","4.660","4.650","0.137","1.142","4.4527","","0.5259","1.0311","","4.32","","is21 light dark"
"346","U1425","B","1","H","4","W","26.0","28.0","4.760","4.749","1.107","9.225","6.2360","","0.5799","1.5829","","5.13","","is21 dark base"
"346","U1425","B","1","H","4","W","38.0","40.0","4.880","4.869","0.203","1.692","0.8103","","0.1665","0.3665","","0.61","","pre-is21 light"
"346","U1425","B","1","H","4","","145.0","150.0","5.950","5.937","0.991","8.258","1.4898","","0.1773","0.8973","","0.50","","ship split, carb"
